1,中山 将,中山 将.1,2,大田 直弥,大田 直弥.1,3,渡邉 英児,渡邉 英児.1,4,津留　浩一郎,津留　浩一郎.1,5,後藤 正宗,後藤 正宗.1,6,堤 啓輔,堤 啓輔.1
2.0,3.0,21.8,1.0,3.0,218.8,1.0,2.0,45.9,1.0,2.0,394.9,1.0,2.0,185.2,1.0,2.0,1880.0
2.0,4.0,56.4,1.0,4.0,445.5,1.0,4.0,20.3,1.0,3.0,153.9,1.0,3.0,69.3,1.0,3.0,825.1
2.0,5.0,36.8,1.0,5.0,320.5,1.0,5.0,13.1,1.0,5.0,160.8,1.0,4.0,189.0,1.0,4.0,2215.0
2.0,6.0,77.1,1.0,6.0,540.8,1.0,6.0,36.2,1.0,6.0,249.5,1.0,6.0,136.1,1.0,5.0,1617.0
3.0,2.0,12.9,3.0,1.0,401.7,2.0,1.0,182.6,2.0,1.0,779.3,2.0,1.0,477.7,2.0,1.0,2862.0
3.0,4.0,9.2,3.0,4.0,827.2,2.0,4.0,293.2,2.0,3.0,881.3,2.0,3.0,518.3,2.0,3.0,3080.0
3.0,5.0,6.7,3.0,5.0,544.5,2.0,5.0,175.7,2.0,5.0,903.4,2.0,4.0,1060.0,2.0,4.0,3675.0
3.0,6.0,18.3,3.0,6.0,905.9,2.0,6.0,309.5,2.0,6.0,1040.0,2.0,6.0,607.9,2.0,5.0,3850.0
4.0,2.0,66.6,4.0,1.0,971.2,4.0,1.0,38.7,3.0,1.0,131.8,3.0,1.0,79.9,3.0,1.0,709.2
4.0,3.0,31.1,4.0,3.0,1134.0,4.0,2.0,137.9,3.0,2.0,358.5,3.0,2.0,234.8,3.0,2.0,2587.0
4.0,5.0,43.9,4.0,5.0,1347.0,4.0,5.0,31.2,3.0,5.0,115.1,3.0,4.0,141.2,3.0,4.0,1880.0
4.0,6.0,74.8,4.0,6.0,1729.0,4.0,6.0,59.0,3.0,6.0,172.7,3.0,6.0,127.5,3.0,5.0,1001.0
5.0,2.0,35.5,5.0,1.0,831.4,5.0,1.0,27.5,5.0,1.0,164.0,4.0,1.0,255.4,4.0,1.0,2261.0
5.0,3.0,17.8,5.0,3.0,986.0,5.0,2.0,99.0,5.0,2.0,410.4,4.0,2.0,658.7,4.0,2.0,3202.0
5.0,4.0,48.9,5.0,4.0,1146.0,5.0,4.0,39.6,5.0,3.0,169.0,4.0,3.0,234.7,4.0,3.0,2034.0
5.0,6.0,39.8,5.0,6.0,1555.0,5.0,6.0,48.0,5.0,6.0,188.3,4.0,6.0,295.6,4.0,5.0,2086.0
6.0,2.0,117.7,6.0,1.0,2021.0,6.0,1.0,158.0,6.0,1.0,542.6,6.0,1.0,357.7,5.0,1.0,1827.0
6.0,3.0,77.5,6.0,3.0,2629.0,6.0,2.0,356.6,6.0,2.0,1030.0,6.0,2.0,700.0,5.0,2.0,3334.0
6.0,4.0,233.1,6.0,4.0,2170.0,6.0,4.0,204.0,6.0,3.0,602.3,6.0,3.0,334.8,5.0,3.0,1729.0
6.0,5.0,99.6,6.0,5.0,2717.0,6.0,5.0,146.6,6.0,5.0,544.5,6.0,4.0,606.8,5.0,4.0,2293.0
