1,川野 芽唯,川野 芽唯.1,2,寺田 千恵,寺田 千恵.1,3,前田 紗希,前田 紗希.1,4,山川　美由紀,山川　美由紀.1,5,中川 りな,中川 りな.1,6,深川　麻奈美,深川　麻奈美.1
2.0,3.0,6.0,1.0,3.0,30.0,1.0,2.0,45.2,1.0,2.0,165.3,1.0,2.0,170.8,1.0,2.0,403.8
2.0,4.0,11.7,1.0,4.0,47.1,1.0,4.0,64.4,1.0,3.0,247.1,1.0,3.0,192.8,1.0,3.0,599.5
2.0,5.0,17.1,1.0,5.0,60.1,1.0,5.0,62.0,1.0,5.0,254.8,1.0,4.0,399.5,1.0,4.0,896.9
2.0,6.0,16.2,1.0,6.0,66.8,1.0,6.0,79.9,1.0,6.0,253.1,1.0,6.0,258.7,1.0,5.0,820.5
3.0,2.0,8.1,3.0,1.0,69.2,2.0,1.0,81.0,2.0,1.0,252.7,2.0,1.0,282.3,2.0,1.0,593.2
3.0,4.0,12.9,3.0,4.0,162.5,2.0,4.0,187.0,2.0,3.0,444.4,2.0,3.0,355.0,2.0,3.0,1034.0
3.0,5.0,15.1,3.0,5.0,142.5,2.0,5.0,151.9,2.0,5.0,500.8,2.0,4.0,710.7,2.0,4.0,1234.0
3.0,6.0,19.3,3.0,6.0,182.8,2.0,6.0,195.1,2.0,6.0,434.3,2.0,6.0,494.2,2.0,5.0,1383.0
4.0,2.0,27.3,4.0,1.0,166.2,4.0,1.0,165.5,3.0,1.0,434.9,3.0,1.0,278.5,3.0,1.0,891.8
4.0,3.0,33.2,4.0,3.0,285.1,4.0,2.0,248.7,3.0,2.0,573.7,3.0,2.0,327.3,3.0,2.0,1183.0
4.0,5.0,55.7,4.0,5.0,427.6,4.0,5.0,280.5,3.0,5.0,778.2,3.0,4.0,798.6,3.0,4.0,1635.0
4.0,6.0,48.6,4.0,6.0,343.0,4.0,6.0,286.4,3.0,6.0,694.9,3.0,6.0,468.9,3.0,5.0,1522.0
5.0,2.0,39.6,5.0,1.0,208.0,5.0,1.0,137.8,5.0,1.0,362.4,4.0,1.0,711.1,4.0,1.0,1317.0
5.0,3.0,42.5,5.0,3.0,268.4,5.0,2.0,175.6,5.0,2.0,472.3,4.0,2.0,970.5,4.0,2.0,1333.0
5.0,4.0,99.1,5.0,4.0,554.4,5.0,4.0,316.5,5.0,3.0,674.0,4.0,3.0,1155.0,4.0,3.0,1769.0
5.0,6.0,61.9,5.0,6.0,417.9,5.0,6.0,226.9,5.0,6.0,371.2,4.0,6.0,740.5,4.0,5.0,1640.0
6.0,2.0,55.1,6.0,1.0,280.8,6.0,1.0,265.8,6.0,1.0,482.1,6.0,1.0,416.5,5.0,1.0,1083.0
6.0,3.0,79.2,6.0,3.0,430.5,6.0,2.0,356.2,6.0,2.0,553.2,6.0,2.0,602.4,5.0,2.0,1440.0
6.0,4.0,115.1,6.0,4.0,609.1,6.0,4.0,502.8,6.0,3.0,810.5,6.0,3.0,674.7,5.0,3.0,1446.0
6.0,5.0,118.0,6.0,5.0,629.0,6.0,5.0,421.4,6.0,5.0,559.1,6.0,4.0,839.2,5.0,4.0,1644.0
