1,向井田　直弥,向井田　直弥.1,2,渡辺 真至,渡辺 真至.1,3,清水 敦揮,清水 敦揮.1,4,瀬川 公則,瀬川 公則.1,5,萩原 知哉,萩原 知哉.1,6,東本 勝利,東本 勝利.1
2.0,3.0,11.9,1.0,3.0,16.3,1.0,2.0,16.2,1.0,2.0,593.6,1.0,2.0,419.1,1.0,2.0,249.6
2.0,4.0,57.7,1.0,4.0,94.8,1.0,4.0,44.9,1.0,3.0,422.4,1.0,3.0,388.0,1.0,3.0,204.5
2.0,5.0,67.4,1.0,5.0,87.6,1.0,5.0,44.1,1.0,5.0,752.2,1.0,4.0,963.3,1.0,4.0,737.0
2.0,6.0,32.6,1.0,6.0,42.0,1.0,6.0,18.7,1.0,6.0,581.0,1.0,6.0,417.5,1.0,5.0,665.6
3.0,2.0,11.3,3.0,1.0,21.5,2.0,1.0,20.6,2.0,1.0,600.1,2.0,1.0,501.4,2.0,1.0,285.2
3.0,4.0,38.0,3.0,4.0,65.4,2.0,4.0,55.0,2.0,3.0,416.0,2.0,3.0,364.8,2.0,3.0,157.1
3.0,5.0,40.9,3.0,5.0,43.9,2.0,5.0,31.5,2.0,5.0,665.6,2.0,4.0,1036.0,2.0,4.0,543.6
3.0,6.0,19.1,3.0,6.0,25.9,2.0,6.0,16.9,2.0,6.0,371.0,2.0,6.0,441.0,2.0,5.0,492.4
4.0,2.0,140.6,4.0,1.0,270.5,4.0,1.0,107.5,3.0,1.0,520.4,3.0,1.0,342.1,3.0,1.0,145.6
4.0,3.0,151.9,4.0,3.0,183.0,4.0,2.0,94.5,3.0,2.0,360.0,3.0,2.0,325.8,3.0,2.0,119.3
4.0,5.0,241.3,4.0,5.0,395.0,4.0,5.0,168.7,3.0,5.0,661.5,3.0,4.0,871.6,3.0,4.0,343.2
4.0,6.0,150.8,4.0,6.0,226.9,4.0,6.0,83.7,3.0,6.0,300.0,3.0,6.0,329.8,3.0,5.0,367.3
5.0,2.0,165.8,5.0,1.0,220.9,5.0,1.0,112.4,5.0,1.0,1168.0,4.0,1.0,1372.0,4.0,1.0,801.6
5.0,3.0,153.3,5.0,3.0,135.0,5.0,2.0,79.0,5.0,2.0,1144.0,4.0,2.0,1426.0,4.0,2.0,727.3
5.0,4.0,448.2,5.0,4.0,457.6,5.0,4.0,203.3,5.0,3.0,1372.0,4.0,3.0,1484.0,4.0,3.0,616.9
5.0,6.0,177.7,5.0,6.0,201.8,5.0,6.0,66.7,5.0,6.0,915.2,4.0,6.0,1056.0,4.0,5.0,980.5
6.0,2.0,66.0,6.0,1.0,118.2,6.0,1.0,39.9,6.0,1.0,695.0,6.0,1.0,477.4,5.0,1.0,963.3
6.0,3.0,54.1,6.0,3.0,66.1,6.0,2.0,27.3,6.0,2.0,520.4,6.0,2.0,525.4,5.0,2.0,752.2
6.0,4.0,193.6,6.0,4.0,312.0,6.0,4.0,100.8,6.0,3.0,522.9,6.0,3.0,441.0,5.0,3.0,757.4
6.0,5.0,190.6,6.0,5.0,230.7,6.0,5.0,66.1,6.0,5.0,858.0,6.0,4.0,971.8,5.0,4.0,1026.0
