1,阪本 勇介,阪本 勇介.1,2,岩津 徹郎,岩津 徹郎.1,3,小森 信雄,小森 信雄.1,4,品川 賢次,品川 賢次.1,5,真庭 明志,真庭 明志.1,6,山本 幸也,山本 幸也.1
2.0,3.0,10.0,1.0,3.0,21.2,1.0,2.0,96.2,1.0,2.0,124.8,1.0,2.0,69.2,1.0,2.0,1429.0
2.0,4.0,7.8,1.0,4.0,13.9,1.0,4.0,142.5,1.0,3.0,256.4,1.0,3.0,134.4,1.0,3.0,1822.0
2.0,5.0,7.2,1.0,5.0,13.6,1.0,5.0,101.3,1.0,5.0,123.5,1.0,4.0,108.8,1.0,4.0,2057.0
2.0,6.0,166.0,1.0,6.0,251.8,1.0,6.0,830.3,1.0,6.0,663.8,1.0,6.0,374.0,1.0,5.0,1569.0
3.0,2.0,16.4,3.0,1.0,65.2,2.0,1.0,127.7,2.0,1.0,173.1,2.0,1.0,101.2,2.0,1.0,2320.0
3.0,4.0,24.0,3.0,4.0,98.0,2.0,4.0,165.8,2.0,3.0,408.9,2.0,3.0,222.1,2.0,3.0,3352.0
3.0,5.0,20.2,3.0,5.0,90.2,2.0,5.0,160.8,2.0,5.0,198.3,2.0,4.0,150.9,2.0,4.0,2301.0
3.0,6.0,254.7,3.0,6.0,750.0,2.0,6.0,949.3,2.0,6.0,875.8,2.0,6.0,694.4,2.0,5.0,2468.0
4.0,2.0,17.2,4.0,1.0,62.7,4.0,1.0,237.7,3.0,1.0,437.9,3.0,1.0,256.4,3.0,1.0,2688.0
4.0,3.0,37.2,4.0,3.0,130.2,4.0,2.0,252.1,3.0,2.0,541.9,3.0,2.0,354.0,3.0,2.0,3878.0
4.0,5.0,30.2,4.0,5.0,89.5,4.0,5.0,229.5,3.0,5.0,472.2,3.0,4.0,421.6,3.0,4.0,3394.0
4.0,6.0,268.8,4.0,6.0,822.8,4.0,6.0,1122.0,3.0,6.0,1798.0,3.0,6.0,1364.0,3.0,5.0,3481.0
5.0,2.0,14.8,5.0,1.0,54.0,5.0,1.0,198.0,5.0,1.0,151.2,4.0,1.0,169.4,4.0,1.0,3824.0
5.0,3.0,32.9,5.0,3.0,114.0,5.0,2.0,225.1,5.0,2.0,180.0,4.0,2.0,202.0,4.0,2.0,2919.0
5.0,4.0,33.8,5.0,4.0,93.1,5.0,4.0,268.8,5.0,3.0,364.4,4.0,3.0,374.0,4.0,3.0,3935.0
5.0,6.0,169.3,5.0,6.0,532.4,5.0,6.0,1024.0,5.0,6.0,549.6,4.0,6.0,611.5,4.0,5.0,2919.0
6.0,2.0,610.1,6.0,1.0,1090.0,6.0,1.0,2041.0,6.0,1.0,1665.0,6.0,1.0,962.8,5.0,1.0,2121.0
6.0,3.0,778.0,6.0,3.0,1729.0,6.0,2.0,2381.0,6.0,2.0,1967.0,6.0,2.0,1299.0,5.0,2.0,3271.0
6.0,4.0,739.8,6.0,4.0,1475.0,6.0,4.0,2225.0,6.0,3.0,2688.0,6.0,3.0,1898.0,5.0,3.0,4242.0
6.0,5.0,602.0,6.0,5.0,1077.0,6.0,5.0,2446.0,6.0,5.0,1286.0,6.0,4.0,1280.0,5.0,4.0,3526.0
