1,三好 勇人,三好 勇人.1,2,深川 和仁,深川 和仁.1,3,寺嶋 雄,寺嶋 雄.1,4,大西 隆洋,大西 隆洋.1,5,渡邊 哲也,渡邊 哲也.1,6,川口 貴久,川口 貴久.1
2.0,3.0,6.3,1.0,3.0,33.8,1.0,2.0,44.3,1.0,2.0,125.0,1.0,2.0,676.9,1.0,2.0,260.6
2.0,4.0,9.3,1.0,4.0,52.5,1.0,4.0,48.2,1.0,3.0,124.4,1.0,3.0,783.7,1.0,3.0,295.5
2.0,5.0,28.3,1.0,5.0,125.3,1.0,5.0,92.5,1.0,5.0,199.7,1.0,4.0,770.5,1.0,4.0,341.0
2.0,6.0,19.6,1.0,6.0,77.4,1.0,6.0,73.6,1.0,6.0,128.2,1.0,6.0,886.6,1.0,5.0,738.8
3.0,2.0,7.9,3.0,1.0,89.0,2.0,1.0,102.7,2.0,1.0,228.1,2.0,1.0,1105.0,2.0,1.0,426.7
3.0,4.0,8.6,3.0,4.0,202.6,2.0,4.0,214.5,2.0,3.0,489.6,2.0,3.0,1832.0,2.0,3.0,850.0
3.0,5.0,24.1,3.0,5.0,401.8,2.0,5.0,380.6,2.0,5.0,504.6,2.0,4.0,1891.0,2.0,4.0,1007.0
3.0,6.0,17.2,3.0,6.0,278.5,2.0,6.0,257.0,2.0,6.0,419.4,2.0,6.0,1761.0,2.0,5.0,1482.0
4.0,2.0,15.0,4.0,1.0,169.6,4.0,1.0,124.6,3.0,1.0,248.8,3.0,1.0,1174.0,3.0,1.0,529.2
4.0,3.0,16.3,4.0,3.0,316.6,4.0,2.0,239.2,3.0,2.0,415.1,3.0,2.0,2020.0,3.0,2.0,1093.0
4.0,5.0,35.7,4.0,5.0,482.1,4.0,5.0,237.3,3.0,5.0,467.9,3.0,4.0,1865.0,3.0,4.0,1111.0
4.0,6.0,28.1,4.0,6.0,338.2,4.0,6.0,209.3,3.0,6.0,372.0,3.0,6.0,2342.0,3.0,5.0,2082.0
5.0,2.0,89.5,5.0,1.0,504.6,5.0,1.0,401.4,5.0,1.0,357.2,4.0,1.0,1084.0,4.0,1.0,540.3
5.0,3.0,80.4,5.0,3.0,900.1,5.0,2.0,710.8,5.0,2.0,543.1,4.0,2.0,1555.0,4.0,2.0,1108.0
5.0,4.0,104.5,5.0,4.0,932.7,5.0,4.0,579.0,5.0,3.0,714.5,4.0,3.0,1724.0,4.0,3.0,1234.0
5.0,6.0,124.3,5.0,6.0,880.9,5.0,6.0,552.6,5.0,6.0,448.6,4.0,6.0,1504.0,4.0,5.0,1604.0
6.0,2.0,53.8,6.0,1.0,324.3,6.0,1.0,308.8,6.0,1.0,291.3,6.0,1.0,1499.0,5.0,1.0,1840.0
6.0,3.0,54.6,6.0,3.0,669.2,6.0,2.0,499.7,6.0,2.0,426.7,6.0,2.0,2192.0,5.0,2.0,2592.0
6.0,4.0,76.1,6.0,4.0,692.8,6.0,4.0,493.1,6.0,3.0,543.8,6.0,3.0,2316.0,5.0,3.0,2560.0
6.0,5.0,156.4,6.0,5.0,1164.0,6.0,5.0,809.9,6.0,5.0,494.3,6.0,4.0,2192.0,5.0,4.0,2169.0
