1,中里 優子,中里 優子.1,2,倉田 茂将,倉田 茂将.1,3,泉 啓文,泉 啓文.1,4,内堀 学,内堀 学.1,5,清水 攻二,清水 攻二.1,6,岡田 憲行,岡田 憲行.1
2.0,3.0,16.2,1.0,3.0,68.2,1.0,2.0,187.5,1.0,2.0,194.8,1.0,2.0,111.7,1.0,2.0,165.1
2.0,4.0,18.2,1.0,4.0,67.2,1.0,4.0,188.2,1.0,3.0,272.3,1.0,3.0,166.0,1.0,3.0,316.8
2.0,5.0,10.5,1.0,5.0,43.4,1.0,5.0,139.4,1.0,5.0,109.3,1.0,4.0,170.4,1.0,4.0,254.9
2.0,6.0,10.5,1.0,6.0,41.6,1.0,6.0,143.5,1.0,6.0,85.0,1.0,6.0,61.3,1.0,5.0,115.9
3.0,2.0,27.0,3.0,1.0,192.7,2.0,1.0,266.4,2.0,1.0,364.2,2.0,1.0,263.1,2.0,1.0,303.8
3.0,4.0,34.1,3.0,4.0,345.8,2.0,4.0,452.8,2.0,3.0,606.8,2.0,3.0,710.1,2.0,3.0,859.0
3.0,5.0,24.0,3.0,5.0,256.7,2.0,5.0,328.3,2.0,5.0,370.2,2.0,4.0,625.5,2.0,4.0,832.9
3.0,6.0,25.9,3.0,6.0,252.7,2.0,6.0,304.0,2.0,6.0,307.4,2.0,6.0,273.7,2.0,5.0,477.3
4.0,2.0,31.4,4.0,1.0,152.5,4.0,1.0,387.4,3.0,1.0,471.5,3.0,1.0,440.8,3.0,1.0,605.3
4.0,3.0,43.6,4.0,3.0,436.7,4.0,2.0,591.5,3.0,2.0,843.5,3.0,2.0,961.5,3.0,2.0,1134.0
4.0,5.0,28.7,4.0,5.0,210.3,4.0,5.0,477.3,3.0,5.0,604.5,3.0,4.0,975.5,3.0,4.0,1316.0
4.0,6.0,25.2,4.0,6.0,195.4,4.0,6.0,435.1,3.0,6.0,515.7,3.0,6.0,469.1,3.0,5.0,857.4
5.0,2.0,18.7,5.0,1.0,126.7,5.0,1.0,315.3,5.0,1.0,142.6,4.0,1.0,255.0,4.0,1.0,511.2
5.0,3.0,31.5,5.0,3.0,408.4,5.0,2.0,587.0,5.0,2.0,237.6,4.0,2.0,459.9,4.0,2.0,1091.0
5.0,4.0,33.5,5.0,4.0,369.7,5.0,4.0,583.4,5.0,3.0,467.3,4.0,3.0,778.8,4.0,3.0,1502.0
5.0,6.0,13.9,5.0,6.0,136.3,5.0,6.0,316.3,5.0,6.0,100.9,4.0,6.0,190.5,4.0,5.0,471.0
6.0,2.0,25.4,6.0,1.0,160.2,6.0,1.0,365.9,6.0,1.0,146.7,6.0,1.0,96.2,5.0,1.0,151.6
6.0,3.0,51.6,6.0,3.0,467.7,6.0,2.0,742.9,6.0,2.0,313.4,6.0,2.0,241.6,5.0,2.0,408.4
6.0,4.0,41.8,6.0,4.0,458.1,6.0,4.0,790.7,6.0,3.0,626.4,6.0,3.0,373.5,5.0,3.0,495.0
6.0,5.0,22.9,6.0,5.0,242.7,6.0,5.0,479.2,6.0,5.0,156.3,6.0,4.0,231.1,5.0,4.0,376.2
