1,鳥飼 眞,鳥飼 眞.1,2,岩崎 正哉,岩崎 正哉.1,3,三苫 晃幸,三苫 晃幸.1,4,石倉 洋行,石倉 洋行.1,5,村上 彰一,村上 彰一.1,6,小池 公生,小池 公生.1
2.0,3.0,14.6,1.0,3.0,46.2,1.0,2.0,46.7,1.0,2.0,33.7,1.0,2.0,454.8,1.0,2.0,1031.0
2.0,4.0,14.6,1.0,4.0,39.8,1.0,4.0,22.9,1.0,3.0,34.7,1.0,3.0,401.1,1.0,3.0,1226.0
2.0,5.0,50.7,1.0,5.0,148.6,1.0,5.0,63.6,1.0,5.0,52.5,1.0,4.0,370.2,1.0,4.0,937.8
2.0,6.0,62.2,1.0,6.0,173.6,1.0,6.0,100.1,1.0,6.0,63.5,1.0,6.0,485.3,1.0,5.0,1722.0
3.0,2.0,13.6,3.0,1.0,80.7,2.0,1.0,91.2,2.0,1.0,61.5,2.0,1.0,771.1,2.0,1.0,1265.0
3.0,4.0,8.7,3.0,4.0,50.9,2.0,4.0,64.3,2.0,3.0,68.3,2.0,3.0,1058.0,2.0,3.0,2218.0
3.0,5.0,24.5,3.0,5.0,227.4,2.0,5.0,231.6,2.0,5.0,124.4,2.0,4.0,958.1,2.0,4.0,1467.0
3.0,6.0,45.3,3.0,6.0,287.2,2.0,6.0,258.2,2.0,6.0,119.9,2.0,6.0,1245.0,2.0,5.0,3652.0
4.0,2.0,15.5,4.0,1.0,64.5,4.0,1.0,42.1,3.0,1.0,57.4,3.0,1.0,649.4,3.0,1.0,1567.0
4.0,3.0,12.0,4.0,3.0,58.7,4.0,2.0,56.1,3.0,2.0,66.1,3.0,2.0,1176.0,3.0,2.0,2346.0
4.0,5.0,30.7,4.0,5.0,203.1,4.0,5.0,104.1,3.0,5.0,124.3,3.0,4.0,846.3,3.0,4.0,1792.0
4.0,6.0,44.3,4.0,6.0,176.7,4.0,6.0,132.0,3.0,6.0,122.5,3.0,6.0,1229.0,3.0,5.0,2891.0
5.0,2.0,107.5,5.0,1.0,443.6,5.0,1.0,253.1,5.0,1.0,74.2,4.0,1.0,360.1,4.0,1.0,932.4
5.0,3.0,81.5,5.0,3.0,543.3,5.0,2.0,434.9,5.0,2.0,108.7,4.0,2.0,534.4,4.0,2.0,1248.0
5.0,4.0,107.1,5.0,4.0,507.0,5.0,4.0,282.9,5.0,3.0,154.2,4.0,3.0,590.2,4.0,3.0,1499.0
5.0,6.0,181.6,5.0,6.0,948.8,5.0,6.0,533.8,5.0,6.0,92.9,4.0,6.0,430.6,4.0,5.0,1698.0
6.0,2.0,206.1,6.0,1.0,660.0,6.0,1.0,428.0,6.0,1.0,135.5,6.0,1.0,837.5,5.0,1.0,1704.0
6.0,3.0,216.8,6.0,3.0,925.3,6.0,2.0,657.3,6.0,2.0,161.6,6.0,2.0,1441.0,5.0,2.0,2824.0
6.0,4.0,176.3,6.0,4.0,614.9,6.0,4.0,422.4,6.0,3.0,209.4,6.0,3.0,1312.0,5.0,3.0,2640.0
6.0,5.0,324.5,6.0,5.0,1424.0,6.0,5.0,788.6,6.0,5.0,143.5,6.0,4.0,960.0,5.0,4.0,1890.0
