1,大上 卓人,大上 卓人.1,2,平野 和明,平野 和明.1,3,松尾 充,松尾 充.1,4,田中 京介,田中 京介.1,5,永田 義紘,永田 義紘.1,6,伊藤 誠二,伊藤 誠二.1
2.0,3.0,5.2,1.0,3.0,61.3,1.0,2.0,60.8,1.0,2.0,75.0,1.0,2.0,622.2,1.0,2.0,675.5
2.0,4.0,7.6,1.0,4.0,90.6,1.0,4.0,62.4,1.0,3.0,98.2,1.0,3.0,722.9,1.0,3.0,641.6
2.0,5.0,26.7,1.0,5.0,224.4,1.0,5.0,132.3,1.0,5.0,122.6,1.0,4.0,613.3,1.0,4.0,890.0
2.0,6.0,22.4,1.0,6.0,142.8,1.0,6.0,119.2,1.0,6.0,118.9,1.0,6.0,769.9,1.0,5.0,1800.0
3.0,2.0,7.1,3.0,1.0,111.6,2.0,1.0,193.8,2.0,1.0,185.4,2.0,1.0,1183.0,2.0,1.0,1056.0
3.0,4.0,7.5,3.0,4.0,305.4,2.0,4.0,354.0,2.0,3.0,322.2,2.0,3.0,1990.0,2.0,3.0,1617.0
3.0,5.0,23.0,3.0,5.0,890.0,2.0,5.0,722.9,2.0,5.0,489.7,2.0,4.0,1896.0,2.0,4.0,2384.0
3.0,6.0,22.4,3.0,6.0,605.1,2.0,6.0,562.0,2.0,6.0,457.1,2.0,6.0,1831.0,2.0,5.0,2366.0
4.0,2.0,12.2,4.0,1.0,263.0,4.0,1.0,167.6,3.0,1.0,217.6,3.0,1.0,1325.0,3.0,1.0,953.8
4.0,3.0,13.9,4.0,3.0,444.1,4.0,2.0,340.1,3.0,2.0,346.9,3.0,2.0,2095.0,3.0,2.0,1857.0
4.0,5.0,33.1,4.0,5.0,1000.0,4.0,5.0,472.3,3.0,5.0,565.0,3.0,4.0,2323.0,3.0,4.0,2144.0
4.0,6.0,33.1,4.0,6.0,722.9,4.0,6.0,362.4,3.0,6.0,521.2,3.0,6.0,2587.0,3.0,5.0,2945.0
5.0,2.0,68.4,5.0,1.0,956.6,5.0,1.0,568.0,5.0,1.0,204.4,4.0,1.0,560.5,4.0,1.0,1356.0
5.0,3.0,79.1,5.0,3.0,1736.0,5.0,2.0,1183.0,5.0,2.0,368.3,4.0,2.0,1003.0,4.0,2.0,2429.0
5.0,4.0,91.6,5.0,4.0,1954.0,5.0,4.0,959.5,5.0,3.0,499.6,4.0,3.0,1514.0,4.0,3.0,2211.0
5.0,6.0,121.0,5.0,6.0,1868.0,5.0,6.0,1094.0,5.0,6.0,305.7,4.0,6.0,874.2,4.0,5.0,2608.0
6.0,2.0,72.1,6.0,1.0,633.9,6.0,1.0,450.0,6.0,1.0,284.7,6.0,1.0,1672.0,5.0,1.0,3163.0
6.0,3.0,83.5,6.0,3.0,1320.0,6.0,2.0,966.8,6.0,2.0,486.7,6.0,2.0,2234.0,5.0,2.0,3550.0
6.0,4.0,83.1,6.0,4.0,1459.0,6.0,4.0,841.9,6.0,3.0,564.5,6.0,3.0,2790.0,5.0,3.0,3826.0
6.0,5.0,159.0,6.0,5.0,2109.0,6.0,5.0,1377.0,6.0,5.0,506.3,6.0,4.0,1913.0,5.0,4.0,3000.0
