1,實森 美祐,實森 美祐.1,2,伊藤 玲奈,伊藤 玲奈.1,3,福島 陽子,福島 陽子.1,4,小池 礼乃,小池 礼乃.1,5,橋谷田　佳織,橋谷田　佳織.1,6,河内　悠利杏,河内　悠利杏.1
2.0,3.0,10.6,1.0,3.0,81.4,1.0,2.0,180.6,1.0,2.0,19.0,1.0,2.0,613.3,1.0,2.0,910.8
2.0,4.0,4.8,1.0,4.0,41.3,1.0,4.0,150.6,1.0,3.0,47.6,1.0,3.0,965.4,1.0,3.0,1383.0
2.0,5.0,28.5,1.0,5.0,143.9,1.0,5.0,354.6,1.0,5.0,30.4,1.0,4.0,439.5,1.0,4.0,713.3
2.0,6.0,82.0,1.0,6.0,343.8,1.0,6.0,710.0,1.0,6.0,69.6,1.0,6.0,1311.0,1.0,5.0,1580.0
3.0,2.0,18.7,3.0,1.0,199.4,2.0,1.0,316.2,2.0,1.0,41.9,2.0,1.0,1018.0,2.0,1.0,1436.0
3.0,4.0,13.9,3.0,4.0,259.1,2.0,4.0,357.7,2.0,3.0,143.5,2.0,3.0,1631.0,2.0,3.0,3089.0
3.0,5.0,50.9,3.0,5.0,659.3,2.0,5.0,860.1,2.0,5.0,98.0,2.0,4.0,894.6,2.0,4.0,1764.0
3.0,6.0,149.0,3.0,6.0,1257.0,2.0,6.0,1681.0,2.0,6.0,240.7,2.0,6.0,2174.0,2.0,5.0,2703.0
4.0,2.0,4.8,4.0,1.0,64.8,4.0,1.0,236.3,3.0,1.0,155.1,3.0,1.0,1396.0,3.0,1.0,2473.0
4.0,3.0,10.0,4.0,3.0,203.6,4.0,2.0,370.6,3.0,2.0,229.5,3.0,2.0,1776.0,3.0,2.0,3674.0
4.0,5.0,13.7,4.0,5.0,221.3,4.0,5.0,734.8,3.0,5.0,364.4,3.0,4.0,1991.0,3.0,4.0,3638.0
4.0,6.0,40.5,4.0,6.0,525.2,4.0,6.0,1197.0,3.0,6.0,644.7,3.0,6.0,3276.0,3.0,5.0,4158.0
5.0,2.0,91.0,5.0,1.0,566.1,5.0,1.0,958.0,5.0,1.0,72.6,4.0,1.0,473.9,4.0,1.0,899.9
5.0,3.0,135.5,5.0,3.0,1021.0,5.0,2.0,1193.0,5.0,2.0,114.3,4.0,2.0,750.1,4.0,2.0,1455.0
5.0,4.0,73.3,5.0,4.0,659.8,5.0,4.0,1160.0,5.0,3.0,289.9,4.0,3.0,1544.0,4.0,3.0,2813.0
5.0,6.0,268.3,5.0,6.0,1732.0,5.0,6.0,2834.0,5.0,6.0,215.0,4.0,6.0,1278.0,4.0,5.0,2126.0
6.0,2.0,277.5,6.0,1.0,1222.0,6.0,1.0,2574.0,6.0,1.0,212.9,6.0,1.0,2481.0,5.0,1.0,2628.0
6.0,3.0,384.7,6.0,3.0,2489.0,6.0,2.0,3334.0,6.0,2.0,389.7,6.0,2.0,2911.0,5.0,2.0,3424.0
6.0,4.0,185.2,6.0,4.0,1430.0,6.0,4.0,2968.0,6.0,3.0,743.5,6.0,3.0,3728.0,5.0,3.0,3822.0
6.0,5.0,411.3,6.0,5.0,2574.0,6.0,5.0,3319.0,6.0,5.0,375.0,6.0,4.0,2402.0,5.0,4.0,2911.0
