1,田中 宏樹,田中 宏樹.1,2,江藤 敦宏,江藤 敦宏.1,3,松下 哲也,松下 哲也.1,4,溝口　海義也,溝口　海義也.1,5,今井 貴士,今井 貴士.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,53.6,1.0,3.0,280.9,1.0,2.0,189.0,1.0,2.0,80.3,1.0,2.0,106.4,1.0,2.0,886.8
2.0,4.0,31.5,1.0,4.0,180.9,1.0,4.0,60.1,1.0,3.0,55.4,1.0,3.0,71.2,1.0,3.0,886.8
2.0,5.0,37.1,1.0,5.0,213.8,1.0,5.0,63.4,1.0,5.0,16.7,1.0,4.0,27.8,1.0,4.0,566.5
2.0,6.0,137.9,1.0,6.0,592.2,1.0,6.0,225.2,1.0,6.0,71.9,1.0,6.0,99.0,1.0,5.0,646.5
3.0,2.0,54.0,3.0,1.0,462.8,2.0,1.0,309.6,2.0,1.0,203.5,2.0,1.0,280.4,2.0,1.0,1711.0
3.0,4.0,15.5,3.0,4.0,618.2,2.0,4.0,400.4,2.0,3.0,437.7,2.0,3.0,555.3,2.0,3.0,2871.0
3.0,5.0,17.5,3.0,5.0,877.6,2.0,5.0,466.6,2.0,5.0,167.8,2.0,4.0,278.1,2.0,4.0,2091.0
3.0,6.0,81.2,3.0,6.0,1184.0,2.0,6.0,859.8,2.0,6.0,367.4,2.0,6.0,493.8,2.0,5.0,2352.0
4.0,2.0,25.0,4.0,1.0,284.2,4.0,1.0,93.2,3.0,1.0,113.9,3.0,1.0,142.3,3.0,1.0,1677.0
4.0,3.0,15.7,4.0,3.0,685.8,4.0,2.0,270.1,3.0,2.0,371.4,3.0,2.0,518.0,3.0,2.0,2352.0
4.0,5.0,8.2,4.0,5.0,311.3,4.0,5.0,81.7,3.0,5.0,93.3,3.0,4.0,125.5,3.0,4.0,1802.0
4.0,6.0,37.9,4.0,6.0,699.9,4.0,6.0,248.3,3.0,6.0,250.9,3.0,6.0,331.4,3.0,5.0,2117.0
5.0,2.0,35.2,5.0,1.0,352.1,5.0,1.0,113.7,5.0,1.0,18.3,4.0,1.0,28.1,4.0,1.0,604.9
5.0,3.0,21.6,5.0,3.0,826.3,5.0,2.0,335.4,5.0,2.0,76.3,4.0,2.0,122.4,4.0,2.0,1072.0
5.0,4.0,10.5,5.0,4.0,416.2,5.0,4.0,101.3,5.0,3.0,53.1,4.0,3.0,76.2,4.0,3.0,1020.0
5.0,6.0,49.4,5.0,6.0,830.3,5.0,6.0,304.1,5.0,6.0,38.4,4.0,6.0,58.7,4.0,5.0,382.3
6.0,2.0,303.5,6.0,1.0,1472.0,6.0,1.0,651.5,6.0,1.0,176.4,6.0,1.0,233.6,5.0,1.0,799.0
6.0,3.0,272.3,6.0,3.0,1947.0,6.0,2.0,1072.0,6.0,2.0,425.6,6.0,2.0,495.3,5.0,2.0,1693.0
6.0,4.0,156.2,6.0,4.0,1435.0,6.0,4.0,651.5,6.0,3.0,416.2,6.0,3.0,495.3,5.0,3.0,1377.0
6.0,5.0,173.3,6.0,5.0,1821.0,6.0,5.0,733.3,6.0,5.0,145.2,6.0,4.0,194.4,5.0,4.0,455.3
