1,村田 友也,村田 友也.1,2,渡 修平,渡 修平.1,3,石倉 洋行,石倉 洋行.1,4,高橋 英之,高橋 英之.1,5,永嶋 裕一,永嶋 裕一.1,6,川崎 公靖,川崎 公靖.1
2.0,3.0,66.4,1.0,3.0,122.6,1.0,2.0,57.9,1.0,2.0,100.4,1.0,2.0,291.9,1.0,2.0,1599.0
2.0,4.0,73.5,1.0,4.0,116.1,1.0,4.0,23.4,1.0,3.0,65.0,1.0,3.0,179.1,1.0,3.0,1149.0
2.0,5.0,169.2,1.0,5.0,229.9,1.0,5.0,35.4,1.0,5.0,81.3,1.0,4.0,192.5,1.0,4.0,1071.0
2.0,6.0,272.4,1.0,6.0,510.9,1.0,6.0,96.6,1.0,6.0,154.3,1.0,6.0,319.8,1.0,5.0,1751.0
3.0,2.0,56.0,3.0,1.0,111.8,2.0,1.0,90.4,2.0,1.0,136.2,2.0,1.0,486.1,2.0,1.0,1672.0
3.0,4.0,30.0,3.0,4.0,55.7,2.0,4.0,27.4,2.0,3.0,60.4,2.0,3.0,171.8,2.0,3.0,912.0
3.0,5.0,50.7,3.0,5.0,81.2,2.0,5.0,33.1,2.0,5.0,76.1,2.0,4.0,172.9,2.0,4.0,976.5
3.0,6.0,143.1,3.0,6.0,213.8,2.0,6.0,122.3,2.0,6.0,148.7,2.0,6.0,422.8,2.0,5.0,2299.0
4.0,2.0,73.3,4.0,1.0,162.5,4.0,1.0,22.7,3.0,1.0,52.8,3.0,1.0,162.5,3.0,1.0,1226.0
4.0,3.0,47.5,4.0,3.0,70.8,4.0,2.0,18.8,3.0,2.0,41.4,3.0,2.0,121.2,3.0,2.0,943.2
4.0,5.0,78.6,4.0,5.0,97.7,4.0,5.0,9.4,3.0,5.0,19.7,3.0,4.0,48.4,3.0,4.0,377.9
4.0,6.0,141.4,4.0,6.0,249.6,4.0,6.0,31.6,3.0,6.0,58.7,3.0,6.0,111.6,3.0,5.0,492.6
5.0,2.0,265.9,5.0,1.0,551.7,5.0,1.0,61.5,5.0,1.0,81.2,4.0,1.0,206.2,4.0,1.0,1137.0
5.0,3.0,125.9,5.0,3.0,181.5,5.0,2.0,43.1,5.0,2.0,58.3,4.0,2.0,125.9,4.0,2.0,1081.0
5.0,4.0,165.2,5.0,4.0,180.3,5.0,4.0,14.9,5.0,3.0,33.0,4.0,3.0,60.3,4.0,3.0,434.4
5.0,6.0,375.3,5.0,6.0,609.7,5.0,6.0,45.3,5.0,6.0,63.5,4.0,6.0,132.7,4.0,5.0,398.3
6.0,2.0,656.8,6.0,1.0,1329.0,6.0,1.0,259.0,6.0,1.0,374.0,6.0,1.0,424.4,5.0,1.0,1697.0
6.0,3.0,497.0,6.0,3.0,793.9,6.0,2.0,262.1,6.0,2.0,331.3,6.0,2.0,641.6,5.0,2.0,1936.0
6.0,4.0,515.6,6.0,4.0,788.2,6.0,4.0,111.6,6.0,3.0,179.7,6.0,3.0,198.8,5.0,3.0,590.1
6.0,5.0,664.7,6.0,5.0,1452.0,6.0,5.0,109.9,6.0,5.0,182.1,6.0,4.0,226.1,5.0,4.0,427.7
