1,上村 純一,上村 純一.1,2,岡瀬 正人,岡瀬 正人.1,3,守屋 大地,守屋 大地.1,4,中村 辰也,中村 辰也.1,5,佐藤　謙史朗,佐藤　謙史朗.1,6,屋良 龍紀,屋良 龍紀.1
2.0,3.0,10.8,1.0,3.0,80.1,1.0,2.0,150.0,1.0,2.0,58.8,1.0,2.0,77.6,1.0,2.0,1638.0
2.0,4.0,5.6,1.0,4.0,45.0,1.0,4.0,153.5,1.0,3.0,139.0,1.0,3.0,130.4,1.0,3.0,2118.0
2.0,5.0,9.1,1.0,5.0,60.5,1.0,5.0,123.1,1.0,5.0,49.1,1.0,4.0,76.3,1.0,4.0,1720.0
2.0,6.0,177.9,1.0,6.0,580.0,1.0,6.0,795.0,1.0,6.0,385.1,1.0,6.0,327.7,1.0,5.0,1974.0
3.0,2.0,15.5,3.0,1.0,251.9,2.0,1.0,307.7,2.0,1.0,111.9,2.0,1.0,155.8,2.0,1.0,2652.0
3.0,4.0,15.6,3.0,4.0,460.8,2.0,4.0,510.1,2.0,3.0,381.3,2.0,3.0,447.1,2.0,3.0,3440.0
3.0,5.0,18.0,3.0,5.0,490.7,2.0,5.0,475.2,2.0,5.0,173.9,2.0,4.0,260.2,2.0,4.0,2919.0
3.0,6.0,243.6,3.0,6.0,1686.0,2.0,6.0,1754.0,2.0,6.0,793.2,2.0,6.0,713.4,2.0,5.0,3776.0
4.0,2.0,8.4,4.0,1.0,114.4,4.0,1.0,295.6,3.0,1.0,388.2,3.0,1.0,275.3,3.0,1.0,3308.0
4.0,3.0,19.7,4.0,3.0,385.6,4.0,2.0,467.6,3.0,2.0,532.0,3.0,2.0,605.3,3.0,2.0,3776.0
4.0,5.0,10.3,4.0,5.0,214.7,4.0,5.0,364.5,3.0,5.0,397.0,3.0,4.0,542.0,3.0,4.0,3509.0
4.0,6.0,184.6,4.0,6.0,1362.0,4.0,6.0,1423.0,3.0,6.0,1384.0,3.0,6.0,1447.0,3.0,5.0,4512.0
5.0,2.0,16.5,5.0,1.0,192.3,5.0,1.0,234.7,5.0,1.0,60.2,4.0,1.0,115.3,4.0,1.0,3130.0
5.0,3.0,29.9,5.0,3.0,584.9,5.0,2.0,423.7,5.0,2.0,159.3,4.0,2.0,214.4,4.0,2.0,3657.0
5.0,4.0,18.7,5.0,4.0,318.4,5.0,4.0,429.4,5.0,3.0,291.7,4.0,3.0,376.4,4.0,3.0,4343.0
5.0,6.0,174.8,5.0,6.0,1728.0,5.0,6.0,1616.0,5.0,6.0,436.4,4.0,6.0,572.3,4.0,5.0,3474.0
6.0,2.0,626.0,6.0,1.0,2068.0,6.0,1.0,2536.0,6.0,1.0,1258.0,6.0,1.0,933.9,5.0,1.0,3102.0
6.0,3.0,758.6,6.0,3.0,2412.0,6.0,2.0,2735.0,6.0,2.0,1754.0,6.0,2.0,1150.0,5.0,2.0,4186.0
6.0,4.0,722.3,6.0,4.0,2363.0,6.0,4.0,2847.0,6.0,3.0,2379.0,6.0,3.0,1888.0,5.0,3.0,4186.0
6.0,5.0,623.7,6.0,5.0,2396.0,6.0,5.0,3509.0,6.0,5.0,1249.0,6.0,4.0,1389.0,5.0,4.0,3509.0
