1,白水 勝也,白水 勝也.1,2,北川 潤二,北川 潤二.1,3,松尾 基成,松尾 基成.1,4,金子 萌,金子 萌.1,5,宇留田　翔平,宇留田　翔平.1,6,田村 慶,田村 慶.1
2.0,3.0,10.1,1.0,3.0,56.1,1.0,2.0,206.7,1.0,2.0,62.1,1.0,2.0,103.4,1.0,2.0,542.9
2.0,4.0,4.8,1.0,4.0,28.0,1.0,4.0,208.9,1.0,3.0,155.0,1.0,3.0,316.9,1.0,3.0,1136.0
2.0,5.0,7.8,1.0,5.0,39.0,1.0,5.0,288.6,1.0,5.0,85.2,1.0,4.0,163.8,1.0,4.0,1020.0
2.0,6.0,24.3,1.0,6.0,78.8,1.0,6.0,446.7,1.0,6.0,174.0,1.0,6.0,186.2,1.0,5.0,997.1
3.0,2.0,21.4,3.0,1.0,216.3,2.0,1.0,323.0,2.0,1.0,112.3,2.0,1.0,184.6,2.0,1.0,703.0
3.0,4.0,24.5,3.0,4.0,312.4,2.0,4.0,441.3,2.0,3.0,485.3,2.0,3.0,626.7,2.0,3.0,1371.0
3.0,5.0,34.3,3.0,5.0,352.1,2.0,5.0,552.5,2.0,5.0,276.2,2.0,4.0,395.9,2.0,4.0,1482.0
3.0,6.0,67.7,3.0,6.0,471.7,2.0,6.0,741.0,2.0,6.0,392.4,2.0,6.0,484.2,2.0,5.0,1713.0
4.0,2.0,9.6,4.0,1.0,88.2,4.0,1.0,370.5,3.0,1.0,354.3,3.0,1.0,716.8,3.0,1.0,2031.0
4.0,3.0,28.4,4.0,3.0,295.2,4.0,2.0,577.2,3.0,2.0,733.6,3.0,2.0,962.1,3.0,2.0,1555.0
4.0,5.0,16.4,4.0,5.0,170.1,4.0,5.0,767.0,3.0,5.0,937.4,3.0,4.0,1388.0,3.0,4.0,2261.0
4.0,6.0,37.5,4.0,6.0,292.0,4.0,6.0,1044.0,3.0,6.0,1025.0,3.0,6.0,1354.0,3.0,5.0,2848.0
5.0,2.0,20.5,5.0,1.0,151.9,5.0,1.0,506.6,5.0,1.0,128.3,4.0,1.0,215.0,4.0,1.0,1321.0
5.0,3.0,51.5,5.0,3.0,450.4,5.0,2.0,733.6,5.0,2.0,223.1,4.0,2.0,405.4,4.0,2.0,1812.0
5.0,4.0,33.8,5.0,4.0,268.1,5.0,4.0,974.9,5.0,3.0,731.2,4.0,3.0,937.4,4.0,3.0,2358.0
5.0,6.0,47.1,5.0,6.0,339.5,5.0,6.0,1379.0,5.0,6.0,330.8,4.0,6.0,334.3,4.0,5.0,2238.0
6.0,2.0,79.0,6.0,1.0,384.1,6.0,1.0,1102.0,6.0,1.0,430.1,6.0,1.0,465.7,5.0,1.0,1239.0
6.0,3.0,147.3,6.0,3.0,824.6,6.0,2.0,1329.0,6.0,2.0,574.2,6.0,2.0,624.9,5.0,2.0,1843.0
6.0,4.0,116.8,6.0,4.0,772.4,6.0,4.0,1907.0,6.0,3.0,957.9,6.0,3.0,1059.0,5.0,3.0,2261.0
6.0,5.0,95.8,6.0,5.0,824.6,6.0,5.0,2050.0,6.0,5.0,647.0,6.0,4.0,827.7,5.0,4.0,1874.0
