1,篠崎 仁志,篠崎 仁志.1,2,古賀 繁輝,古賀 繁輝.1,3,土屋 智則,土屋 智則.1,4,柳沢 一,柳沢 一.1,5,宮地 元輝,宮地 元輝.1,6,吉川 貴仁,吉川 貴仁.1
2.0,3.0,14.7,1.0,3.0,78.8,1.0,2.0,100.5,1.0,2.0,61.0,1.0,2.0,88.5,1.0,2.0,1998.0
2.0,4.0,11.8,1.0,4.0,66.4,1.0,4.0,62.8,1.0,3.0,70.8,1.0,3.0,83.6,1.0,3.0,2165.0
2.0,5.0,15.0,1.0,5.0,70.0,1.0,5.0,55.4,1.0,5.0,36.1,1.0,4.0,63.6,1.0,4.0,1741.0
2.0,6.0,86.3,1.0,6.0,252.2,1.0,6.0,225.7,1.0,6.0,127.5,1.0,6.0,180.0,1.0,5.0,2388.0
3.0,2.0,19.0,3.0,1.0,206.4,2.0,1.0,222.9,2.0,1.0,145.0,2.0,1.0,214.2,2.0,1.0,2570.0
3.0,4.0,12.3,3.0,4.0,296.4,2.0,4.0,285.7,2.0,3.0,260.4,2.0,3.0,410.1,2.0,3.0,3661.0
3.0,5.0,14.0,3.0,5.0,267.3,2.0,5.0,273.5,2.0,5.0,143.7,2.0,4.0,281.8,2.0,4.0,2768.0
3.0,6.0,84.1,3.0,6.0,769.2,2.0,6.0,686.2,2.0,6.0,348.8,2.0,6.0,628.5,2.0,5.0,3293.0
4.0,2.0,13.6,4.0,1.0,154.4,4.0,1.0,130.0,3.0,1.0,173.3,3.0,1.0,201.4,3.0,1.0,2937.0
4.0,3.0,14.6,4.0,3.0,277.0,4.0,2.0,257.0,3.0,2.0,284.0,3.0,2.0,464.9,3.0,2.0,3722.0
4.0,5.0,11.4,4.0,5.0,191.1,4.0,5.0,127.9,3.0,5.0,152.0,3.0,4.0,297.7,3.0,4.0,3567.0
4.0,6.0,68.2,4.0,6.0,534.8,4.0,6.0,442.9,3.0,6.0,391.2,3.0,6.0,696.1,3.0,5.0,3735.0
5.0,2.0,25.0,5.0,1.0,208.3,5.0,1.0,118.6,5.0,1.0,46.6,4.0,1.0,83.1,4.0,1.0,2299.0
5.0,3.0,22.5,5.0,3.0,318.5,5.0,2.0,261.7,5.0,2.0,86.8,4.0,2.0,154.6,4.0,2.0,2594.0
5.0,4.0,19.5,5.0,4.0,270.5,5.0,4.0,169.9,5.0,3.0,101.8,4.0,3.0,171.2,4.0,3.0,3522.0
5.0,6.0,85.3,5.0,6.0,776.2,5.0,6.0,427.3,5.0,6.0,96.8,4.0,6.0,171.7,4.0,5.0,1500.0
6.0,2.0,250.0,6.0,1.0,1207.0,6.0,1.0,1014.0,6.0,1.0,349.0,6.0,1.0,535.6,5.0,1.0,2553.0
6.0,3.0,260.2,6.0,3.0,1622.0,6.0,2.0,1500.0,6.0,2.0,526.0,6.0,2.0,810.1,5.0,2.0,2789.0
6.0,4.0,206.5,6.0,4.0,1526.0,6.0,4.0,1315.0,6.0,3.0,672.5,6.0,3.0,995.6,5.0,3.0,3373.0
6.0,5.0,223.3,6.0,5.0,1636.0,6.0,5.0,1308.0,6.0,5.0,304.9,6.0,4.0,535.6,5.0,4.0,1460.0
