1,山戸 信二,山戸 信二.1,2,眞田 英二,眞田 英二.1,3,林 恵祐,林 恵祐.1,4,河野 真也,河野 真也.1,5,大澤 大夢,大澤 大夢.1,6,増本 杏珠,増本 杏珠.1
2.0,3.0,16.1,1.0,3.0,34.2,1.0,2.0,63.2,1.0,2.0,25.5,1.0,2.0,309.5,1.0,2.0,1332.0
2.0,4.0,9.7,1.0,4.0,20.4,1.0,4.0,44.9,1.0,3.0,47.5,1.0,3.0,496.1,1.0,3.0,1743.0
2.0,5.0,36.5,1.0,5.0,52.5,1.0,5.0,108.7,1.0,5.0,50.8,1.0,4.0,253.3,1.0,4.0,988.1
2.0,6.0,127.5,1.0,6.0,258.3,1.0,6.0,369.3,1.0,6.0,202.0,1.0,6.0,1209.0,1.0,5.0,3040.0
3.0,2.0,17.5,3.0,1.0,77.8,2.0,1.0,86.0,2.0,1.0,38.2,2.0,1.0,362.6,2.0,1.0,2080.0
3.0,4.0,14.8,3.0,4.0,44.5,2.0,4.0,49.0,2.0,3.0,46.6,2.0,3.0,511.0,2.0,3.0,2577.0
3.0,5.0,38.0,3.0,5.0,104.2,2.0,5.0,133.5,2.0,5.0,48.2,2.0,4.0,221.2,2.0,4.0,1824.0
3.0,6.0,141.1,3.0,6.0,434.3,2.0,6.0,496.1,2.0,6.0,271.3,2.0,6.0,1174.0,2.0,5.0,3952.0
4.0,2.0,10.9,4.0,1.0,31.0,4.0,1.0,58.8,3.0,1.0,68.7,3.0,1.0,677.5,3.0,1.0,2117.0
4.0,3.0,15.6,4.0,3.0,39.1,4.0,2.0,53.6,3.0,2.0,59.5,3.0,2.0,655.1,3.0,2.0,2371.0
4.0,5.0,28.7,4.0,5.0,51.8,4.0,5.0,80.1,3.0,5.0,99.8,3.0,4.0,348.7,3.0,4.0,2280.0
4.0,6.0,100.4,4.0,6.0,297.9,4.0,6.0,370.5,3.0,6.0,421.9,3.0,6.0,1743.0,3.0,5.0,3705.0
5.0,2.0,76.5,5.0,1.0,152.2,5.0,1.0,202.0,5.0,1.0,67.9,4.0,1.0,219.9,4.0,1.0,1077.0
5.0,3.0,103.4,5.0,3.0,189.4,5.0,2.0,243.9,5.0,2.0,62.6,4.0,2.0,175.9,4.0,2.0,1500.0
5.0,4.0,70.9,5.0,4.0,105.8,5.0,4.0,144.7,5.0,3.0,111.9,4.0,3.0,292.0,4.0,3.0,2325.0
5.0,6.0,304.0,5.0,6.0,637.5,5.0,6.0,589.9,5.0,6.0,223.7,4.0,6.0,745.7,4.0,5.0,2694.0
6.0,2.0,306.3,6.0,1.0,785.2,6.0,1.0,710.0,6.0,1.0,489.9,6.0,1.0,2470.0,5.0,1.0,4560.0
6.0,3.0,286.4,6.0,3.0,1049.0,6.0,2.0,1013.0,6.0,2.0,508.9,6.0,2.0,1943.0,5.0,2.0,4234.0
6.0,4.0,266.4,6.0,4.0,823.4,6.0,4.0,1022.0,6.0,3.0,745.7,6.0,3.0,3040.0,5.0,3.0,4743.0
6.0,5.0,538.9,6.0,5.0,1347.0,6.0,5.0,1624.0,6.0,5.0,685.4,6.0,4.0,2080.0,5.0,4.0,3952.0
