1,馬場 貴也,馬場 貴也.1,2,柳沢 一,柳沢 一.1,3,原田 幸哉,原田 幸哉.1,4,石丸 海渡,石丸 海渡.1,5,赤坂 俊輔,赤坂 俊輔.1,6,新田 泰章,新田 泰章.1
2.0,3.0,9.0,1.0,3.0,66.7,1.0,2.0,159.0,1.0,2.0,31.0,1.0,2.0,167.2,1.0,2.0,943.2
2.0,4.0,6.5,1.0,4.0,39.1,1.0,4.0,139.4,1.0,3.0,75.8,1.0,3.0,277.4,1.0,3.0,1543.0
2.0,5.0,14.7,1.0,5.0,72.8,1.0,5.0,221.1,1.0,5.0,36.2,1.0,4.0,157.1,1.0,4.0,1222.0
2.0,6.0,47.9,1.0,6.0,162.9,1.0,6.0,346.4,1.0,6.0,68.1,1.0,6.0,232.2,1.0,5.0,1683.0
3.0,2.0,16.3,3.0,1.0,233.8,2.0,1.0,325.9,2.0,1.0,59.4,2.0,1.0,244.5,2.0,1.0,1228.0
3.0,4.0,16.9,3.0,4.0,352.8,2.0,4.0,448.4,2.0,3.0,180.7,2.0,3.0,568.3,2.0,3.0,2504.0
3.0,5.0,36.6,3.0,5.0,547.8,2.0,5.0,630.6,2.0,5.0,83.9,2.0,4.0,282.8,2.0,4.0,1740.0
3.0,6.0,71.6,3.0,6.0,907.9,2.0,6.0,963.1,2.0,6.0,164.8,2.0,6.0,374.1,2.0,5.0,2180.0
4.0,2.0,8.4,4.0,1.0,80.9,4.0,1.0,291.8,3.0,1.0,222.6,3.0,1.0,737.9,3.0,1.0,2174.0
4.0,3.0,16.5,4.0,3.0,239.9,4.0,2.0,459.9,3.0,2.0,346.5,3.0,2.0,1151.0,3.0,2.0,2854.0
4.0,5.0,15.6,4.0,5.0,173.9,4.0,5.0,594.4,3.0,5.0,374.6,3.0,4.0,1151.0,3.0,4.0,2704.0
4.0,6.0,38.2,4.0,6.0,326.5,4.0,6.0,803.6,3.0,6.0,535.7,3.0,6.0,1510.0,3.0,5.0,3221.0
5.0,2.0,36.8,5.0,1.0,233.1,5.0,1.0,529.5,5.0,1.0,47.4,4.0,1.0,147.1,4.0,1.0,1091.0
5.0,3.0,62.6,5.0,3.0,516.8,5.0,2.0,820.6,5.0,2.0,59.1,4.0,2.0,185.5,4.0,2.0,1369.0
5.0,4.0,38.9,5.0,4.0,305.2,5.0,4.0,879.1,5.0,3.0,169.3,4.0,3.0,450.5,4.0,3.0,1926.0
5.0,6.0,89.2,5.0,6.0,591.2,5.0,6.0,1320.0,5.0,6.0,71.8,4.0,6.0,218.6,4.0,5.0,1309.0
6.0,2.0,156.7,6.0,1.0,591.7,6.0,1.0,1153.0,6.0,1.0,138.0,6.0,1.0,586.3,5.0,1.0,1875.0
6.0,3.0,199.5,6.0,3.0,1250.0,6.0,2.0,1487.0,6.0,2.0,189.1,6.0,2.0,683.3,5.0,2.0,2005.0
6.0,4.0,155.6,6.0,4.0,839.2,6.0,4.0,1336.0,6.0,3.0,366.5,6.0,3.0,1099.0,5.0,3.0,2345.0
6.0,5.0,205.4,6.0,5.0,954.8,6.0,5.0,1525.0,6.0,5.0,150.4,6.0,4.0,676.8,5.0,4.0,1437.0
