1,小川 晃司,小川 晃司.1,2,小林 文彦,小林 文彦.1,3,戸敷 晃美,戸敷 晃美.1,4,杉山 太陽,杉山 太陽.1,5,枝尾 賢,枝尾 賢.1,6,村上 純,村上 純.1
2.0,3.0,146.1,1.0,3.0,133.5,1.0,2.0,194.2,1.0,2.0,1119.0,1.0,2.0,25.6,1.0,2.0,150.6
2.0,4.0,399.2,1.0,4.0,439.4,1.0,4.0,598.6,1.0,3.0,1446.0,1.0,3.0,51.7,1.0,3.0,280.6
2.0,5.0,94.0,1.0,5.0,48.5,1.0,5.0,133.4,1.0,5.0,830.9,1.0,4.0,108.0,1.0,4.0,537.9
2.0,6.0,247.2,1.0,6.0,137.3,1.0,6.0,331.1,1.0,6.0,1358.0,1.0,6.0,43.2,1.0,5.0,96.8
3.0,2.0,212.2,3.0,1.0,76.8,2.0,1.0,104.4,2.0,1.0,1041.0,2.0,1.0,18.5,2.0,1.0,86.4
3.0,4.0,575.6,3.0,4.0,189.1,2.0,4.0,292.4,2.0,3.0,865.2,2.0,3.0,17.2,2.0,3.0,52.1
3.0,5.0,186.4,3.0,5.0,28.2,2.0,5.0,42.2,2.0,5.0,483.4,2.0,4.0,82.2,2.0,4.0,198.6
3.0,6.0,428.1,3.0,6.0,65.4,2.0,6.0,96.3,2.0,6.0,705.2,2.0,6.0,18.1,2.0,5.0,28.3
4.0,2.0,846.0,4.0,1.0,408.1,4.0,1.0,803.8,3.0,1.0,1452.0,3.0,1.0,46.6,3.0,1.0,143.4
4.0,3.0,922.2,4.0,3.0,455.6,4.0,2.0,650.5,3.0,2.0,1008.0,3.0,2.0,27.6,3.0,2.0,60.8
4.0,5.0,731.0,4.0,5.0,230.0,4.0,5.0,421.3,3.0,5.0,822.8,3.0,4.0,147.0,3.0,4.0,297.1
4.0,6.0,920.2,4.0,6.0,383.5,4.0,6.0,777.0,3.0,6.0,1509.0,3.0,6.0,42.3,3.0,5.0,46.1
5.0,2.0,71.9,5.0,1.0,21.7,5.0,1.0,66.8,5.0,1.0,520.6,4.0,1.0,112.9,4.0,1.0,618.9
5.0,3.0,139.9,5.0,3.0,19.4,5.0,2.0,39.4,5.0,2.0,413.4,4.0,2.0,140.0,4.0,2.0,465.2
5.0,4.0,412.6,5.0,4.0,92.0,5.0,4.0,191.2,5.0,3.0,619.8,4.0,3.0,183.9,4.0,3.0,689.0
5.0,6.0,142.9,5.0,6.0,21.8,5.0,6.0,63.1,5.0,6.0,547.1,4.0,6.0,139.4,4.0,5.0,380.7
6.0,2.0,299.0,6.0,1.0,90.0,6.0,1.0,189.5,6.0,1.0,1248.0,6.0,1.0,32.5,5.0,1.0,44.0
6.0,3.0,525.8,6.0,3.0,72.3,6.0,2.0,115.6,6.0,2.0,802.3,6.0,2.0,25.1,5.0,2.0,25.8
6.0,4.0,1031.0,6.0,4.0,240.1,6.0,4.0,474.1,6.0,3.0,1437.0,6.0,3.0,37.8,5.0,3.0,36.5
6.0,5.0,207.1,6.0,5.0,38.3,6.0,5.0,85.5,6.0,5.0,741.3,6.0,4.0,116.8,5.0,4.0,146.6
