1,伊藤 啓三,伊藤 啓三.1,2,廣中 良一,廣中 良一.1,3,森 貴洋,森 貴洋.1,4,村松 修二,村松 修二.1,5,上村　慎太郎,上村　慎太郎.1,6,小林 京平,小林 京平.1
2.0,3.0,22.4,1.0,3.0,75.3,1.0,2.0,27.4,1.0,2.0,55.0,1.0,2.0,606.2,1.0,2.0,772.9
2.0,4.0,25.9,1.0,4.0,79.7,1.0,4.0,9.9,1.0,3.0,23.8,1.0,3.0,379.1,1.0,3.0,604.6
2.0,5.0,116.4,1.0,5.0,293.0,1.0,5.0,38.8,1.0,5.0,65.3,1.0,4.0,421.9,1.0,4.0,690.3
2.0,6.0,198.8,1.0,6.0,586.8,1.0,6.0,84.8,1.0,6.0,152.4,1.0,6.0,944.0,1.0,5.0,1647.0
3.0,2.0,12.4,3.0,1.0,143.3,2.0,1.0,78.2,2.0,1.0,134.0,2.0,1.0,995.1,2.0,1.0,1116.0
3.0,4.0,5.4,3.0,4.0,184.0,2.0,4.0,82.5,2.0,3.0,152.0,2.0,3.0,1182.0,2.0,3.0,1372.0
3.0,5.0,27.8,3.0,5.0,559.3,2.0,5.0,219.1,2.0,5.0,354.8,2.0,4.0,1237.0,2.0,4.0,1305.0
3.0,6.0,76.2,3.0,6.0,856.0,2.0,6.0,351.7,2.0,6.0,572.7,2.0,6.0,1895.0,2.0,5.0,2596.0
4.0,2.0,17.1,4.0,1.0,136.4,4.0,1.0,14.7,3.0,1.0,28.6,3.0,1.0,423.4,3.0,1.0,665.3
4.0,3.0,8.1,4.0,3.0,212.8,4.0,2.0,40.0,3.0,2.0,81.7,3.0,2.0,823.6,3.0,2.0,1561.0
4.0,5.0,38.4,4.0,5.0,461.0,4.0,5.0,40.1,3.0,5.0,76.2,3.0,4.0,478.6,3.0,4.0,696.3
4.0,6.0,103.7,4.0,6.0,986.9,4.0,6.0,82.6,3.0,6.0,157.2,3.0,6.0,1613.0,3.0,5.0,2132.0
5.0,2.0,175.2,5.0,1.0,809.6,5.0,1.0,139.3,5.0,1.0,147.2,4.0,1.0,571.3,4.0,1.0,918.6
5.0,3.0,141.7,5.0,3.0,1066.0,5.0,2.0,247.5,5.0,2.0,290.9,4.0,2.0,1153.0,4.0,2.0,2059.0
5.0,4.0,146.4,5.0,4.0,1025.0,5.0,4.0,137.9,5.0,3.0,177.8,4.0,3.0,554.1,4.0,3.0,841.0
5.0,6.0,465.5,5.0,6.0,2059.0,5.0,6.0,321.8,5.0,6.0,388.3,4.0,6.0,1880.0,4.0,5.0,2777.0
6.0,2.0,315.0,6.0,1.0,1474.0,6.0,1.0,246.9,6.0,1.0,427.2,6.0,1.0,1581.0,5.0,1.0,2624.0
6.0,3.0,268.3,6.0,3.0,1670.0,6.0,2.0,443.1,6.0,2.0,732.6,6.0,2.0,2540.0,5.0,2.0,2683.0
6.0,4.0,285.0,6.0,4.0,1635.0,6.0,4.0,211.3,6.0,3.0,402.7,6.0,3.0,2568.0,5.0,3.0,3364.0
6.0,5.0,579.7,6.0,5.0,1973.0,6.0,5.0,503.8,6.0,5.0,663.4,6.0,4.0,2318.0,5.0,4.0,3184.0
