1,森高 一真,森高 一真.1,2,永井 彪也,永井 彪也.1,3,吉川 貴仁,吉川 貴仁.1,4,今井 貴士,今井 貴士.1,5,岡村 仁,岡村 仁.1,6,井口 佳典,井口 佳典.1
2.0,3.0,13.3,1.0,3.0,41.4,1.0,2.0,72.4,1.0,2.0,138.5,1.0,2.0,70.9,1.0,2.0,324.9
2.0,4.0,26.8,1.0,4.0,58.1,1.0,4.0,92.6,1.0,3.0,174.2,1.0,3.0,90.0,1.0,3.0,476.4
2.0,5.0,13.3,1.0,5.0,36.1,1.0,5.0,57.4,1.0,5.0,91.9,1.0,4.0,102.6,1.0,4.0,509.9
2.0,6.0,21.2,1.0,6.0,48.0,1.0,6.0,72.7,1.0,6.0,115.8,1.0,6.0,53.7,1.0,5.0,273.7
3.0,2.0,17.5,3.0,1.0,108.0,2.0,1.0,122.3,2.0,1.0,238.1,2.0,1.0,154.3,2.0,1.0,492.1
3.0,4.0,28.9,3.0,4.0,265.2,2.0,4.0,290.8,2.0,3.0,517.6,2.0,3.0,297.5,2.0,3.0,875.9
3.0,5.0,14.2,3.0,5.0,146.8,2.0,5.0,187.4,2.0,5.0,287.1,2.0,4.0,301.6,2.0,4.0,1142.0
3.0,6.0,22.5,3.0,6.0,180.0,2.0,6.0,210.3,2.0,6.0,311.2,2.0,6.0,149.7,2.0,5.0,622.8
4.0,2.0,42.2,4.0,1.0,152.7,4.0,1.0,193.0,3.0,1.0,308.8,3.0,1.0,203.0,3.0,1.0,689.9
4.0,3.0,50.7,4.0,3.0,342.4,4.0,2.0,316.8,3.0,2.0,546.2,3.0,2.0,362.0,3.0,2.0,1099.0
4.0,5.0,36.8,4.0,5.0,213.2,4.0,5.0,218.8,3.0,5.0,360.8,3.0,4.0,461.1,3.0,4.0,1503.0
4.0,6.0,46.0,4.0,6.0,278.2,4.0,6.0,257.5,3.0,6.0,409.6,3.0,6.0,236.5,3.0,5.0,820.8
5.0,2.0,22.4,5.0,1.0,92.9,5.0,1.0,115.7,5.0,1.0,88.4,4.0,1.0,131.5,4.0,1.0,605.2
5.0,3.0,25.6,5.0,3.0,176.7,5.0,2.0,208.2,5.0,2.0,154.8,4.0,2.0,213.7,4.0,2.0,1134.0
5.0,4.0,44.3,5.0,4.0,231.9,5.0,4.0,258.5,5.0,3.0,239.1,4.0,3.0,346.3,4.0,3.0,1488.0
5.0,6.0,22.2,5.0,6.0,135.2,5.0,6.0,143.3,5.0,6.0,80.0,4.0,6.0,113.0,4.0,5.0,483.4
6.0,2.0,52.1,6.0,1.0,189.4,6.0,1.0,253.4,6.0,1.0,172.8,6.0,1.0,102.5,5.0,1.0,299.2
6.0,3.0,66.0,6.0,3.0,401.7,6.0,2.0,391.0,6.0,2.0,293.3,6.0,2.0,161.4,5.0,2.0,546.4
6.0,4.0,96.3,6.0,4.0,539.9,6.0,4.0,502.2,6.0,3.0,440.7,6.0,3.0,224.6,5.0,3.0,671.9
6.0,5.0,50.5,6.0,5.0,275.0,6.0,5.0,286.7,6.0,5.0,150.4,6.0,4.0,161.1,5.0,4.0,454.2
