1,藤田 俊祐,藤田 俊祐.1,2,岡本 大,岡本 大.1,3,山田 亮太,山田 亮太.1,4,渡辺 空依,渡辺 空依.1,5,岸本 隆,岸本 隆.1,6,長尾 章平,長尾 章平.1
2.0,3.0,24.8,1.0,3.0,211.3,1.0,2.0,152.5,1.0,2.0,134.6,1.0,2.0,255.3,1.0,2.0,255.1
2.0,4.0,34.5,1.0,4.0,204.0,1.0,4.0,89.4,1.0,3.0,106.7,1.0,3.0,160.0,1.0,3.0,110.7
2.0,5.0,45.9,1.0,5.0,309.6,1.0,5.0,78.2,1.0,5.0,67.9,1.0,4.0,150.7,1.0,4.0,166.0
2.0,6.0,25.4,1.0,6.0,186.3,1.0,6.0,52.4,1.0,6.0,47.8,1.0,6.0,85.2,1.0,5.0,145.3
3.0,2.0,23.6,3.0,1.0,366.6,2.0,1.0,343.0,2.0,1.0,285.2,2.0,1.0,561.0,2.0,1.0,514.1
3.0,4.0,13.4,3.0,4.0,711.2,2.0,4.0,558.7,2.0,3.0,580.2,2.0,3.0,960.9,2.0,3.0,882.6
3.0,5.0,14.8,3.0,5.0,894.3,2.0,5.0,587.8,2.0,5.0,367.6,2.0,4.0,617.2,2.0,4.0,761.1
3.0,6.0,8.4,3.0,6.0,496.2,2.0,6.0,327.6,2.0,6.0,217.4,2.0,6.0,379.5,2.0,5.0,931.1
4.0,2.0,36.3,4.0,1.0,376.3,4.0,1.0,197.5,3.0,1.0,211.3,3.0,1.0,289.5,3.0,1.0,157.5
4.0,3.0,21.5,4.0,3.0,687.7,4.0,2.0,582.7,3.0,2.0,595.5,3.0,2.0,844.1,3.0,2.0,631.6
4.0,5.0,27.8,4.0,5.0,744.4,4.0,5.0,336.6,3.0,5.0,345.6,3.0,4.0,536.5,3.0,4.0,424.0
4.0,6.0,15.9,4.0,6.0,399.0,4.0,6.0,185.4,3.0,6.0,202.9,3.0,6.0,234.6,3.0,5.0,424.0
5.0,2.0,57.8,5.0,1.0,642.1,5.0,1.0,202.5,5.0,1.0,84.3,4.0,1.0,165.8,4.0,1.0,212.5
5.0,3.0,32.1,5.0,3.0,1168.0,5.0,2.0,614.4,5.0,2.0,200.1,4.0,2.0,396.1,4.0,2.0,500.8
5.0,4.0,43.1,5.0,4.0,1038.0,5.0,4.0,428.7,5.0,3.0,240.0,4.0,3.0,412.4,4.0,3.0,349.1
5.0,6.0,23.6,5.0,6.0,634.6,5.0,6.0,174.9,5.0,6.0,68.4,4.0,6.0,116.9,4.0,5.0,232.9
6.0,2.0,41.0,6.0,1.0,456.9,6.0,1.0,110.5,6.0,1.0,66.8,6.0,1.0,142.0,5.0,1.0,249.0
6.0,3.0,18.1,6.0,3.0,703.8,6.0,2.0,313.6,6.0,2.0,183.3,6.0,2.0,316.5,5.0,2.0,633.1
6.0,4.0,27.3,6.0,4.0,594.2,6.0,4.0,216.2,6.0,3.0,149.9,6.0,3.0,204.0,5.0,3.0,411.8
6.0,5.0,31.8,6.0,5.0,759.0,6.0,5.0,203.8,6.0,5.0,75.9,6.0,4.0,162.2,5.0,4.0,311.8
