1,今垣　光太郎,今垣　光太郎.1,2,柘植 政浩,柘植 政浩.1,3,山下 和彦,山下 和彦.1,4,大江 純,大江 純.1,5,深山 祐二,深山 祐二.1,6,沖島 広和,沖島 広和.1
2.0,3.0,3.8,1.0,3.0,31.9,1.0,2.0,44.8,1.0,2.0,120.7,1.0,2.0,601.1,1.0,2.0,1061.0
2.0,4.0,8.4,1.0,4.0,57.7,1.0,4.0,74.6,1.0,3.0,134.1,1.0,3.0,587.4,1.0,3.0,793.0
2.0,5.0,24.7,1.0,5.0,135.4,1.0,5.0,119.3,1.0,5.0,154.3,1.0,4.0,740.5,1.0,4.0,1545.0
2.0,6.0,22.2,1.0,6.0,116.1,1.0,6.0,84.1,1.0,6.0,156.5,1.0,6.0,871.3,1.0,5.0,2297.0
3.0,2.0,6.4,3.0,1.0,72.0,2.0,1.0,88.0,2.0,1.0,257.8,2.0,1.0,950.3,2.0,1.0,1553.0
3.0,4.0,10.7,3.0,4.0,250.1,2.0,4.0,213.8,2.0,3.0,433.4,2.0,3.0,798.7,2.0,3.0,1582.0
3.0,5.0,24.3,3.0,5.0,477.8,2.0,5.0,466.5,2.0,5.0,495.5,2.0,4.0,1660.0,2.0,4.0,2818.0
3.0,6.0,17.1,3.0,6.0,264.3,2.0,6.0,234.2,2.0,6.0,457.6,2.0,6.0,1720.0,2.0,5.0,3812.0
4.0,2.0,20.1,4.0,1.0,214.9,4.0,1.0,194.0,3.0,1.0,345.4,3.0,1.0,1118.0,3.0,1.0,1125.0
4.0,3.0,23.0,4.0,3.0,382.0,4.0,2.0,297.3,3.0,2.0,549.9,3.0,2.0,1853.0,3.0,2.0,1793.0
4.0,5.0,50.8,4.0,5.0,556.3,4.0,5.0,651.3,3.0,5.0,834.4,3.0,4.0,2236.0,3.0,4.0,2867.0
4.0,6.0,47.3,4.0,6.0,562.8,4.0,6.0,430.0,3.0,6.0,650.1,3.0,6.0,1853.0,3.0,5.0,3354.0
5.0,2.0,71.1,5.0,1.0,504.4,5.0,1.0,455.1,5.0,1.0,263.9,4.0,1.0,726.1,4.0,1.0,1984.0
5.0,3.0,74.1,5.0,3.0,822.2,5.0,2.0,762.4,5.0,2.0,444.3,4.0,2.0,1016.0,4.0,2.0,2662.0
5.0,4.0,110.7,5.0,4.0,980.8,5.0,4.0,989.5,5.0,3.0,688.8,4.0,3.0,1720.0,4.0,3.0,3135.0
5.0,6.0,139.2,5.0,6.0,1574.0,5.0,6.0,1045.0,5.0,6.0,484.0,4.0,6.0,1029.0,4.0,5.0,3769.0
6.0,2.0,79.5,6.0,1.0,469.8,6.0,1.0,346.9,6.0,1.0,431.1,6.0,1.0,1833.0,5.0,1.0,3225.0
6.0,3.0,71.7,6.0,3.0,581.3,6.0,2.0,473.8,6.0,2.0,656.4,6.0,2.0,1996.0,5.0,2.0,4861.0
6.0,4.0,116.7,6.0,4.0,1156.0,6.0,4.0,869.0,6.0,3.0,882.7,6.0,3.0,2560.0,5.0,3.0,4141.0
6.0,5.0,168.8,6.0,5.0,2070.0,6.0,5.0,1397.0,6.0,5.0,862.3,6.0,4.0,2033.0,5.0,4.0,3993.0
