1,三好 勇人,三好 勇人.1,2,松山 裕基,松山 裕基.1,3,富永 修一,富永 修一.1,4,西尾 亮輔,西尾 亮輔.1,5,石丸 海渡,石丸 海渡.1,6,角浜 修,角浜 修.1
2.0,3.0,26.0,1.0,3.0,182.6,1.0,2.0,93.3,1.0,2.0,306.0,1.0,2.0,65.3,1.0,2.0,1711.0
2.0,4.0,58.8,1.0,4.0,334.6,1.0,4.0,51.7,1.0,3.0,114.2,1.0,3.0,18.8,1.0,3.0,1313.0
2.0,5.0,35.1,1.0,5.0,211.7,1.0,5.0,19.0,1.0,5.0,95.0,1.0,4.0,48.7,1.0,4.0,1817.0
2.0,6.0,161.5,1.0,6.0,698.2,1.0,6.0,129.3,1.0,6.0,289.3,1.0,6.0,43.8,1.0,5.0,666.6
3.0,2.0,19.2,3.0,1.0,356.1,2.0,1.0,245.2,2.0,1.0,611.3,2.0,1.0,179.6,2.0,1.0,2434.0
3.0,4.0,12.5,3.0,4.0,861.4,2.0,4.0,569.3,2.0,3.0,931.0,2.0,3.0,244.7,2.0,3.0,3158.0
3.0,5.0,6.2,3.0,5.0,445.9,2.0,5.0,288.4,2.0,5.0,633.2,2.0,4.0,382.8,2.0,4.0,3537.0
3.0,6.0,51.1,3.0,6.0,1326.0,2.0,6.0,927.7,2.0,6.0,1179.0,2.0,6.0,297.7,2.0,5.0,2735.0
4.0,2.0,63.4,4.0,1.0,778.1,4.0,1.0,124.7,3.0,1.0,198.3,3.0,1.0,34.1,3.0,1.0,1700.0
4.0,3.0,24.5,4.0,3.0,1133.0,4.0,2.0,467.9,3.0,2.0,680.3,3.0,2.0,145.1,3.0,2.0,3196.0
4.0,5.0,29.4,4.0,5.0,954.4,4.0,5.0,97.4,3.0,5.0,188.4,3.0,4.0,94.4,3.0,4.0,2267.0
4.0,6.0,114.3,4.0,6.0,1829.0,4.0,6.0,366.4,3.0,6.0,548.2,3.0,6.0,102.8,3.0,5.0,927.7
5.0,2.0,25.0,5.0,1.0,395.4,5.0,1.0,31.6,5.0,1.0,106.5,4.0,1.0,112.5,4.0,1.0,2072.0
5.0,3.0,7.5,5.0,3.0,423.8,5.0,2.0,137.5,5.0,2.0,302.8,4.0,2.0,328.7,4.0,2.0,3196.0
5.0,4.0,18.8,5.0,4.0,829.1,5.0,4.0,64.9,5.0,3.0,108.3,4.0,3.0,119.2,4.0,3.0,2479.0
5.0,6.0,29.2,5.0,6.0,887.4,5.0,6.0,112.8,5.0,6.0,158.5,4.0,6.0,164.1,4.0,5.0,1119.0
6.0,2.0,389.0,6.0,1.0,2056.0,6.0,1.0,534.9,6.0,1.0,615.6,6.0,1.0,113.7,5.0,1.0,636.3
6.0,3.0,196.1,6.0,3.0,3196.0,6.0,2.0,1234.0,6.0,2.0,1189.0,6.0,2.0,251.7,5.0,2.0,1965.0
6.0,4.0,260.3,6.0,4.0,2551.0,6.0,4.0,908.6,6.0,3.0,864.2,6.0,3.0,150.1,5.0,3.0,789.6
6.0,5.0,157.3,6.0,5.0,1908.0,6.0,5.0,434.2,6.0,5.0,446.6,6.0,4.0,203.9,5.0,4.0,864.2
