1,原 加央理,原 加央理.1,2,角 ひとみ,角 ひとみ.1,3,橋谷田　佳織,橋谷田　佳織.1,4,赤井 睦,赤井 睦.1,5,河内　悠利杏,河内　悠利杏.1,6,森田 梨湖,森田 梨湖.1
2.0,3.0,11.4,1.0,3.0,71.0,1.0,2.0,196.5,1.0,2.0,13.1,1.0,2.0,349.4,1.0,2.0,449.3
2.0,4.0,5.9,1.0,4.0,38.5,1.0,4.0,143.3,1.0,3.0,21.1,1.0,3.0,525.8,1.0,3.0,621.7
2.0,5.0,44.9,1.0,5.0,196.1,1.0,5.0,499.5,1.0,5.0,30.4,1.0,4.0,303.5,1.0,4.0,318.8
2.0,6.0,55.8,1.0,6.0,219.3,1.0,6.0,587.8,1.0,6.0,39.6,1.0,6.0,800.1,1.0,5.0,1001.0
3.0,2.0,20.4,3.0,1.0,194.7,2.0,1.0,285.2,2.0,1.0,30.2,2.0,1.0,601.5,2.0,1.0,691.3
3.0,4.0,16.0,3.0,4.0,249.5,2.0,4.0,354.1,2.0,3.0,78.7,2.0,3.0,1075.0,2.0,3.0,1205.0
3.0,5.0,92.5,3.0,5.0,749.3,2.0,5.0,870.0,2.0,5.0,112.4,2.0,4.0,675.1,2.0,4.0,897.0
3.0,6.0,104.8,3.0,6.0,935.9,2.0,6.0,989.5,2.0,6.0,125.0,2.0,6.0,1178.0,2.0,5.0,1813.0
4.0,2.0,6.0,4.0,1.0,61.2,4.0,1.0,201.1,3.0,1.0,77.6,3.0,1.0,1089.0,3.0,1.0,1217.0
4.0,3.0,10.1,4.0,3.0,142.5,4.0,2.0,342.9,3.0,2.0,131.4,3.0,2.0,1683.0,3.0,2.0,1620.0
4.0,5.0,27.0,4.0,5.0,320.4,4.0,5.0,875.8,3.0,5.0,279.3,3.0,4.0,1507.0,3.0,4.0,1409.0
4.0,6.0,31.7,4.0,6.0,351.3,4.0,6.0,890.9,3.0,6.0,276.9,3.0,6.0,2025.0,3.0,5.0,1716.0
5.0,2.0,115.9,5.0,1.0,608.5,5.0,1.0,1147.0,5.0,1.0,54.8,4.0,1.0,293.2,4.0,1.0,401.9
5.0,3.0,155.9,5.0,3.0,971.0,5.0,2.0,1516.0,5.0,2.0,98.6,4.0,2.0,447.0,4.0,2.0,758.0
5.0,4.0,100.9,5.0,4.0,718.1,5.0,4.0,1117.0,5.0,3.0,176.9,4.0,3.0,730.3,4.0,3.0,1004.0
5.0,6.0,321.2,5.0,6.0,1364.0,5.0,6.0,1920.0,5.0,6.0,139.0,4.0,6.0,637.0,4.0,5.0,1132.0
6.0,2.0,172.8,6.0,1.0,802.6,6.0,1.0,1322.0,6.0,1.0,92.4,6.0,1.0,1357.0,5.0,1.0,1651.0
6.0,3.0,245.9,6.0,3.0,1498.0,6.0,2.0,1751.0,6.0,2.0,165.7,6.0,2.0,1683.0,5.0,2.0,1979.0
6.0,4.0,134.9,6.0,4.0,985.7,6.0,4.0,1640.0,6.0,3.0,273.4,6.0,3.0,1994.0,5.0,3.0,2057.0
6.0,5.0,369.8,6.0,5.0,1580.0,6.0,5.0,1949.0,6.0,5.0,208.2,6.0,4.0,1424.0,5.0,4.0,1393.0
