1,魚谷 香織,魚谷 香織.1,2,松尾 怜実,松尾 怜実.1,3,山本 梨菜,山本 梨菜.1,4,三浦 永理,三浦 永理.1,5,吉田 彩乃,吉田 彩乃.1,6,植竹 玲奈,植竹 玲奈.1
2.0,3.0,43.0,1.0,3.0,189.8,1.0,2.0,118.0,1.0,2.0,53.3,1.0,2.0,287.9,1.0,2.0,2875.0
2.0,4.0,38.9,1.0,4.0,140.7,1.0,4.0,16.0,1.0,3.0,12.5,1.0,3.0,134.6,1.0,3.0,2606.0
2.0,5.0,114.8,1.0,5.0,363.2,1.0,5.0,37.9,1.0,5.0,22.7,1.0,4.0,98.8,1.0,4.0,2007.0
2.0,6.0,502.4,1.0,6.0,1354.0,1.0,6.0,390.2,1.0,6.0,189.9,1.0,6.0,664.2,1.0,5.0,1701.0
3.0,2.0,32.3,3.0,1.0,408.8,2.0,1.0,263.8,2.0,1.0,141.3,2.0,1.0,514.0,2.0,1.0,3509.0
3.0,4.0,5.7,3.0,4.0,487.0,2.0,4.0,344.9,2.0,3.0,224.1,2.0,3.0,1179.0,2.0,3.0,4547.0
3.0,5.0,18.6,3.0,5.0,1092.0,2.0,5.0,584.8,2.0,5.0,282.2,2.0,4.0,930.4,2.0,4.0,3875.0
3.0,6.0,259.2,3.0,6.0,2668.0,2.0,6.0,1694.0,2.0,6.0,911.4,2.0,6.0,2951.0,2.0,5.0,4501.0
4.0,2.0,21.8,4.0,1.0,302.5,4.0,1.0,19.5,3.0,1.0,20.4,3.0,1.0,199.5,3.0,1.0,3351.0
4.0,3.0,5.1,4.0,3.0,473.1,4.0,2.0,160.6,3.0,2.0,140.5,3.0,2.0,873.8,3.0,2.0,3714.0
4.0,5.0,13.3,4.0,5.0,797.2,4.0,5.0,38.6,3.0,5.0,41.7,3.0,4.0,267.5,3.0,4.0,3052.0
4.0,6.0,167.5,4.0,6.0,2025.0,4.0,6.0,395.1,3.0,6.0,384.5,3.0,6.0,1405.0,3.0,5.0,3509.0
5.0,2.0,122.6,5.0,1.0,814.7,5.0,1.0,76.6,5.0,1.0,38.1,4.0,1.0,148.1,4.0,1.0,2518.0
5.0,3.0,41.2,5.0,3.0,1451.0,5.0,2.0,401.5,5.0,2.0,153.0,4.0,2.0,551.5,4.0,2.0,3594.0
5.0,4.0,39.9,5.0,4.0,1214.0,5.0,4.0,89.1,5.0,3.0,56.8,4.0,3.0,228.3,4.0,3.0,3206.0
5.0,6.0,299.1,5.0,6.0,3052.0,5.0,6.0,557.8,5.0,6.0,228.7,4.0,6.0,828.4,4.0,5.0,2652.0
6.0,2.0,1095.0,6.0,1.0,2717.0,6.0,1.0,1163.0,6.0,1.0,586.4,6.0,1.0,1485.0,5.0,1.0,2838.0
6.0,3.0,779.1,6.0,3.0,3809.0,6.0,2.0,2621.0,6.0,2.0,1207.0,6.0,2.0,2668.0,5.0,2.0,4285.0
6.0,4.0,635.7,6.0,4.0,2932.0,6.0,4.0,1470.0,6.0,3.0,886.0,6.0,3.0,2370.0,5.0,3.0,3653.0
6.0,5.0,710.8,6.0,5.0,3944.0,6.0,5.0,1151.0,6.0,5.0,586.4,6.0,4.0,1819.0,5.0,4.0,2701.0
