1,高倉 和士,高倉 和士.1,2,青木　幸太郎,青木　幸太郎.1,3,米田 隆弘,米田 隆弘.1,4,横田 茂,横田 茂.1,5,守田 俊介,守田 俊介.1,6,三好 勇人,三好 勇人.1
2.0,3.0,7.8,1.0,3.0,97.9,1.0,2.0,156.6,1.0,2.0,347.3,1.0,2.0,61.5,1.0,2.0,930.2
2.0,4.0,21.4,1.0,4.0,194.6,1.0,4.0,141.1,1.0,3.0,229.9,1.0,3.0,57.9,1.0,3.0,752.1
2.0,5.0,12.7,1.0,5.0,137.5,1.0,5.0,87.7,1.0,5.0,210.6,1.0,4.0,104.8,1.0,4.0,1227.0
2.0,6.0,33.1,1.0,6.0,254.5,1.0,6.0,176.2,1.0,6.0,344.0,1.0,6.0,98.6,1.0,5.0,561.8
3.0,2.0,10.6,3.0,1.0,216.6,2.0,1.0,284.5,2.0,1.0,658.7,2.0,1.0,187.3,2.0,1.0,1389.0
3.0,4.0,10.8,3.0,4.0,465.9,2.0,4.0,648.5,2.0,3.0,1429.0,2.0,3.0,381.0,2.0,3.0,3269.0
3.0,5.0,7.9,3.0,5.0,384.2,2.0,5.0,515.1,2.0,5.0,794.8,2.0,4.0,549.3,2.0,4.0,3714.0
3.0,6.0,21.8,3.0,6.0,500.0,2.0,6.0,674.1,2.0,6.0,1159.0,2.0,6.0,493.7,2.0,5.0,2265.0
4.0,2.0,35.1,4.0,1.0,226.8,4.0,1.0,321.7,3.0,1.0,431.3,3.0,1.0,165.6,3.0,1.0,983.9
4.0,3.0,22.7,4.0,3.0,532.7,4.0,2.0,966.5,3.0,2.0,1422.0,3.0,2.0,435.1,3.0,2.0,3456.0
4.0,5.0,25.6,4.0,5.0,281.7,4.0,5.0,571.2,3.0,5.0,809.0,3.0,4.0,576.6,3.0,4.0,2800.0
4.0,6.0,47.3,4.0,6.0,592.2,4.0,6.0,862.6,3.0,6.0,1224.0,3.0,6.0,456.2,3.0,5.0,1814.0
5.0,2.0,14.4,5.0,1.0,200.6,5.0,1.0,198.1,5.0,1.0,359.9,4.0,1.0,250.7,4.0,1.0,1685.0
5.0,3.0,11.0,5.0,3.0,336.0,5.0,2.0,632.7,5.0,2.0,805.4,4.0,2.0,754.2,4.0,2.0,3412.0
5.0,4.0,26.3,5.0,4.0,703.7,5.0,4.0,605.4,5.0,3.0,748.0,4.0,3.0,675.8,4.0,3.0,3872.0
5.0,6.0,26.0,5.0,6.0,703.7,5.0,6.0,588.4,5.0,6.0,666.7,4.0,6.0,697.4,4.0,5.0,2730.0
6.0,2.0,77.6,6.0,1.0,776.7,6.0,1.0,577.2,6.0,1.0,786.8,6.0,1.0,279.3,5.0,1.0,589.0
6.0,3.0,60.4,6.0,3.0,1147.0,6.0,2.0,1224.0,6.0,2.0,1358.0,6.0,2.0,665.1,5.0,2.0,1685.0
6.0,4.0,92.0,6.0,4.0,1437.0,6.0,4.0,1422.0,6.0,3.0,1508.0,6.0,3.0,564.1,5.0,3.0,1508.0
6.0,5.0,56.5,6.0,5.0,983.9,6.0,5.0,823.6,6.0,5.0,898.1,6.0,4.0,822.4,5.0,4.0,2015.0
