1,小林 文彦,小林 文彦.1,2,黒井 達矢,黒井 達矢.1,3,表 健太,表 健太.1,4,平石 和男,平石 和男.1,5,黒田 剛,黒田 剛.1,6,宮地 元輝,宮地 元輝.1
2.0,3.0,20.8,1.0,3.0,60.4,1.0,2.0,238.4,1.0,2.0,75.8,1.0,2.0,1088.0,1.0,2.0,34.9
2.0,4.0,7.0,1.0,4.0,21.7,1.0,4.0,367.9,1.0,3.0,335.0,1.0,3.0,2052.0,1.0,3.0,149.6
2.0,5.0,78.8,1.0,5.0,133.7,1.0,5.0,732.7,1.0,5.0,275.4,1.0,4.0,1005.0,1.0,4.0,38.1
2.0,6.0,6.9,1.0,6.0,16.3,1.0,6.0,283.9,1.0,6.0,53.8,1.0,6.0,731.2,1.0,5.0,212.1
3.0,2.0,38.6,3.0,1.0,196.1,2.0,1.0,334.3,2.0,1.0,105.3,2.0,1.0,1449.0,2.0,1.0,46.5
3.0,4.0,54.0,3.0,4.0,320.2,2.0,4.0,645.3,2.0,3.0,659.0,2.0,3.0,2912.0,2.0,3.0,253.3
3.0,5.0,182.2,3.0,5.0,794.2,2.0,5.0,1431.0,2.0,5.0,711.3,2.0,4.0,2090.0,2.0,4.0,66.9
3.0,6.0,45.9,3.0,6.0,257.7,2.0,6.0,542.5,2.0,6.0,96.2,2.0,6.0,1385.0,2.0,5.0,334.3
4.0,2.0,14.9,4.0,1.0,63.8,4.0,1.0,686.9,3.0,1.0,831.0,3.0,1.0,1958.0,3.0,1.0,445.4
4.0,3.0,55.6,4.0,3.0,290.2,4.0,2.0,813.2,3.0,2.0,1064.0,3.0,2.0,3477.0,3.0,2.0,541.7
4.0,5.0,99.3,4.0,5.0,536.6,4.0,5.0,1541.0,3.0,5.0,1729.0,3.0,4.0,3477.0,3.0,4.0,629.8
4.0,6.0,12.1,4.0,6.0,58.4,4.0,6.0,593.6,3.0,6.0,578.5,3.0,6.0,2816.0,3.0,5.0,1563.0
5.0,2.0,290.4,5.0,1.0,821.0,5.0,1.0,1841.0,5.0,1.0,554.0,4.0,1.0,885.0,4.0,1.0,65.6
5.0,3.0,405.6,5.0,3.0,1290.0,5.0,2.0,2581.0,5.0,2.0,837.2,4.0,2.0,1686.0,4.0,2.0,86.4
5.0,4.0,306.7,5.0,4.0,1266.0,5.0,4.0,2683.0,5.0,3.0,1756.0,4.0,3.0,3373.0,4.0,3.0,405.6
5.0,6.0,191.4,5.0,6.0,781.5,5.0,6.0,2302.0,5.0,6.0,406.1,4.0,6.0,941.2,4.0,5.0,401.8
6.0,2.0,12.5,6.0,1.0,40.2,6.0,1.0,482.6,6.0,1.0,66.4,6.0,1.0,750.5,5.0,1.0,561.3
6.0,3.0,48.3,6.0,3.0,206.2,6.0,2.0,587.4,6.0,2.0,86.9,6.0,2.0,1042.0,5.0,2.0,801.7
6.0,4.0,14.0,6.0,4.0,55.3,6.0,4.0,645.3,6.0,3.0,411.0,6.0,3.0,2433.0,5.0,3.0,1528.0
6.0,5.0,95.9,6.0,5.0,299.6,6.0,5.0,1481.0,6.0,5.0,265.3,6.0,4.0,968.0,5.0,4.0,669.4
