1,桑島 和宏,桑島 和宏.1,2,中 亮太,中 亮太.1,3,村上 彰一,村上 彰一.1,4,安田 吉宏,安田 吉宏.1,5,木下 翔太,木下 翔太.1,6,牧山 敦也,牧山 敦也.1
2.0,3.0,15.7,1.0,3.0,22.0,1.0,2.0,154.1,1.0,2.0,217.2,1.0,2.0,33.2,1.0,2.0,562.3
2.0,4.0,27.2,1.0,4.0,36.0,1.0,4.0,348.0,1.0,3.0,553.5,1.0,3.0,100.9,1.0,3.0,1279.0
2.0,5.0,9.8,1.0,5.0,11.7,1.0,5.0,131.0,1.0,5.0,162.9,1.0,4.0,119.3,1.0,4.0,1198.0
2.0,6.0,46.6,1.0,6.0,58.3,1.0,6.0,488.8,1.0,6.0,356.9,1.0,6.0,68.1,1.0,5.0,573.3
3.0,2.0,36.4,3.0,1.0,55.3,2.0,1.0,147.0,2.0,1.0,202.4,2.0,1.0,35.1,2.0,1.0,586.9
3.0,4.0,98.8,3.0,4.0,76.6,2.0,4.0,162.2,2.0,3.0,345.1,2.0,3.0,78.7,2.0,3.0,1169.0
3.0,5.0,38.7,3.0,5.0,34.3,2.0,5.0,93.3,2.0,5.0,111.1,2.0,4.0,79.0,2.0,4.0,999.3
3.0,6.0,184.7,3.0,6.0,133.6,2.0,6.0,293.2,2.0,6.0,268.3,2.0,6.0,50.5,2.0,5.0,392.9
4.0,2.0,58.0,4.0,1.0,80.5,4.0,1.0,583.1,3.0,1.0,877.3,3.0,1.0,207.8,3.0,1.0,1730.0
4.0,3.0,129.8,4.0,3.0,97.6,4.0,2.0,396.0,3.0,2.0,605.2,3.0,2.0,193.4,3.0,2.0,1625.0
4.0,5.0,64.2,4.0,5.0,39.5,4.0,5.0,363.6,3.0,5.0,512.6,3.0,4.0,422.0,3.0,4.0,1815.0
4.0,6.0,169.3,4.0,6.0,121.0,4.0,6.0,666.6,3.0,6.0,997.3,3.0,6.0,370.0,3.0,5.0,1513.0
5.0,2.0,17.2,5.0,1.0,18.0,5.0,1.0,184.9,5.0,1.0,112.8,4.0,1.0,124.2,4.0,1.0,1279.0
5.0,3.0,41.0,5.0,3.0,30.5,5.0,2.0,165.2,5.0,2.0,86.3,4.0,2.0,92.7,4.0,2.0,1007.0
5.0,4.0,61.8,5.0,4.0,32.7,5.0,4.0,320.4,5.0,3.0,284.5,4.0,3.0,309.5,4.0,3.0,1715.0
5.0,6.0,60.1,5.0,6.0,33.2,5.0,6.0,352.5,5.0,6.0,119.5,4.0,6.0,115.6,4.0,5.0,685.6
6.0,2.0,202.6,6.0,1.0,204.7,6.0,1.0,952.3,6.0,1.0,562.9,6.0,1.0,112.8,5.0,1.0,470.0
6.0,3.0,438.2,6.0,3.0,333.6,6.0,2.0,740.3,6.0,2.0,431.2,6.0,2.0,91.6,5.0,2.0,349.3
6.0,4.0,360.5,6.0,4.0,254.2,6.0,4.0,1144.0,6.0,3.0,947.7,6.0,3.0,281.5,5.0,3.0,929.1
6.0,5.0,197.8,6.0,5.0,117.9,6.0,5.0,654.3,6.0,5.0,301.1,6.0,4.0,185.5,5.0,4.0,560.1
