1,伊倉 光,伊倉 光.1,2,永嶋 裕一,永嶋 裕一.1,3,金子 貴志,金子 貴志.1,4,沖島 広和,沖島 広和.1,5,川口 貴久,川口 貴久.1,6,角浜 修,角浜 修.1
2.0,3.0,11.1,1.0,3.0,26.8,1.0,2.0,106.0,1.0,2.0,74.9,1.0,2.0,64.6,1.0,2.0,1000.0
2.0,4.0,10.2,1.0,4.0,25.4,1.0,4.0,101.9,1.0,3.0,129.1,1.0,3.0,107.9,1.0,3.0,1134.0
2.0,5.0,12.5,1.0,5.0,33.4,1.0,5.0,105.0,1.0,5.0,69.2,1.0,4.0,95.9,1.0,4.0,1092.0
2.0,6.0,49.1,1.0,6.0,106.7,1.0,6.0,270.6,1.0,6.0,180.1,1.0,6.0,106.6,1.0,5.0,856.8
3.0,2.0,14.2,3.0,1.0,94.0,2.0,1.0,165.4,2.0,1.0,96.9,2.0,1.0,98.1,2.0,1.0,1179.0
3.0,4.0,19.2,3.0,4.0,123.5,2.0,4.0,148.1,2.0,3.0,145.7,2.0,3.0,206.4,2.0,3.0,2053.0
3.0,5.0,18.7,3.0,5.0,184.9,2.0,5.0,203.9,2.0,5.0,119.9,2.0,4.0,167.7,2.0,4.0,1134.0
3.0,6.0,68.6,3.0,6.0,543.8,2.0,6.0,601.4,2.0,6.0,296.9,2.0,6.0,210.0,2.0,5.0,1215.0
4.0,2.0,17.6,4.0,1.0,65.5,4.0,1.0,211.1,3.0,1.0,234.9,3.0,1.0,240.5,3.0,1.0,1417.0
4.0,3.0,24.3,4.0,3.0,121.1,4.0,2.0,211.5,3.0,2.0,233.0,3.0,2.0,298.4,3.0,2.0,2381.0
4.0,5.0,24.2,4.0,5.0,114.7,4.0,5.0,253.3,3.0,5.0,270.0,3.0,4.0,333.6,3.0,4.0,1452.0
4.0,6.0,69.7,4.0,6.0,327.1,4.0,6.0,575.3,3.0,6.0,669.0,3.0,6.0,459.8,3.0,5.0,1701.0
5.0,2.0,24.1,5.0,1.0,97.8,5.0,1.0,188.1,5.0,1.0,77.6,4.0,1.0,113.7,4.0,1.0,1280.0
5.0,3.0,36.4,5.0,3.0,183.7,5.0,2.0,252.8,5.0,2.0,103.1,4.0,2.0,155.8,4.0,2.0,1417.0
5.0,4.0,38.3,5.0,4.0,132.1,5.0,4.0,251.2,5.0,3.0,188.7,4.0,3.0,284.9,4.0,3.0,1890.0
5.0,6.0,61.3,5.0,6.0,286.2,5.0,6.0,538.8,5.0,6.0,113.6,4.0,6.0,131.7,4.0,5.0,1113.0
6.0,2.0,163.1,6.0,1.0,541.3,6.0,1.0,945.2,6.0,1.0,312.5,6.0,1.0,162.0,5.0,1.0,623.5
6.0,3.0,204.9,6.0,3.0,952.7,6.0,2.0,1417.0,6.0,2.0,423.8,6.0,2.0,249.6,5.0,2.0,1417.0
6.0,4.0,176.4,6.0,4.0,692.4,6.0,4.0,1240.0,6.0,3.0,749.0,6.0,3.0,374.5,5.0,3.0,1434.0
6.0,5.0,154.2,6.0,5.0,680.5,6.0,5.0,902.2,6.0,5.0,271.9,6.0,4.0,253.9,5.0,4.0,1009.0
