1,西山 貴浩,西山 貴浩.1,2,今井 貴士,今井 貴士.1,3,溝口　海義也,溝口　海義也.1,4,松下 哲也,松下 哲也.1,5,鶴田 勇雄,鶴田 勇雄.1,6,柴田 朋哉,柴田 朋哉.1
2.0,3.0,4.4,1.0,3.0,40.0,1.0,2.0,65.2,1.0,2.0,158.8,1.0,2.0,131.3,1.0,2.0,751.2
2.0,4.0,15.2,1.0,4.0,94.6,1.0,4.0,171.8,1.0,3.0,225.0,1.0,3.0,161.2,1.0,3.0,1061.0
2.0,5.0,7.7,1.0,5.0,57.3,1.0,5.0,98.1,1.0,5.0,176.8,1.0,4.0,220.4,1.0,4.0,1112.0
2.0,6.0,23.3,1.0,6.0,125.0,1.0,6.0,224.9,1.0,6.0,250.7,1.0,6.0,205.4,1.0,5.0,978.9
3.0,2.0,6.9,3.0,1.0,101.9,2.0,1.0,119.9,2.0,1.0,371.0,2.0,1.0,271.9,2.0,1.0,1242.0
3.0,4.0,19.3,3.0,4.0,409.9,2.0,4.0,416.5,2.0,3.0,667.8,2.0,3.0,544.6,2.0,3.0,2225.0
3.0,5.0,10.4,3.0,5.0,266.8,2.0,5.0,320.0,2.0,5.0,508.6,2.0,4.0,823.5,2.0,4.0,2492.0
3.0,6.0,30.1,3.0,6.0,549.0,2.0,6.0,594.2,2.0,6.0,743.8,2.0,6.0,724.3,2.0,5.0,2207.0
4.0,2.0,32.3,4.0,1.0,424.6,4.0,1.0,519.7,3.0,1.0,645.5,3.0,1.0,353.5,3.0,1.0,1967.0
4.0,3.0,42.0,4.0,3.0,756.7,4.0,2.0,769.3,3.0,2.0,923.3,3.0,2.0,648.5,3.0,2.0,2686.0
4.0,5.0,52.3,4.0,5.0,813.8,4.0,5.0,751.9,3.0,5.0,961.8,3.0,4.0,1129.0,3.0,4.0,3242.0
4.0,6.0,75.3,4.0,6.0,1099.0,4.0,6.0,1001.0,3.0,6.0,1164.0,3.0,6.0,1004.0,3.0,5.0,2730.0
5.0,2.0,18.5,5.0,1.0,220.3,5.0,1.0,256.0,5.0,1.0,250.1,4.0,1.0,436.4,4.0,1.0,1630.0
5.0,3.0,22.2,5.0,3.0,431.9,5.0,2.0,444.3,5.0,2.0,459.1,4.0,2.0,659.8,4.0,2.0,2594.0
5.0,4.0,47.7,5.0,4.0,892.5,5.0,4.0,815.4,5.0,3.0,697.5,4.0,3.0,909.2,4.0,3.0,2785.0
5.0,6.0,47.2,5.0,6.0,777.2,5.0,6.0,753.2,5.0,6.0,369.5,4.0,6.0,599.7,4.0,5.0,1666.0
6.0,2.0,73.4,6.0,1.0,678.7,6.0,1.0,954.1,6.0,1.0,466.8,6.0,1.0,484.3,5.0,1.0,1291.0
6.0,3.0,93.4,6.0,3.0,1438.0,6.0,2.0,1149.0,6.0,2.0,902.2,6.0,2.0,774.3,5.0,2.0,1865.0
6.0,4.0,120.6,6.0,4.0,1666.0,6.0,4.0,1711.0,6.0,3.0,1129.0,6.0,3.0,914.2,5.0,3.0,2196.0
6.0,5.0,101.7,6.0,5.0,1229.0,6.0,5.0,1291.0,6.0,5.0,542.2,6.0,4.0,710.7,5.0,4.0,1572.0
