1,西川　新太郎,西川　新太郎.1,2,屋良 龍紀,屋良 龍紀.1,3,岡部 大輔,岡部 大輔.1,4,小林 甘寧,小林 甘寧.1,5,鈴木 博,鈴木 博.1,6,吉田 祐貴,吉田 祐貴.1
2.0,3.0,18.5,1.0,3.0,77.8,1.0,2.0,62.4,1.0,2.0,1364.0,1.0,2.0,45.2,1.0,2.0,590.1
2.0,4.0,192.9,1.0,4.0,471.0,1.0,4.0,328.6,1.0,3.0,1445.0,1.0,3.0,18.1,1.0,3.0,354.9
2.0,5.0,19.5,1.0,5.0,75.8,1.0,5.0,14.4,1.0,5.0,1125.0,1.0,4.0,226.8,1.0,4.0,1537.0
2.0,6.0,74.8,1.0,6.0,234.3,1.0,6.0,62.2,1.0,6.0,1800.0,1.0,6.0,39.7,1.0,5.0,264.1
3.0,2.0,13.9,3.0,1.0,134.4,2.0,1.0,163.5,2.0,1.0,1770.0,2.0,1.0,125.7,2.0,1.0,1000.0
3.0,4.0,121.7,3.0,4.0,865.8,2.0,4.0,686.6,2.0,3.0,1731.0,2.0,3.0,168.1,2.0,3.0,1567.0
3.0,5.0,4.7,3.0,5.0,168.1,2.0,5.0,162.7,2.0,5.0,1994.0,2.0,4.0,776.2,2.0,4.0,2501.0
3.0,6.0,24.2,3.0,6.0,527.0,2.0,6.0,407.1,2.0,6.0,1722.0,2.0,6.0,204.7,2.0,5.0,1226.0
4.0,2.0,414.1,4.0,1.0,1493.0,4.0,1.0,1050.0,3.0,1.0,1945.0,3.0,1.0,27.8,3.0,1.0,583.6
4.0,3.0,407.1,4.0,3.0,1741.0,4.0,2.0,1113.0,3.0,2.0,1982.0,3.0,2.0,95.7,3.0,2.0,1281.0
4.0,5.0,405.0,4.0,5.0,1667.0,4.0,5.0,706.6,3.0,5.0,2046.0,3.0,4.0,299.8,3.0,4.0,2251.0
4.0,6.0,542.4,4.0,6.0,1780.0,4.0,6.0,1472.0,3.0,6.0,3001.0,3.0,6.0,68.8,3.0,5.0,543.3
5.0,2.0,15.7,5.0,1.0,142.1,5.0,1.0,23.4,5.0,1.0,1459.0,4.0,1.0,692.6,4.0,1.0,2740.0
5.0,3.0,5.9,5.0,3.0,196.4,5.0,2.0,79.9,5.0,2.0,1832.0,4.0,2.0,880.3,4.0,2.0,2693.0
5.0,4.0,155.0,5.0,4.0,683.6,5.0,4.0,281.3,5.0,3.0,1658.0,4.0,3.0,617.9,4.0,3.0,2764.0
5.0,6.0,21.1,5.0,6.0,403.5,5.0,6.0,65.8,5.0,6.0,2033.0,4.0,6.0,831.5,4.0,5.0,2865.0
6.0,2.0,134.2,6.0,1.0,671.9,6.0,1.0,236.4,6.0,1.0,2693.0,6.0,1.0,73.2,5.0,1.0,341.8
6.0,3.0,84.1,6.0,3.0,972.6,6.0,2.0,512.4,6.0,2.0,2033.0,6.0,2.0,153.1,5.0,2.0,818.5
6.0,4.0,418.5,6.0,4.0,1607.0,6.0,4.0,1171.0,6.0,3.0,3425.0,6.0,3.0,105.7,5.0,3.0,473.9
6.0,5.0,81.4,6.0,5.0,801.9,6.0,5.0,189.9,6.0,5.0,2839.0,6.0,4.0,324.2,5.0,4.0,1515.0
