1,檀 将太,檀 将太.1,2,渡辺 崇,渡辺 崇.1,3,山田 丈,山田 丈.1,4,橋本 英一,橋本 英一.1,5,小松 卓司,小松 卓司.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,13.1,1.0,3.0,17.8,1.0,2.0,24.5,1.0,2.0,91.9,1.0,2.0,211.1,1.0,2.0,666.0
2.0,4.0,25.4,1.0,4.0,29.9,1.0,4.0,35.3,1.0,3.0,117.8,1.0,3.0,202.0,1.0,3.0,775.9
2.0,5.0,40.8,1.0,5.0,44.2,1.0,5.0,47.3,1.0,5.0,151.1,1.0,4.0,287.8,1.0,4.0,912.3
2.0,6.0,98.6,1.0,6.0,102.2,1.0,6.0,107.2,1.0,6.0,258.2,1.0,6.0,412.4,1.0,5.0,1038.0
3.0,2.0,13.2,3.0,1.0,25.7,2.0,1.0,32.9,2.0,1.0,106.4,2.0,1.0,228.4,2.0,1.0,934.9
3.0,4.0,24.7,3.0,4.0,25.8,2.0,4.0,29.9,2.0,3.0,81.4,2.0,3.0,145.3,2.0,3.0,880.3
3.0,5.0,36.1,3.0,5.0,35.6,2.0,5.0,32.3,2.0,5.0,91.2,2.0,4.0,192.4,2.0,4.0,983.8
3.0,6.0,80.3,3.0,6.0,105.5,2.0,6.0,100.8,2.0,6.0,215.0,2.0,6.0,385.9,2.0,5.0,1003.0
4.0,2.0,51.2,4.0,1.0,50.0,4.0,1.0,59.7,3.0,1.0,139.5,3.0,1.0,218.4,3.0,1.0,929.2
4.0,3.0,56.2,4.0,3.0,42.1,4.0,2.0,43.3,3.0,2.0,83.4,3.0,2.0,154.8,3.0,2.0,818.1
4.0,5.0,109.6,4.0,5.0,61.2,4.0,5.0,47.7,3.0,5.0,100.4,3.0,4.0,201.5,3.0,4.0,1038.0
4.0,6.0,193.9,4.0,6.0,133.4,4.0,6.0,114.4,3.0,6.0,232.6,3.0,6.0,371.6,3.0,5.0,1106.0
5.0,2.0,106.0,5.0,1.0,110.2,5.0,1.0,85.9,5.0,1.0,173.6,4.0,1.0,301.6,4.0,1.0,1149.0
5.0,3.0,86.6,5.0,3.0,69.2,5.0,2.0,55.0,5.0,2.0,101.9,4.0,2.0,207.0,4.0,2.0,865.1
5.0,4.0,166.7,5.0,4.0,93.4,5.0,4.0,72.3,5.0,3.0,128.9,4.0,3.0,214.4,4.0,3.0,964.9
5.0,6.0,243.1,5.0,6.0,197.2,5.0,6.0,134.6,5.0,6.0,202.3,4.0,6.0,340.5,4.0,5.0,1038.0
6.0,2.0,281.3,6.0,1.0,313.6,6.0,1.0,261.3,6.0,1.0,464.6,6.0,1.0,700.1,5.0,1.0,1381.0
6.0,3.0,267.3,6.0,3.0,271.7,6.0,2.0,235.9,6.0,2.0,347.6,6.0,2.0,563.8,5.0,2.0,1123.0
6.0,4.0,365.3,6.0,4.0,366.2,6.0,4.0,247.1,6.0,3.0,416.9,6.0,3.0,545.4,5.0,3.0,1505.0
6.0,5.0,444.0,6.0,5.0,307.8,6.0,5.0,223.6,6.0,5.0,355.0,6.0,4.0,619.4,5.0,4.0,1115.0
