1,佐々木　和伸,佐々木　和伸.1,2,阪本 勇介,阪本 勇介.1,3,梅木 敬太,梅木 敬太.1,4,今村 暢孝,今村 暢孝.1,5,坂口 周,坂口 周.1,6,庄司　樹良々,庄司　樹良々.1
2.0,3.0,93.6,1.0,3.0,360.0,1.0,2.0,163.0,1.0,2.0,75.8,1.0,2.0,200.5,1.0,2.0,664.3
2.0,4.0,66.2,1.0,4.0,251.0,1.0,4.0,52.1,1.0,3.0,35.8,1.0,3.0,74.1,1.0,3.0,408.3
2.0,5.0,94.6,1.0,5.0,283.8,1.0,5.0,38.6,1.0,5.0,26.1,1.0,4.0,57.4,1.0,4.0,325.6
2.0,6.0,151.8,1.0,6.0,450.1,1.0,6.0,60.5,1.0,6.0,53.9,1.0,6.0,80.8,1.0,5.0,388.2
3.0,2.0,73.5,3.0,1.0,350.8,2.0,1.0,295.7,2.0,1.0,208.1,2.0,1.0,405.7,2.0,1.0,1038.0
3.0,4.0,25.4,3.0,4.0,334.7,2.0,4.0,269.8,2.0,3.0,317.0,2.0,3.0,409.1,2.0,3.0,1116.0
3.0,5.0,28.7,3.0,5.0,248.3,2.0,5.0,197.2,2.0,5.0,234.9,2.0,4.0,393.2,2.0,4.0,979.0
3.0,6.0,50.1,3.0,6.0,363.3,2.0,6.0,229.0,2.0,6.0,315.7,2.0,6.0,347.3,2.0,5.0,1004.0
4.0,2.0,35.1,4.0,1.0,331.6,4.0,1.0,66.9,3.0,1.0,89.2,3.0,1.0,56.6,3.0,1.0,325.3
4.0,3.0,16.3,4.0,3.0,420.8,4.0,2.0,190.6,3.0,2.0,227.9,3.0,2.0,196.3,3.0,2.0,676.7
4.0,5.0,13.8,4.0,5.0,330.9,4.0,5.0,43.2,3.0,5.0,69.5,3.0,4.0,54.2,3.0,4.0,228.2
4.0,6.0,32.4,4.0,6.0,463.7,4.0,6.0,56.4,3.0,6.0,102.3,3.0,6.0,43.7,3.0,5.0,175.0
5.0,2.0,76.7,5.0,1.0,388.2,5.0,1.0,31.2,5.0,1.0,50.0,4.0,1.0,75.9,4.0,1.0,353.7
5.0,3.0,40.0,5.0,3.0,348.6,5.0,2.0,108.7,5.0,2.0,174.7,4.0,2.0,241.5,4.0,2.0,731.1
5.0,4.0,27.6,5.0,4.0,360.6,5.0,4.0,24.8,5.0,3.0,80.3,4.0,3.0,82.5,4.0,3.0,288.0
5.0,6.0,49.1,5.0,6.0,382.5,5.0,6.0,19.7,5.0,6.0,68.4,4.0,6.0,77.4,4.0,5.0,246.2
6.0,2.0,219.4,6.0,1.0,790.8,6.0,1.0,75.9,6.0,1.0,192.6,6.0,1.0,130.4,5.0,1.0,345.8
6.0,3.0,125.3,6.0,3.0,672.0,6.0,2.0,206.7,6.0,2.0,406.4,6.0,2.0,310.1,5.0,2.0,664.8
6.0,4.0,97.4,6.0,4.0,688.4,6.0,4.0,64.2,6.0,3.0,178.9,6.0,3.0,85.2,5.0,3.0,203.4
6.0,5.0,109.1,6.0,5.0,629.8,6.0,5.0,45.1,6.0,5.0,127.5,6.0,4.0,95.1,5.0,4.0,229.1
