1,金子 賢志,金子 賢志.1,2,高橋 直哉,高橋 直哉.1,3,中辻 崇人,中辻 崇人.1,4,白井 友晴,白井 友晴.1,5,宮迫 暢彦,宮迫 暢彦.1,6,屋良 龍紀,屋良 龍紀.1
2.0,3.0,20.1,1.0,3.0,47.4,1.0,2.0,14.7,1.0,2.0,189.4,1.0,2.0,582.3,1.0,2.0,3525.0
2.0,4.0,43.8,1.0,4.0,89.8,1.0,4.0,10.8,1.0,3.0,109.0,1.0,3.0,285.3,1.0,3.0,2545.0
2.0,5.0,79.5,1.0,5.0,147.0,1.0,5.0,19.1,1.0,5.0,200.1,1.0,4.0,697.6,1.0,4.0,4443.0
2.0,6.0,237.7,1.0,6.0,390.8,1.0,6.0,80.6,1.0,6.0,415.4,1.0,6.0,1096.0,1.0,5.0,4498.0
3.0,2.0,9.4,3.0,1.0,45.3,2.0,1.0,31.6,2.0,1.0,281.5,2.0,1.0,811.9,2.0,1.0,4073.0
3.0,4.0,9.4,3.0,4.0,47.0,2.0,4.0,26.4,2.0,3.0,150.3,2.0,3.0,478.2,2.0,3.0,3120.0
3.0,5.0,20.8,3.0,5.0,78.3,2.0,5.0,42.2,2.0,5.0,316.7,2.0,4.0,1117.0,2.0,4.0,3647.0
3.0,6.0,96.0,3.0,6.0,221.3,2.0,6.0,128.4,2.0,6.0,734.6,2.0,6.0,1894.0,2.0,5.0,5819.0
4.0,2.0,53.4,4.0,1.0,167.5,4.0,1.0,16.8,3.0,1.0,74.9,3.0,1.0,267.4,3.0,1.0,2242.0
4.0,3.0,32.9,4.0,3.0,99.4,4.0,2.0,22.6,3.0,2.0,86.4,3.0,2.0,382.6,3.0,2.0,3146.0
4.0,5.0,89.0,4.0,5.0,273.4,4.0,5.0,17.0,3.0,5.0,78.3,3.0,4.0,366.2,3.0,4.0,2380.0
4.0,6.0,222.1,4.0,6.0,524.8,4.0,6.0,50.2,3.0,6.0,179.3,3.0,6.0,654.6,3.0,5.0,3244.0
5.0,2.0,140.6,5.0,1.0,403.0,5.0,1.0,38.7,5.0,1.0,329.0,4.0,1.0,928.1,4.0,1.0,5728.0
5.0,3.0,79.5,5.0,3.0,230.1,5.0,2.0,54.1,5.0,2.0,425.7,4.0,2.0,1277.0,4.0,2.0,4238.0
5.0,4.0,171.5,5.0,4.0,463.7,5.0,4.0,35.1,5.0,3.0,224.3,4.0,3.0,527.5,4.0,3.0,3273.0
5.0,6.0,493.0,5.0,6.0,1005.0,5.0,6.0,84.1,5.0,6.0,597.5,4.0,6.0,1775.0,4.0,5.0,5554.0
6.0,2.0,814.6,6.0,1.0,1600.0,6.0,1.0,225.8,6.0,1.0,1681.0,6.0,1.0,2545.0,5.0,1.0,5640.0
6.0,3.0,537.5,6.0,3.0,969.8,6.0,2.0,275.1,6.0,2.0,1633.0,6.0,2.0,2980.0,5.0,2.0,7559.0
6.0,4.0,775.9,6.0,4.0,1633.0,6.0,4.0,177.1,6.0,3.0,1028.0,6.0,3.0,2008.0,5.0,3.0,4262.0
6.0,5.0,967.3,6.0,5.0,1965.0,6.0,5.0,186.5,6.0,5.0,1792.0,6.0,4.0,3005.0,5.0,4.0,5728.0
