1,植田 太一,植田 太一.1,2,金子 猛志,金子 猛志.1,3,近藤 稔也,近藤 稔也.1,4,安田 吉宏,安田 吉宏.1,5,浦野 海,浦野 海.1,6,阪本 勇介,阪本 勇介.1
2.0,3.0,11.8,1.0,3.0,73.4,1.0,2.0,106.5,1.0,2.0,193.6,1.0,2.0,54.1,1.0,2.0,283.9
2.0,4.0,20.4,1.0,4.0,126.9,1.0,4.0,108.8,1.0,3.0,201.6,1.0,3.0,67.3,1.0,3.0,291.8
2.0,5.0,11.8,1.0,5.0,63.4,1.0,5.0,76.1,1.0,5.0,131.1,1.0,4.0,103.0,1.0,4.0,396.2
2.0,6.0,34.3,1.0,6.0,152.5,1.0,6.0,140.1,1.0,6.0,199.1,1.0,6.0,58.4,1.0,5.0,229.7
3.0,2.0,12.5,3.0,1.0,149.0,2.0,1.0,191.5,2.0,1.0,366.4,2.0,1.0,121.9,2.0,1.0,466.3
3.0,4.0,15.4,3.0,4.0,356.1,2.0,4.0,378.7,2.0,3.0,787.6,2.0,3.0,272.0,2.0,3.0,886.9
3.0,5.0,11.7,3.0,5.0,262.7,2.0,5.0,264.2,2.0,5.0,456.2,2.0,4.0,428.4,2.0,4.0,851.1
3.0,6.0,24.8,3.0,6.0,473.2,2.0,6.0,464.9,2.0,6.0,640.9,2.0,6.0,230.4,2.0,5.0,683.8
4.0,2.0,25.1,4.0,1.0,282.2,4.0,1.0,202.7,3.0,1.0,312.5,3.0,1.0,163.9,3.0,1.0,519.9
4.0,3.0,22.6,4.0,3.0,486.3,4.0,2.0,458.2,3.0,2.0,768.5,3.0,2.0,296.7,3.0,2.0,1103.0
4.0,5.0,23.9,4.0,5.0,353.7,4.0,5.0,316.9,3.0,5.0,502.5,3.0,4.0,433.1,3.0,4.0,986.3
4.0,6.0,40.9,4.0,6.0,667.9,4.0,6.0,436.7,3.0,6.0,559.4,3.0,6.0,304.1,3.0,5.0,872.2
5.0,2.0,15.7,5.0,1.0,125.5,5.0,1.0,138.3,5.0,1.0,149.2,4.0,1.0,175.6,4.0,1.0,614.8
5.0,3.0,16.9,5.0,3.0,267.6,5.0,2.0,274.1,5.0,2.0,291.5,4.0,2.0,378.2,4.0,2.0,998.8
5.0,4.0,29.2,5.0,4.0,417.7,5.0,4.0,353.3,5.0,3.0,347.5,4.0,3.0,412.8,4.0,3.0,1041.0
5.0,6.0,25.4,5.0,6.0,328.1,5.0,6.0,356.5,5.0,6.0,209.2,4.0,6.0,247.5,4.0,5.0,741.5
6.0,2.0,69.9,6.0,1.0,515.6,6.0,1.0,384.2,6.0,1.0,375.1,6.0,1.0,116.6,5.0,1.0,274.8
6.0,3.0,64.0,6.0,3.0,965.3,6.0,2.0,759.3,6.0,2.0,620.8,6.0,2.0,199.2,5.0,2.0,509.0
6.0,4.0,89.7,6.0,4.0,1208.0,6.0,4.0,746.7,6.0,3.0,661.0,6.0,3.0,286.5,5.0,3.0,695.8
6.0,5.0,58.6,6.0,5.0,692.8,6.0,5.0,567.4,6.0,5.0,366.0,6.0,4.0,320.8,5.0,4.0,654.1
