1,海野　康志郎,海野　康志郎.1,2,高井 雄基,高井 雄基.1,3,上平 真二,上平 真二.1,4,高橋 竜矢,高橋 竜矢.1,5,角 ひとみ,角 ひとみ.1,6,大田 直弥,大田 直弥.1
2.0,3.0,6.5,1.0,3.0,61.5,1.0,2.0,34.0,1.0,2.0,103.9,1.0,2.0,877.6,1.0,2.0,2516.0
2.0,4.0,10.4,1.0,4.0,93.1,1.0,4.0,26.4,1.0,3.0,84.1,1.0,3.0,666.0,1.0,3.0,1588.0
2.0,5.0,40.5,1.0,5.0,250.9,1.0,5.0,76.6,1.0,5.0,176.5,1.0,4.0,976.3,1.0,4.0,2936.0
2.0,6.0,69.3,1.0,6.0,414.5,1.0,6.0,116.3,1.0,6.0,236.5,1.0,6.0,1426.0,1.0,5.0,4205.0
3.0,2.0,4.8,3.0,1.0,154.7,2.0,1.0,118.8,2.0,1.0,267.7,2.0,1.0,1656.0,2.0,1.0,3705.0
3.0,4.0,4.7,3.0,4.0,352.6,2.0,4.0,233.1,2.0,3.0,417.1,2.0,3.0,2614.0,2.0,3.0,4436.0
3.0,5.0,21.0,3.0,5.0,866.3,2.0,5.0,497.7,2.0,5.0,756.3,2.0,4.0,3165.0,2.0,4.0,4420.0
3.0,6.0,30.7,3.0,6.0,1395.0,2.0,6.0,864.5,2.0,6.0,997.1,2.0,6.0,3763.0,2.0,5.0,5043.0
4.0,2.0,11.9,4.0,1.0,282.6,4.0,1.0,89.6,3.0,1.0,168.6,3.0,1.0,1018.0,3.0,1.0,2392.0
4.0,3.0,9.4,4.0,3.0,474.8,4.0,2.0,207.7,3.0,2.0,386.1,3.0,2.0,2846.0,3.0,2.0,4518.0
4.0,5.0,39.4,4.0,5.0,1126.0,4.0,5.0,314.8,3.0,5.0,539.0,3.0,4.0,1960.0,3.0,4.0,2813.0
4.0,6.0,55.3,4.0,6.0,1408.0,4.0,6.0,422.9,3.0,6.0,738.0,3.0,6.0,3564.0,3.0,5.0,5284.0
5.0,2.0,122.1,5.0,1.0,1051.0,5.0,1.0,356.4,5.0,1.0,412.3,4.0,1.0,1337.0,4.0,1.0,3661.0
5.0,3.0,92.1,5.0,3.0,1905.0,5.0,2.0,786.2,5.0,2.0,705.8,4.0,2.0,2297.0,4.0,2.0,4766.0
5.0,4.0,145.5,5.0,4.0,2099.0,5.0,4.0,735.3,5.0,3.0,697.3,4.0,3.0,1935.0,4.0,3.0,3694.0
5.0,6.0,248.5,5.0,6.0,3357.0,5.0,6.0,1263.0,5.0,6.0,763.9,4.0,6.0,2306.0,4.0,5.0,4621.0
6.0,2.0,249.9,6.0,1.0,1833.0,6.0,1.0,752.1,6.0,1.0,794.9,6.0,1.0,3339.0,5.0,1.0,5194.0
6.0,3.0,211.9,6.0,3.0,2921.0,6.0,2.0,1662.0,6.0,2.0,1401.0,6.0,2.0,4729.0,5.0,2.0,6108.0
6.0,4.0,274.1,6.0,4.0,2986.0,6.0,4.0,1293.0,6.0,3.0,1094.0,6.0,3.0,4106.0,5.0,3.0,6108.0
6.0,5.0,369.5,6.0,5.0,4065.0,6.0,5.0,1660.0,6.0,5.0,1253.0,6.0,4.0,3606.0,5.0,4.0,5064.0
