1,富永　夏哉人,富永　夏哉人.1,2,永松 良教,永松 良教.1,3,田村 慶,田村 慶.1,4,眞崎 武蔵,眞崎 武蔵.1,5,村松 栄太,村松 栄太.1,6,板橋 侑我,板橋 侑我.1
2.0,3.0,94.0,1.0,3.0,234.6,1.0,2.0,109.9,1.0,2.0,356.9,1.0,2.0,735.5,1.0,2.0,63.2
2.0,4.0,181.4,1.0,4.0,414.5,1.0,4.0,71.2,1.0,3.0,294.9,1.0,3.0,395.5,1.0,3.0,24.9
2.0,5.0,286.5,1.0,5.0,494.3,1.0,5.0,90.3,1.0,5.0,332.3,1.0,4.0,615.4,1.0,4.0,53.7
2.0,6.0,82.4,1.0,6.0,157.4,1.0,6.0,30.0,1.0,6.0,213.1,1.0,6.0,357.9,1.0,5.0,53.0
3.0,2.0,50.7,3.0,1.0,218.9,2.0,1.0,169.9,2.0,1.0,365.5,2.0,1.0,731.1,2.0,1.0,88.2
3.0,4.0,68.2,3.0,4.0,253.4,2.0,4.0,148.5,2.0,3.0,309.3,2.0,3.0,450.1,2.0,3.0,49.8
3.0,5.0,79.4,3.0,5.0,236.5,2.0,5.0,168.0,2.0,5.0,579.9,2.0,4.0,670.1,2.0,4.0,96.6
3.0,6.0,21.4,3.0,6.0,87.9,2.0,6.0,59.3,2.0,6.0,271.0,2.0,6.0,320.8,2.0,5.0,72.8
4.0,2.0,248.2,4.0,1.0,506.8,4.0,1.0,125.1,3.0,1.0,264.5,3.0,1.0,378.1,3.0,1.0,21.3
4.0,3.0,154.0,4.0,3.0,411.7,4.0,2.0,212.7,3.0,2.0,326.9,3.0,2.0,429.2,3.0,2.0,29.8
4.0,5.0,266.8,4.0,5.0,621.8,4.0,5.0,165.0,3.0,5.0,289.9,3.0,4.0,467.5,3.0,4.0,28.5
4.0,6.0,123.8,4.0,6.0,252.8,4.0,6.0,62.1,3.0,6.0,127.9,3.0,6.0,136.7,3.0,5.0,16.8
5.0,2.0,376.9,5.0,1.0,718.0,5.0,1.0,166.1,5.0,1.0,480.6,4.0,1.0,677.7,4.0,1.0,52.8
5.0,3.0,212.7,5.0,3.0,391.6,5.0,2.0,206.5,5.0,2.0,621.8,4.0,2.0,1022.0,4.0,2.0,81.8
5.0,4.0,420.3,5.0,4.0,820.6,5.0,4.0,198.7,5.0,3.0,398.1,4.0,3.0,709.6,4.0,3.0,41.5
5.0,6.0,167.0,5.0,6.0,278.5,5.0,6.0,48.9,5.0,6.0,196.4,4.0,6.0,355.8,4.0,5.0,42.0
6.0,2.0,54.1,6.0,1.0,117.3,6.0,1.0,21.4,6.0,1.0,162.7,6.0,1.0,227.6,5.0,1.0,49.9
6.0,3.0,22.8,6.0,3.0,70.7,6.0,2.0,29.8,6.0,2.0,181.4,6.0,2.0,235.6,5.0,2.0,59.2
6.0,4.0,60.8,6.0,4.0,151.5,6.0,4.0,26.4,6.0,3.0,107.0,6.0,3.0,117.2,5.0,3.0,27.5
6.0,5.0,63.0,6.0,5.0,118.2,6.0,5.0,19.4,6.0,5.0,121.8,6.0,4.0,272.9,5.0,4.0,53.1
