1,塩田 北斗,塩田 北斗.1,2,中 亮太,中 亮太.1,3,平野 和明,平野 和明.1,4,下河 雅史,下河 雅史.1,5,田中 駿兵,田中 駿兵.1,6,永田 義紘,永田 義紘.1
2.0,3.0,3.9,1.0,3.0,27.8,1.0,2.0,93.6,1.0,2.0,75.5,1.0,2.0,342.4,1.0,2.0,1375.0
2.0,4.0,5.2,1.0,4.0,27.8,1.0,4.0,130.0,1.0,3.0,138.3,1.0,3.0,505.5,1.0,3.0,2219.0
2.0,5.0,22.0,1.0,5.0,93.6,1.0,5.0,201.4,1.0,5.0,111.3,1.0,4.0,352.9,1.0,4.0,1902.0
2.0,6.0,35.6,1.0,6.0,123.7,1.0,6.0,372.9,1.0,6.0,183.8,1.0,6.0,657.6,1.0,5.0,3367.0
3.0,2.0,7.6,3.0,1.0,80.6,2.0,1.0,146.9,2.0,1.0,127.0,2.0,1.0,570.5,2.0,1.0,1921.0
3.0,4.0,11.8,3.0,4.0,152.3,2.0,4.0,331.9,2.0,3.0,310.5,2.0,3.0,1362.0,2.0,3.0,3467.0
3.0,5.0,35.3,3.0,5.0,413.5,2.0,5.0,758.9,2.0,5.0,268.2,2.0,4.0,882.4,2.0,4.0,3051.0
3.0,6.0,57.7,3.0,6.0,463.5,2.0,6.0,978.2,2.0,6.0,396.9,2.0,6.0,1541.0,2.0,5.0,4882.0
4.0,2.0,12.1,4.0,1.0,95.1,4.0,1.0,324.2,3.0,1.0,370.1,3.0,1.0,1107.0,3.0,1.0,2900.0
4.0,3.0,17.2,4.0,3.0,193.3,4.0,2.0,442.8,3.0,2.0,495.7,3.0,2.0,1825.0,3.0,2.0,4542.0
4.0,5.0,38.1,4.0,5.0,322.6,4.0,5.0,767.9,3.0,5.0,821.8,3.0,4.0,1558.0,3.0,4.0,5375.0
4.0,6.0,59.4,4.0,6.0,402.9,4.0,6.0,1200.0,3.0,6.0,1050.0,3.0,6.0,2959.0,3.0,5.0,6300.0
5.0,2.0,67.7,5.0,1.0,391.1,5.0,1.0,979.8,5.0,1.0,150.7,4.0,1.0,350.6,4.0,1.0,2041.0
5.0,3.0,92.1,5.0,3.0,1022.0,5.0,2.0,1609.0,5.0,2.0,228.7,4.0,2.0,543.5,4.0,2.0,3201.0
5.0,4.0,86.9,5.0,4.0,748.3,5.0,4.0,1233.0,5.0,3.0,455.9,4.0,3.0,829.9,4.0,3.0,4097.0
5.0,6.0,163.4,5.0,6.0,1319.0,5.0,6.0,2154.0,5.0,6.0,275.4,4.0,6.0,708.5,4.0,5.0,3184.0
6.0,2.0,183.3,6.0,1.0,621.3,6.0,1.0,1770.0,6.0,1.0,473.6,6.0,1.0,1972.0,5.0,1.0,4965.0
6.0,3.0,239.5,6.0,3.0,1632.0,6.0,2.0,2604.0,6.0,2.0,677.3,6.0,2.0,2514.0,5.0,2.0,6233.0
6.0,4.0,227.9,6.0,4.0,1487.0,6.0,4.0,2872.0,6.0,3.0,1126.0,6.0,3.0,2915.0,5.0,3.0,6167.0
6.0,5.0,271.9,6.0,5.0,2431.0,6.0,5.0,3446.0,6.0,5.0,652.5,6.0,4.0,1627.0,5.0,4.0,3959.0
