1,篠原 晟弥,篠原 晟弥.1,2,後藤 翔之,後藤 翔之.1,3,大田 直弥,大田 直弥.1,4,梅木 敬太,梅木 敬太.1,5,高橋 竜矢,高橋 竜矢.1,6,山口　真喜子,山口　真喜子.1
2.0,3.0,15.0,1.0,3.0,56.3,1.0,2.0,156.5,1.0,2.0,45.8,1.0,2.0,56.2,1.0,2.0,1244.0
2.0,4.0,10.9,1.0,4.0,40.5,1.0,4.0,181.9,1.0,3.0,120.1,1.0,3.0,141.9,1.0,3.0,1926.0
2.0,5.0,10.7,1.0,5.0,33.6,1.0,5.0,134.1,1.0,5.0,32.9,1.0,4.0,62.8,1.0,4.0,1316.0
2.0,6.0,54.2,1.0,6.0,138.4,1.0,6.0,368.5,1.0,6.0,83.6,1.0,6.0,110.9,1.0,5.0,1167.0
3.0,2.0,27.6,3.0,1.0,154.8,2.0,1.0,236.1,2.0,1.0,66.5,2.0,1.0,90.1,2.0,1.0,1425.0
3.0,4.0,35.1,3.0,4.0,239.2,2.0,4.0,317.3,2.0,3.0,135.6,2.0,3.0,201.6,2.0,3.0,2071.0
3.0,5.0,30.1,3.0,5.0,175.6,2.0,5.0,270.1,2.0,5.0,62.1,2.0,4.0,112.8,2.0,4.0,1520.0
3.0,6.0,109.9,3.0,6.0,494.1,2.0,6.0,756.7,2.0,6.0,133.1,2.0,6.0,174.1,2.0,5.0,1176.0
4.0,2.0,15.3,4.0,1.0,96.6,4.0,1.0,297.6,3.0,1.0,292.1,3.0,1.0,318.8,3.0,1.0,2433.0
4.0,3.0,39.6,4.0,3.0,217.2,4.0,2.0,306.6,3.0,2.0,267.1,3.0,2.0,309.7,3.0,2.0,2569.0
4.0,5.0,17.4,4.0,5.0,101.3,4.0,5.0,242.9,3.0,5.0,197.0,3.0,4.0,350.2,3.0,4.0,2310.0
4.0,6.0,64.9,4.0,6.0,303.1,4.0,6.0,788.4,3.0,6.0,414.6,3.0,6.0,515.6,3.0,5.0,2272.0
5.0,2.0,17.7,5.0,1.0,79.3,5.0,1.0,214.9,5.0,1.0,29.5,4.0,1.0,60.6,4.0,1.0,1327.0
5.0,3.0,38.2,5.0,3.0,152.5,5.0,2.0,289.2,5.0,2.0,37.9,4.0,2.0,69.6,4.0,2.0,1411.0
5.0,4.0,24.4,5.0,4.0,115.7,5.0,4.0,262.4,5.0,3.0,107.4,4.0,3.0,200.1,4.0,3.0,2179.0
5.0,6.0,64.0,5.0,6.0,208.4,5.0,6.0,611.7,5.0,6.0,46.8,4.0,6.0,84.3,4.0,5.0,891.5
6.0,2.0,177.5,6.0,1.0,585.3,6.0,1.0,1122.0,6.0,1.0,193.0,6.0,1.0,313.5,5.0,1.0,1225.0
6.0,3.0,311.3,6.0,3.0,940.3,6.0,2.0,1380.0,6.0,2.0,216.8,6.0,2.0,284.1,5.0,2.0,1015.0
6.0,4.0,216.7,6.0,4.0,727.5,6.0,4.0,1570.0,6.0,3.0,416.4,6.0,3.0,529.2,5.0,3.0,1769.0
6.0,5.0,196.6,6.0,5.0,500.0,6.0,5.0,1198.0,6.0,5.0,132.7,6.0,4.0,286.2,5.0,4.0,904.9
