1,田中 宏典,田中 宏典.1,2,高山 敬悟,高山 敬悟.1,3,上瀧 絢也,上瀧 絢也.1,4,渡辺 空依,渡辺 空依.1,5,安河内鈴之介,安河内鈴之介.1,6,佐藤 右京,佐藤 右京.1
2.0,3.0,24.4,1.0,3.0,63.0,1.0,2.0,87.6,1.0,2.0,70.3,1.0,2.0,80.7,1.0,2.0,716.6
2.0,4.0,24.9,1.0,4.0,54.9,1.0,4.0,50.5,1.0,3.0,56.0,1.0,3.0,87.4,1.0,3.0,597.7
2.0,5.0,21.1,1.0,5.0,54.7,1.0,5.0,57.9,1.0,5.0,37.8,1.0,4.0,63.9,1.0,4.0,573.2
2.0,6.0,81.7,1.0,6.0,183.0,1.0,6.0,173.9,1.0,6.0,111.6,1.0,6.0,114.5,1.0,5.0,586.6
3.0,2.0,27.9,3.0,1.0,84.9,2.0,1.0,132.0,2.0,1.0,100.0,2.0,1.0,120.0,2.0,1.0,1087.0
3.0,4.0,19.6,3.0,4.0,71.1,2.0,4.0,76.1,2.0,3.0,108.2,2.0,3.0,132.4,2.0,3.0,1356.0
3.0,5.0,23.1,3.0,5.0,68.1,2.0,5.0,88.0,2.0,5.0,66.8,2.0,4.0,120.6,2.0,4.0,927.3
3.0,6.0,80.0,3.0,6.0,245.3,2.0,6.0,303.9,2.0,6.0,212.3,2.0,6.0,199.8,2.0,5.0,955.4
4.0,2.0,29.9,4.0,1.0,97.3,4.0,1.0,72.0,3.0,1.0,83.7,3.0,1.0,137.3,3.0,1.0,857.9
4.0,3.0,24.9,4.0,3.0,89.5,4.0,2.0,97.3,3.0,2.0,115.4,3.0,2.0,150.3,3.0,2.0,1189.0
4.0,5.0,26.0,4.0,5.0,76.7,4.0,5.0,55.2,3.0,5.0,66.4,3.0,4.0,116.9,3.0,4.0,920.6
4.0,6.0,75.3,4.0,6.0,228.0,4.0,6.0,168.3,3.0,6.0,202.7,3.0,6.0,228.8,3.0,5.0,670.8
5.0,2.0,38.5,5.0,1.0,116.3,5.0,1.0,102.7,5.0,1.0,46.2,4.0,1.0,60.0,4.0,1.0,627.4
5.0,3.0,35.9,5.0,3.0,105.8,5.0,2.0,101.8,5.0,2.0,55.8,4.0,2.0,75.0,4.0,2.0,783.3
5.0,4.0,33.8,5.0,4.0,105.8,5.0,4.0,85.5,5.0,3.0,73.0,4.0,3.0,79.3,4.0,3.0,1000.0
5.0,6.0,78.1,5.0,6.0,182.5,5.0,6.0,173.0,5.0,6.0,67.9,4.0,6.0,74.4,4.0,5.0,573.2
6.0,2.0,201.1,6.0,1.0,558.0,6.0,1.0,436.4,6.0,1.0,185.7,6.0,1.0,204.7,5.0,1.0,689.1
6.0,3.0,182.5,6.0,3.0,570.6,6.0,2.0,558.0,6.0,2.0,213.0,6.0,2.0,254.2,5.0,2.0,788.2
6.0,4.0,169.0,6.0,4.0,434.9,6.0,4.0,397.8,6.0,3.0,294.6,6.0,3.0,291.9,5.0,3.0,704.5
6.0,5.0,132.9,6.0,5.0,384.5,6.0,5.0,320.1,6.0,5.0,154.1,6.0,4.0,203.7,5.0,4.0,627.4
