1,山根 大樹,山根 大樹.1,2,郷原 章平,郷原 章平.1,3,森 照夫,森 照夫.1,4,横田 貴満,横田 貴満.1,5,荻野 裕介,荻野 裕介.1,6,久田 敏之,久田 敏之.1
2.0,3.0,127.4,1.0,3.0,154.9,1.0,2.0,204.1,1.0,2.0,231.6,1.0,2.0,673.2,1.0,2.0,147.5
2.0,4.0,108.9,1.0,4.0,112.6,1.0,4.0,191.9,1.0,3.0,265.1,1.0,3.0,1164.0,1.0,3.0,155.2
2.0,5.0,297.1,1.0,5.0,199.0,1.0,5.0,357.5,1.0,5.0,341.9,1.0,4.0,678.5,1.0,4.0,169.9
2.0,6.0,125.2,1.0,6.0,109.0,1.0,6.0,149.3,1.0,6.0,197.6,1.0,6.0,673.2,1.0,5.0,323.9
3.0,2.0,191.4,3.0,1.0,149.3,2.0,1.0,180.6,2.0,1.0,144.3,2.0,1.0,673.2,2.0,1.0,103.6
3.0,4.0,195.3,3.0,4.0,47.2,2.0,4.0,50.8,2.0,3.0,63.1,2.0,3.0,484.0,2.0,3.0,37.3
3.0,5.0,408.3,3.0,5.0,89.2,2.0,5.0,101.3,2.0,5.0,84.2,2.0,4.0,404.5,2.0,4.0,26.2
3.0,6.0,161.9,3.0,6.0,39.2,2.0,6.0,36.9,2.0,6.0,28.8,2.0,6.0,328.8,2.0,5.0,62.1
4.0,2.0,207.1,4.0,1.0,106.6,4.0,1.0,121.1,3.0,1.0,187.3,3.0,1.0,1119.0,3.0,1.0,121.1
4.0,3.0,244.1,4.0,3.0,43.1,4.0,2.0,35.6,3.0,2.0,54.5,3.0,2.0,531.9,3.0,2.0,43.0
4.0,5.0,398.9,4.0,5.0,62.5,4.0,5.0,60.6,3.0,5.0,94.6,3.0,4.0,633.6,3.0,4.0,34.0
4.0,6.0,200.8,4.0,6.0,22.6,4.0,6.0,16.8,3.0,6.0,34.8,3.0,6.0,730.2,3.0,5.0,84.9
5.0,2.0,395.2,5.0,1.0,270.9,5.0,1.0,473.4,5.0,1.0,291.1,4.0,1.0,706.3,4.0,1.0,149.0
5.0,3.0,652.8,5.0,3.0,142.9,5.0,2.0,219.2,5.0,2.0,136.3,4.0,2.0,437.4,4.0,2.0,30.1
5.0,4.0,615.4,5.0,4.0,124.8,5.0,4.0,161.3,5.0,3.0,184.5,4.0,3.0,570.6,4.0,3.0,39.8
5.0,6.0,647.8,5.0,6.0,101.8,5.0,6.0,111.7,5.0,6.0,102.8,4.0,6.0,397.0,4.0,5.0,69.6
6.0,2.0,147.5,6.0,1.0,100.3,6.0,1.0,89.1,6.0,1.0,138.3,6.0,1.0,820.6,5.0,1.0,406.4
6.0,3.0,200.8,6.0,3.0,39.0,6.0,2.0,22.5,6.0,2.0,27.1,6.0,2.0,346.0,5.0,2.0,133.3
6.0,4.0,227.3,6.0,4.0,24.4,6.0,4.0,17.4,6.0,3.0,39.0,6.0,3.0,694.9,5.0,3.0,185.3
6.0,5.0,528.6,6.0,5.0,59.9,6.0,5.0,41.7,6.0,5.0,61.2,6.0,4.0,458.3,5.0,4.0,140.5
