1,村上 彰一,村上 彰一.1,2,上野 秀和,上野 秀和.1,3,西舘 健,西舘 健.1,4,羽田 妃希,羽田 妃希.1,5,田山 和広,田山 和広.1,6,中北 涼,中北 涼.1
2.0,3.0,8.4,1.0,3.0,19.0,1.0,2.0,19.4,1.0,2.0,348.3,1.0,2.0,257.9,1.0,2.0,115.3
2.0,4.0,69.7,1.0,4.0,143.5,1.0,4.0,80.6,1.0,3.0,345.1,1.0,3.0,226.1,1.0,3.0,99.5
2.0,5.0,28.9,1.0,5.0,57.6,1.0,5.0,36.9,1.0,5.0,630.3,1.0,4.0,708.2,1.0,4.0,312.4
2.0,6.0,18.6,1.0,6.0,38.8,1.0,6.0,25.2,1.0,6.0,381.7,1.0,6.0,352.4,1.0,5.0,233.3
3.0,2.0,8.6,3.0,1.0,30.7,2.0,1.0,32.7,2.0,1.0,420.7,2.0,1.0,346.7,2.0,1.0,161.8
3.0,4.0,47.7,3.0,4.0,185.0,2.0,4.0,146.8,2.0,3.0,444.6,2.0,3.0,333.5,2.0,3.0,160.8
3.0,5.0,22.2,3.0,5.0,73.4,2.0,5.0,73.6,2.0,5.0,759.5,2.0,4.0,1021.0,2.0,4.0,451.7
3.0,6.0,13.0,3.0,6.0,48.8,2.0,6.0,45.2,2.0,6.0,384.5,2.0,6.0,499.1,2.0,5.0,289.7
4.0,2.0,177.8,4.0,1.0,417.8,4.0,1.0,197.1,3.0,1.0,438.2,3.0,1.0,267.3,3.0,1.0,115.5
4.0,3.0,145.8,4.0,3.0,456.2,4.0,2.0,276.8,3.0,2.0,485.8,3.0,2.0,284.3,3.0,2.0,145.1
4.0,5.0,283.2,4.0,5.0,797.5,4.0,5.0,328.4,3.0,5.0,787.2,3.0,4.0,839.4,3.0,4.0,307.2
4.0,6.0,182.2,4.0,6.0,416.4,4.0,6.0,212.4,3.0,6.0,414.5,3.0,6.0,385.3,3.0,5.0,241.3
5.0,2.0,84.6,5.0,1.0,160.6,5.0,1.0,78.6,5.0,1.0,1002.0,4.0,1.0,1160.0,4.0,1.0,510.9
5.0,3.0,68.7,5.0,3.0,151.6,5.0,2.0,102.3,5.0,2.0,917.1,4.0,2.0,1191.0,4.0,2.0,508.8
5.0,4.0,247.2,5.0,4.0,621.7,5.0,4.0,237.1,5.0,3.0,924.0,4.0,3.0,1128.0,4.0,3.0,457.9
5.0,6.0,116.0,5.0,6.0,236.6,5.0,6.0,102.5,5.0,6.0,841.4,4.0,6.0,1194.0,4.0,5.0,767.4
6.0,2.0,38.1,6.0,1.0,91.4,6.0,1.0,42.4,6.0,1.0,497.0,6.0,1.0,460.8,5.0,1.0,328.1
6.0,3.0,31.8,6.0,3.0,91.7,6.0,2.0,53.9,6.0,2.0,382.5,6.0,2.0,485.2,5.0,2.0,313.5
6.0,4.0,117.8,6.0,4.0,329.0,6.0,4.0,121.1,6.0,3.0,440.3,6.0,3.0,477.0,5.0,3.0,333.5
6.0,5.0,95.2,6.0,5.0,197.2,6.0,5.0,83.1,6.0,5.0,748.6,6.0,4.0,957.8,5.0,4.0,647.0
