1,大瀧　明日香,大瀧　明日香.1,2,小池 礼乃,小池 礼乃.1,3,松瀬 弘美,松瀬 弘美.1,4,岸 恵子,岸 恵子.1,5,松本 怜,松本 怜.1,6,松本 晶恵,松本 晶恵.1
2.0,3.0,14.7,1.0,3.0,56.0,1.0,2.0,104.7,1.0,2.0,76.9,1.0,2.0,313.2,1.0,2.0,135.8
2.0,4.0,11.4,1.0,4.0,57.4,1.0,4.0,86.1,1.0,3.0,73.4,1.0,3.0,283.9,1.0,3.0,149.5
2.0,5.0,62.1,1.0,5.0,202.4,1.0,5.0,200.7,1.0,5.0,145.3,1.0,4.0,284.9,1.0,4.0,94.8
2.0,6.0,17.9,1.0,6.0,58.4,1.0,6.0,85.6,1.0,6.0,37.3,1.0,6.0,195.1,1.0,5.0,226.7
3.0,2.0,17.7,3.0,1.0,132.5,2.0,1.0,184.7,2.0,1.0,134.8,2.0,1.0,581.4,2.0,1.0,240.6
3.0,4.0,12.1,3.0,4.0,216.4,2.0,4.0,276.1,2.0,3.0,245.9,2.0,3.0,881.3,2.0,3.0,438.0
3.0,5.0,54.9,3.0,5.0,505.9,2.0,5.0,607.4,2.0,5.0,413.4,2.0,4.0,797.4,2.0,4.0,301.7
3.0,6.0,17.7,3.0,6.0,177.3,2.0,6.0,236.5,2.0,6.0,126.1,2.0,6.0,519.5,2.0,5.0,570.8
4.0,2.0,14.4,4.0,1.0,123.8,4.0,1.0,120.6,3.0,1.0,122.7,3.0,1.0,578.1,3.0,1.0,301.1
4.0,3.0,14.5,4.0,3.0,213.3,4.0,2.0,251.0,3.0,2.0,261.5,3.0,2.0,1006.0,3.0,2.0,572.8
4.0,5.0,56.4,4.0,5.0,434.9,4.0,5.0,350.8,3.0,5.0,366.1,3.0,4.0,946.1,3.0,4.0,349.8
4.0,6.0,12.1,4.0,6.0,147.0,4.0,6.0,141.8,3.0,6.0,117.4,3.0,6.0,724.9,3.0,5.0,816.8
5.0,2.0,119.7,5.0,1.0,529.9,5.0,1.0,402.2,5.0,1.0,172.5,4.0,1.0,421.8,4.0,1.0,117.2
5.0,3.0,115.3,5.0,3.0,737.7,5.0,2.0,787.4,5.0,2.0,371.8,4.0,2.0,729.1,4.0,2.0,248.5
5.0,4.0,109.9,5.0,4.0,781.3,5.0,4.0,671.6,5.0,3.0,427.5,4.0,3.0,812.9,4.0,3.0,244.8
5.0,6.0,86.6,5.0,6.0,554.5,5.0,6.0,499.8,5.0,6.0,142.6,4.0,6.0,369.9,4.0,5.0,308.9
6.0,2.0,37.3,6.0,1.0,176.5,6.0,1.0,195.3,6.0,1.0,52.0,6.0,1.0,210.1,5.0,1.0,297.4
6.0,3.0,36.8,6.0,3.0,261.7,6.0,2.0,344.1,6.0,2.0,106.3,6.0,2.0,331.6,5.0,2.0,478.4
6.0,4.0,26.3,6.0,4.0,242.4,6.0,4.0,255.7,6.0,3.0,100.9,6.0,3.0,436.0,5.0,3.0,582.8
6.0,5.0,83.1,6.0,5.0,516.3,6.0,5.0,455.8,6.0,5.0,122.7,6.0,4.0,321.2,5.0,4.0,398.7
