1,富永 修一,富永 修一.1,2,今井 貴士,今井 貴士.1,3,小川 広大,小川 広大.1,4,野田部　宏子,野田部　宏子.1,5,桑原 啓,桑原 啓.1,6,水摩 敦,水摩 敦.1
2.0,3.0,7.1,1.0,3.0,12.3,1.0,2.0,161.6,1.0,2.0,91.9,1.0,2.0,125.4,1.0,2.0,150.0
2.0,4.0,10.5,1.0,4.0,16.0,1.0,4.0,390.0,1.0,3.0,376.8,1.0,3.0,361.5,1.0,3.0,520.2
2.0,5.0,10.5,1.0,5.0,15.4,1.0,5.0,365.0,1.0,5.0,169.2,1.0,4.0,419.3,1.0,4.0,532.6
2.0,6.0,9.7,1.0,6.0,14.3,1.0,6.0,493.4,1.0,6.0,114.6,1.0,6.0,209.6,1.0,5.0,410.9
3.0,2.0,27.8,3.0,1.0,42.9,2.0,1.0,167.3,2.0,1.0,100.9,2.0,1.0,138.4,2.0,1.0,166.9
3.0,4.0,70.3,3.0,4.0,92.6,2.0,4.0,353.0,2.0,3.0,405.9,2.0,3.0,361.5,2.0,3.0,523.3
3.0,5.0,68.2,3.0,5.0,82.4,2.0,5.0,314.4,2.0,5.0,157.5,2.0,4.0,390.5,2.0,4.0,475.9
3.0,6.0,78.6,3.0,6.0,91.8,2.0,6.0,383.8,2.0,6.0,130.8,2.0,6.0,212.9,2.0,5.0,412.2
4.0,2.0,38.1,4.0,1.0,57.0,4.0,1.0,869.9,3.0,1.0,1084.0,3.0,1.0,765.5,3.0,1.0,1480.0
4.0,3.0,108.2,4.0,3.0,164.4,4.0,2.0,712.5,3.0,2.0,896.0,3.0,2.0,661.5,3.0,2.0,1234.0
4.0,5.0,97.7,4.0,5.0,132.3,4.0,5.0,1149.0,3.0,5.0,1145.0,3.0,4.0,1513.0,3.0,4.0,2178.0
4.0,6.0,92.8,4.0,6.0,92.7,4.0,6.0,1417.0,3.0,6.0,1170.0,3.0,6.0,1252.0,3.0,5.0,1913.0
5.0,2.0,40.3,5.0,1.0,65.4,5.0,1.0,637.9,5.0,1.0,172.1,4.0,1.0,535.8,4.0,1.0,718.3
5.0,3.0,103.9,5.0,3.0,152.8,5.0,2.0,565.2,5.0,2.0,163.9,4.0,2.0,458.0,4.0,2.0,599.4
5.0,4.0,128.8,5.0,4.0,167.5,5.0,4.0,1229.0,5.0,3.0,783.4,4.0,3.0,1212.0,4.0,3.0,1835.0
5.0,6.0,90.0,5.0,6.0,107.6,5.0,6.0,1180.0,5.0,6.0,275.0,4.0,6.0,595.4,4.0,5.0,1116.0
6.0,2.0,45.0,6.0,1.0,60.9,6.0,1.0,1240.0,6.0,1.0,305.8,6.0,1.0,256.3,5.0,1.0,453.3
6.0,3.0,136.6,6.0,3.0,193.0,6.0,2.0,967.2,6.0,2.0,273.6,6.0,2.0,244.9,5.0,2.0,420.6
6.0,4.0,153.0,6.0,4.0,144.3,6.0,4.0,1810.0,6.0,3.0,845.2,6.0,3.0,647.1,5.0,3.0,1288.0
6.0,5.0,136.7,6.0,5.0,174.0,6.0,5.0,1643.0,6.0,5.0,421.9,6.0,4.0,658.3,5.0,4.0,1076.0
