1,三苫 晃幸,三苫 晃幸.1,2,大塚 康雅,大塚 康雅.1,3,松浦 勝,松浦 勝.1,4,大賀 広幸,大賀 広幸.1,5,黒柳 浩孝,黒柳 浩孝.1,6,川村 正輝,川村 正輝.1
2.0,3.0,12.6,1.0,3.0,88.1,1.0,2.0,133.1,1.0,2.0,85.9,1.0,2.0,61.0,1.0,2.0,1110.0
2.0,4.0,9.6,1.0,4.0,63.4,1.0,4.0,103.1,1.0,3.0,125.3,1.0,3.0,75.6,1.0,3.0,1467.0
2.0,5.0,11.0,1.0,5.0,77.8,1.0,5.0,93.6,1.0,5.0,61.8,1.0,4.0,59.9,1.0,4.0,1255.0
2.0,6.0,60.9,1.0,6.0,233.5,1.0,6.0,243.7,1.0,6.0,171.2,1.0,6.0,82.0,1.0,5.0,729.4
3.0,2.0,15.1,3.0,1.0,225.7,2.0,1.0,280.1,2.0,1.0,200.5,2.0,1.0,139.4,2.0,1.0,1533.0
3.0,4.0,12.9,3.0,4.0,544.9,2.0,4.0,498.0,2.0,3.0,691.0,2.0,3.0,305.2,2.0,3.0,2798.0
3.0,5.0,12.2,3.0,5.0,502.1,2.0,5.0,539.6,2.0,5.0,343.8,2.0,4.0,319.6,2.0,4.0,2456.0
3.0,6.0,47.1,3.0,6.0,957.7,2.0,6.0,832.8,2.0,6.0,806.8,2.0,6.0,271.2,2.0,5.0,2788.0
4.0,2.0,14.6,4.0,1.0,211.9,4.0,1.0,217.9,3.0,1.0,311.6,3.0,1.0,172.4,3.0,1.0,2399.0
4.0,3.0,21.1,4.0,3.0,614.5,4.0,2.0,566.8,3.0,2.0,652.3,3.0,2.0,320.2,3.0,2.0,2996.0
4.0,5.0,13.5,4.0,5.0,419.8,4.0,5.0,345.3,3.0,5.0,435.7,3.0,4.0,367.8,3.0,4.0,2560.0
4.0,6.0,49.7,4.0,6.0,974.5,4.0,6.0,607.8,3.0,6.0,775.6,3.0,6.0,389.6,3.0,5.0,3282.0
5.0,2.0,16.5,5.0,1.0,209.1,5.0,1.0,190.5,5.0,1.0,85.3,4.0,1.0,111.2,4.0,1.0,1476.0
5.0,3.0,19.2,5.0,3.0,508.8,5.0,2.0,449.0,5.0,2.0,203.4,4.0,2.0,313.5,4.0,2.0,2777.0
5.0,4.0,18.5,5.0,4.0,466.1,5.0,4.0,358.7,5.0,3.0,318.8,4.0,3.0,375.3,4.0,3.0,3390.0
5.0,6.0,36.3,5.0,6.0,895.9,5.0,6.0,551.6,5.0,6.0,241.1,4.0,6.0,284.1,4.0,5.0,1837.0
6.0,2.0,150.6,6.0,1.0,969.2,6.0,1.0,745.9,6.0,1.0,418.1,6.0,1.0,196.2,5.0,1.0,866.8
6.0,3.0,152.7,6.0,3.0,1597.0,6.0,2.0,1337.0,6.0,2.0,915.2,6.0,2.0,350.5,5.0,2.0,1727.0
6.0,4.0,159.3,6.0,4.0,1782.0,6.0,4.0,1280.0,6.0,3.0,1162.0,6.0,3.0,415.2,5.0,3.0,2235.0
6.0,5.0,113.8,6.0,5.0,1910.0,6.0,5.0,1230.0,6.0,5.0,529.4,6.0,4.0,378.6,5.0,4.0,1507.0
