1,川上 剛,川上 剛.1,2,松田　大志郎,松田　大志郎.1,3,坂井 康嗣,坂井 康嗣.1,4,山本　景士郎,山本　景士郎.1,5,上田 洋平,上田 洋平.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,5.7,1.0,3.0,17.0,1.0,2.0,283.0,1.0,2.0,42.3,1.0,2.0,321.7,1.0,2.0,1945.0
2.0,4.0,3.6,1.0,4.0,9.6,1.0,4.0,375.4,1.0,3.0,153.2,1.0,3.0,779.2,1.0,3.0,2973.0
2.0,5.0,9.2,1.0,5.0,23.8,1.0,5.0,661.6,1.0,5.0,72.8,1.0,4.0,456.2,1.0,4.0,3749.0
2.0,6.0,107.3,1.0,6.0,173.0,1.0,6.0,1558.0,1.0,6.0,321.3,1.0,6.0,1495.0,1.0,5.0,4619.0
3.0,2.0,19.0,3.0,1.0,91.0,2.0,1.0,322.5,2.0,1.0,53.3,2.0,1.0,458.6,2.0,1.0,1861.0
3.0,4.0,33.6,3.0,4.0,130.6,2.0,4.0,375.4,2.0,3.0,181.6,2.0,3.0,1047.0,2.0,3.0,3359.0
3.0,5.0,70.7,3.0,5.0,215.2,2.0,5.0,666.7,2.0,5.0,108.2,2.0,4.0,668.4,2.0,4.0,4311.0
3.0,6.0,358.8,3.0,6.0,933.9,2.0,6.0,1437.0,2.0,6.0,404.2,2.0,6.0,2138.0,2.0,5.0,5174.0
4.0,2.0,11.0,4.0,1.0,35.7,4.0,1.0,611.5,3.0,1.0,431.8,3.0,1.0,1847.0,3.0,1.0,4703.0
4.0,3.0,28.8,4.0,3.0,82.4,4.0,2.0,577.4,3.0,2.0,453.0,3.0,2.0,2309.0,3.0,2.0,7608.0
4.0,5.0,33.5,4.0,5.0,89.5,4.0,5.0,1064.0,3.0,5.0,702.9,3.0,4.0,2536.0,3.0,4.0,3749.0
4.0,6.0,229.1,4.0,6.0,429.0,4.0,6.0,2639.0,3.0,6.0,2289.0,3.0,6.0,5174.0,3.0,5.0,6991.0
5.0,2.0,48.5,5.0,1.0,180.0,5.0,1.0,1679.0,5.0,1.0,118.0,4.0,1.0,473.8,4.0,1.0,4460.0
5.0,3.0,142.6,5.0,3.0,389.0,5.0,2.0,1724.0,5.0,2.0,140.2,4.0,2.0,526.8,4.0,2.0,5072.0
5.0,4.0,92.1,5.0,4.0,258.7,5.0,4.0,2192.0,5.0,3.0,415.2,4.0,3.0,1390.0,4.0,3.0,6159.0
5.0,6.0,553.9,5.0,6.0,1237.0,5.0,6.0,3861.0,5.0,6.0,420.6,4.0,6.0,1549.0,4.0,5.0,5879.0
6.0,2.0,635.6,6.0,1.0,1038.0,6.0,1.0,3919.0,6.0,1.0,1026.0,6.0,1.0,3593.0,5.0,1.0,5748.0
6.0,3.0,1231.0,6.0,3.0,2230.0,6.0,2.0,4311.0,6.0,2.0,1181.0,6.0,2.0,3980.0,5.0,2.0,6991.0
6.0,4.0,1051.0,6.0,4.0,1701.0,6.0,4.0,6309.0,6.0,3.0,2561.0,6.0,3.0,5279.0,5.0,3.0,7608.0
6.0,5.0,1300.0,6.0,5.0,1759.0,6.0,5.0,6016.0,6.0,5.0,972.5,6.0,4.0,4790.0,5.0,4.0,6807.0
