1,古賀 智之,古賀 智之.1,2,桑原 啓,桑原 啓.1,3,竹之内 極,竹之内 極.1,4,仲谷 颯仁,仲谷 颯仁.1,5,谷村 啓司,谷村 啓司.1,6,富永 修一,富永 修一.1
2.0,3.0,27.2,1.0,3.0,54.3,1.0,2.0,68.4,1.0,2.0,31.3,1.0,2.0,643.3,1.0,2.0,639.5
2.0,4.0,19.4,1.0,4.0,40.6,1.0,4.0,25.4,1.0,3.0,20.5,1.0,3.0,757.4,1.0,3.0,531.3
2.0,5.0,103.8,1.0,5.0,158.9,1.0,5.0,141.6,1.0,5.0,79.1,1.0,4.0,547.7,1.0,4.0,259.8
2.0,6.0,71.9,1.0,6.0,95.7,1.0,6.0,70.2,1.0,6.0,26.2,1.0,6.0,962.1,1.0,5.0,1160.0
3.0,2.0,25.3,3.0,1.0,112.0,2.0,1.0,127.9,2.0,1.0,67.0,2.0,1.0,1318.0,2.0,1.0,773.9
3.0,4.0,12.1,3.0,4.0,83.1,2.0,4.0,66.5,2.0,3.0,68.4,2.0,3.0,1068.0,2.0,3.0,768.3
3.0,5.0,80.0,3.0,5.0,425.5,2.0,5.0,303.4,2.0,5.0,191.4,2.0,4.0,1483.0,2.0,4.0,422.1
3.0,6.0,45.9,3.0,6.0,229.6,2.0,6.0,182.2,2.0,6.0,75.2,2.0,6.0,2321.0,2.0,5.0,2094.0
4.0,2.0,12.7,4.0,1.0,58.7,4.0,1.0,25.8,3.0,1.0,31.2,3.0,1.0,861.3,3.0,1.0,659.2
4.0,3.0,9.9,4.0,3.0,71.5,4.0,2.0,48.1,3.0,2.0,57.2,3.0,2.0,2136.0,3.0,2.0,897.4
4.0,5.0,64.4,4.0,5.0,234.7,4.0,5.0,85.1,3.0,5.0,97.8,3.0,4.0,936.8,3.0,4.0,336.9
4.0,6.0,18.8,4.0,6.0,100.7,4.0,6.0,36.8,3.0,6.0,35.2,3.0,6.0,1977.0,3.0,5.0,1977.0
5.0,2.0,256.1,5.0,1.0,593.3,5.0,1.0,385.5,5.0,1.0,137.4,4.0,1.0,534.0,4.0,1.0,290.2
5.0,3.0,295.0,5.0,3.0,988.9,5.0,2.0,663.3,5.0,2.0,245.5,4.0,2.0,1186.0,4.0,2.0,404.5
5.0,4.0,183.1,5.0,4.0,671.7,5.0,4.0,312.2,5.0,3.0,214.8,4.0,3.0,945.1,4.0,3.0,290.2
5.0,6.0,448.7,5.0,6.0,1089.0,5.0,6.0,707.2,5.0,6.0,119.0,4.0,6.0,476.7,4.0,5.0,752.1
6.0,2.0,221.1,6.0,1.0,359.6,6.0,1.0,183.1,6.0,1.0,52.1,6.0,1.0,1504.0,5.0,1.0,1907.0
6.0,3.0,175.9,6.0,3.0,716.7,6.0,2.0,278.8,6.0,2.0,86.2,6.0,2.0,2483.0,5.0,2.0,3141.0
6.0,4.0,92.4,6.0,4.0,314.1,6.0,4.0,122.7,6.0,3.0,60.3,6.0,3.0,2483.0,5.0,3.0,2670.0
6.0,5.0,462.3,6.0,5.0,1443.0,6.0,5.0,418.8,6.0,5.0,109.9,6.0,4.0,1136.0,5.0,4.0,936.8
