1,田中 豪,田中 豪.1,2,江藤 敦宏,江藤 敦宏.1,3,松尾 祭,松尾 祭.1,4,泉 具巳,泉 具巳.1,5,山田 和佐,山田 和佐.1,6,松本 博昭,松本 博昭.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,56.4,1,2,80.5,1,2,166.4
2,4,27.8,1,4,122.3,1,4,欠場,1,3,欠場,1,3,欠場,1,3,欠場
2,5,45.3,1,5,198.7,1,5,欠場,1,5,28.0,1,4,36.9,1,4,45.9
2,6,38.8,1,6,181.1,1,6,欠場,1,6,16.7,1,6,42.3,1,5,92.0
3,2,欠場,3,1,欠場,2,1,欠場,2,1,111.4,2,1,142.7,2,1,306.6
3,4,欠場,3,4,欠場,2,4,欠場,2,3,欠場,2,3,欠場,2,3,欠場
3,5,欠場,3,5,欠場,2,5,欠場,2,5,144.6,2,4,116.2,2,4,198.4
3,6,欠場,3,6,欠場,2,6,欠場,2,6,82.2,2,6,131.5,2,5,361.4
4,2,25.5,4,1,140.6,4,1,欠場,3,1,欠場,3,1,欠場,3,1,欠場
4,3,欠場,4,3,欠場,4,2,欠場,3,2,欠場,3,2,欠場,3,2,欠場
4,5,11.6,4,5,191.1,4,5,欠場,3,5,欠場,3,4,欠場,3,4,欠場
4,6,7.8,4,6,110.2,4,6,欠場,3,6,欠場,3,6,欠場,3,5,欠場
5,2,33.8,5,1,263.7,5,1,欠場,5,1,46.3,4,1,47.3,4,1,43.9
5,3,欠場,5,3,欠場,5,2,欠場,5,2,98.7,4,2,85.0,4,2,107.3
5,4,13.4,5,4,203.3,5,4,欠場,5,3,欠場,4,3,欠場,4,3,欠場
5,6,16.7,5,6,238.7,5,6,欠場,5,6,29.7,4,6,31.8,4,5,53.6
6,2,48.2,6,1,247.4,6,1,欠場,6,1,18.5,6,1,69.2,5,1,134.4
6,3,欠場,6,3,欠場,6,2,欠場,6,2,48.7,6,2,133.8,5,2,247.2
6,4,15.0,6,4,168.3,6,4,欠場,6,3,欠場,6,3,欠場,5,3,欠場
6,5,26.4,6,5,333.3,6,5,欠場,6,5,22.2,6,4,46.9,5,4,87.8
