1,岩崎 正哉,岩崎 正哉.1,2,仲 航太,仲 航太.1,3,牧山 敦也,牧山 敦也.1,4,安東 幸治,安東 幸治.1,5,林 恵祐,林 恵祐.1,6,白水 勝也,白水 勝也.1
2.0,3.0,18.5,1.0,3.0,86.5,1.0,2.0,84.3,1.0,2.0,143.9,1.0,2.0,1099.0,1.0,2.0,204.5
2.0,4.0,21.9,1.0,4.0,112.0,1.0,4.0,37.1,1.0,3.0,73.4,1.0,3.0,714.5,1.0,3.0,119.9
2.0,5.0,71.1,1.0,5.0,426.5,1.0,5.0,140.3,1.0,5.0,143.0,1.0,4.0,634.1,1.0,4.0,97.3
2.0,6.0,21.1,1.0,6.0,86.1,1.0,6.0,32.2,1.0,6.0,47.8,1.0,6.0,612.7,1.0,5.0,391.1
3.0,2.0,17.5,3.0,1.0,223.4,2.0,1.0,231.4,2.0,1.0,352.8,2.0,1.0,1351.0,2.0,1.0,439.2
3.0,4.0,8.6,3.0,4.0,372.5,2.0,4.0,332.8,2.0,3.0,619.4,2.0,3.0,2439.0,2.0,3.0,943.7
3.0,5.0,41.9,3.0,5.0,1067.0,2.0,5.0,937.0,2.0,5.0,826.7,2.0,4.0,2031.0,2.0,4.0,722.2
3.0,6.0,8.8,3.0,6.0,283.3,2.0,6.0,247.9,2.0,6.0,309.7,2.0,6.0,1951.0,2.0,5.0,1754.0
4.0,2.0,19.2,4.0,1.0,353.1,4.0,1.0,78.7,3.0,1.0,128.7,3.0,1.0,1413.0,3.0,1.0,256.8
4.0,3.0,10.6,4.0,3.0,548.8,4.0,2.0,237.6,3.0,2.0,407.8,3.0,2.0,2500.0,3.0,2.0,784.5
4.0,5.0,41.8,4.0,5.0,1429.0,4.0,5.0,239.3,3.0,5.0,402.1,3.0,4.0,1905.0,3.0,4.0,297.2
4.0,6.0,9.9,4.0,6.0,435.3,4.0,6.0,71.5,3.0,6.0,120.7,3.0,6.0,1747.0,3.0,5.0,997.8
5.0,2.0,162.5,5.0,1.0,1487.0,5.0,1.0,488.5,5.0,1.0,217.2,4.0,1.0,660.2,4.0,1.0,157.2
5.0,3.0,121.4,5.0,3.0,1869.0,5.0,2.0,1117.0,5.0,2.0,521.0,4.0,2.0,1449.0,4.0,2.0,483.2
5.0,4.0,121.7,5.0,4.0,2667.0,5.0,4.0,523.7,5.0,3.0,460.9,4.0,3.0,1444.0,4.0,3.0,278.8
5.0,6.0,95.9,5.0,6.0,1905.0,5.0,6.0,436.8,5.0,6.0,166.5,4.0,6.0,605.3,4.0,5.0,495.2
6.0,2.0,39.4,6.0,1.0,349.7,6.0,1.0,104.6,6.0,1.0,72.7,6.0,1.0,978.3,5.0,1.0,932.7
6.0,3.0,19.3,6.0,3.0,579.9,6.0,2.0,322.6,6.0,2.0,209.1,6.0,2.0,2162.0,5.0,2.0,2041.0
6.0,4.0,20.1,6.0,4.0,619.4,6.0,4.0,120.9,6.0,3.0,123.1,6.0,3.0,1739.0,5.0,3.0,1403.0
6.0,5.0,73.1,6.0,5.0,1521.0,6.0,5.0,391.1,6.0,5.0,159.5,6.0,4.0,687.5,5.0,4.0,765.0
