1,桐本 康臣,桐本 康臣.1,2,宮武 英司,宮武 英司.1,3,下田 哲也,下田 哲也.1,4,宮崎 奨,宮崎 奨.1,5,新田 智彰,新田 智彰.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,6.3,1.0,3.0,50.7,1.0,2.0,127.8,1.0,2.0,49.0,1.0,2.0,140.9,1.0,2.0,1258.0
2.0,4.0,5.0,1.0,4.0,40.7,1.0,4.0,117.2,1.0,3.0,137.0,1.0,3.0,301.0,1.0,3.0,2467.0
2.0,5.0,12.1,1.0,5.0,61.9,1.0,5.0,160.5,1.0,5.0,70.1,1.0,4.0,165.7,1.0,4.0,1592.0
2.0,6.0,137.9,1.0,6.0,244.3,1.0,6.0,946.1,1.0,6.0,327.7,1.0,6.0,605.0,1.0,5.0,2621.0
3.0,2.0,11.6,3.0,1.0,167.7,2.0,1.0,218.8,2.0,1.0,110.3,2.0,1.0,278.4,2.0,1.0,2062.0
3.0,4.0,14.6,3.0,4.0,202.6,2.0,4.0,226.3,2.0,3.0,244.8,2.0,3.0,680.2,2.0,3.0,3146.0
3.0,5.0,29.7,3.0,5.0,343.8,2.0,5.0,356.4,2.0,5.0,180.2,2.0,4.0,389.5,2.0,4.0,1772.0
3.0,6.0,186.1,3.0,6.0,1446.0,2.0,6.0,1084.0,2.0,6.0,740.2,2.0,6.0,1592.0,2.0,5.0,2062.0
4.0,2.0,8.0,4.0,1.0,100.1,4.0,1.0,292.6,3.0,1.0,366.8,3.0,1.0,638.7,3.0,1.0,4494.0
4.0,3.0,16.4,4.0,3.0,210.0,4.0,2.0,312.2,3.0,2.0,430.9,3.0,2.0,925.2,3.0,2.0,2467.0
4.0,5.0,12.9,4.0,5.0,175.2,4.0,5.0,348.5,3.0,5.0,467.8,3.0,4.0,861.9,3.0,4.0,3495.0
4.0,6.0,129.4,4.0,6.0,946.1,4.0,6.0,1258.0,3.0,6.0,1446.0,3.0,6.0,1613.0,3.0,5.0,2677.0
5.0,2.0,26.8,5.0,1.0,209.3,5.0,1.0,422.2,5.0,1.0,113.0,4.0,1.0,253.1,4.0,1.0,1906.0
5.0,3.0,42.3,5.0,3.0,469.5,5.0,2.0,635.5,5.0,2.0,146.8,4.0,2.0,335.5,4.0,2.0,2097.0
5.0,4.0,30.2,5.0,4.0,279.6,5.0,4.0,695.2,5.0,3.0,249.1,4.0,3.0,735.9,4.0,3.0,4339.0
5.0,6.0,244.3,5.0,6.0,1198.0,5.0,6.0,1700.0,5.0,6.0,398.2,4.0,6.0,1023.0,4.0,5.0,3701.0
6.0,2.0,388.3,6.0,1.0,1338.0,6.0,1.0,2796.0,6.0,1.0,905.3,6.0,1.0,1772.0,5.0,1.0,3595.0
6.0,3.0,383.6,6.0,3.0,2467.0,6.0,2.0,1613.0,6.0,2.0,1382.0,6.0,2.0,2996.0,5.0,2.0,4059.0
6.0,4.0,403.3,6.0,4.0,1271.0,6.0,4.0,2097.0,6.0,3.0,1553.0,6.0,3.0,2247.0,5.0,3.0,3595.0
6.0,5.0,569.4,6.0,5.0,2568.0,6.0,5.0,2516.0,6.0,5.0,1353.0,6.0,4.0,1613.0,5.0,4.0,2796.0
