1,森定 晃史,森定 晃史.1,2,坂口 周,坂口 周.1,3,土性 雅也,土性 雅也.1,4,中 亮太,中 亮太.1,5,渡邉　真奈美,渡邉　真奈美.1,6,中尾 優香,中尾 優香.1
2.0,3.0,12.7,1.0,3.0,78.1,1.0,2.0,289.4,1.0,2.0,20.0,1.0,2.0,118.3,1.0,2.0,1779.0
2.0,4.0,5.1,1.0,4.0,35.2,1.0,4.0,270.9,1.0,3.0,47.9,1.0,3.0,257.8,1.0,3.0,3837.0
2.0,5.0,15.5,1.0,5.0,82.5,1.0,5.0,350.2,1.0,5.0,25.0,1.0,4.0,90.3,1.0,4.0,1909.0
2.0,6.0,175.4,1.0,6.0,537.8,1.0,6.0,1130.0,1.0,6.0,183.0,1.0,6.0,466.3,1.0,5.0,3878.0
3.0,2.0,25.2,3.0,1.0,371.4,2.0,1.0,517.4,2.0,1.0,41.9,2.0,1.0,253.4,2.0,1.0,2729.0
3.0,4.0,24.6,3.0,4.0,470.5,2.0,4.0,689.9,2.0,3.0,95.7,2.0,3.0,797.5,2.0,3.0,4048.0
3.0,5.0,43.1,3.0,5.0,824.2,2.0,5.0,1034.0,2.0,5.0,83.7,2.0,4.0,270.7,2.0,4.0,2689.0
3.0,6.0,282.5,3.0,6.0,1851.0,2.0,6.0,2219.0,2.0,6.0,494.5,2.0,6.0,1103.0,2.0,5.0,3798.0
4.0,2.0,5.6,4.0,1.0,56.2,4.0,1.0,391.1,3.0,1.0,101.0,3.0,1.0,847.0,3.0,1.0,5499.0
4.0,3.0,16.1,4.0,3.0,316.5,4.0,2.0,672.3,3.0,2.0,128.4,3.0,2.0,1339.0,3.0,2.0,6040.0
4.0,5.0,9.7,4.0,5.0,206.0,4.0,5.0,564.2,3.0,5.0,332.8,3.0,4.0,1224.0,3.0,4.0,4912.0
4.0,6.0,110.3,4.0,6.0,916.5,4.0,6.0,1541.0,3.0,6.0,1270.0,3.0,6.0,2631.0,3.0,5.0,5339.0
5.0,2.0,30.5,5.0,1.0,272.3,5.0,1.0,605.0,5.0,1.0,38.3,4.0,1.0,109.9,4.0,1.0,2423.0
5.0,3.0,63.5,5.0,3.0,911.9,5.0,2.0,998.4,5.0,2.0,57.5,4.0,2.0,173.3,4.0,2.0,3176.0
5.0,4.0,25.8,5.0,4.0,311.4,5.0,4.0,816.9,5.0,3.0,200.8,4.0,3.0,486.7,4.0,3.0,3542.0
5.0,6.0,250.4,5.0,6.0,1315.0,5.0,6.0,1690.0,5.0,6.0,183.6,4.0,6.0,447.6,4.0,5.0,2523.0
6.0,2.0,631.9,6.0,1.0,1737.0,6.0,1.0,3020.0,6.0,1.0,582.0,6.0,1.0,1485.0,5.0,1.0,4663.0
6.0,3.0,845.0,6.0,3.0,2856.0,6.0,2.0,3759.0,6.0,2.0,957.0,6.0,2.0,2013.0,5.0,2.0,5047.0
6.0,4.0,516.7,6.0,4.0,2093.0,6.0,4.0,3612.0,6.0,3.0,1400.0,6.0,3.0,2856.0,5.0,3.0,5047.0
6.0,5.0,751.9,6.0,5.0,2024.0,6.0,5.0,3349.0,6.0,5.0,533.9,6.0,4.0,1119.0,5.0,4.0,3203.0
