1,笠野　友紀恵,笠野　友紀恵.1,2,森田 梨湖,森田 梨湖.1,3,水口 由紀,水口 由紀.1,4,赤井 睦,赤井 睦.1,5,平高 奈菜,平高 奈菜.1,6,冨名腰　桃奈,冨名腰　桃奈.1
2.0,3.0,139.8,1.0,3.0,401.2,1.0,2.0,219.4,1.0,2.0,304.0,1.0,2.0,146.1,1.0,2.0,621.8
2.0,4.0,124.1,1.0,4.0,457.1,1.0,4.0,57.7,1.0,3.0,80.7,1.0,3.0,34.8,1.0,3.0,270.5
2.0,5.0,137.1,1.0,5.0,406.1,1.0,5.0,35.1,1.0,5.0,47.2,1.0,4.0,51.2,1.0,4.0,354.1
2.0,6.0,228.3,1.0,6.0,664.3,1.0,6.0,79.1,1.0,6.0,90.9,1.0,6.0,33.7,1.0,5.0,168.2
3.0,2.0,105.8,3.0,1.0,519.6,2.0,1.0,421.1,2.0,1.0,514.5,2.0,1.0,411.9,2.0,1.0,1097.0
3.0,4.0,34.5,3.0,4.0,713.0,2.0,4.0,472.8,2.0,3.0,493.2,2.0,3.0,419.8,2.0,3.0,1140.0
3.0,5.0,20.0,3.0,5.0,519.6,2.0,5.0,344.8,2.0,5.0,406.8,2.0,4.0,512.5,2.0,4.0,1058.0
3.0,6.0,56.9,3.0,6.0,769.5,2.0,6.0,565.5,2.0,6.0,483.2,2.0,6.0,341.6,2.0,5.0,765.0
4.0,2.0,121.8,4.0,1.0,696.0,4.0,1.0,68.4,3.0,1.0,90.7,3.0,1.0,44.3,3.0,1.0,333.4
4.0,3.0,52.4,4.0,3.0,618.8,4.0,2.0,274.1,3.0,2.0,390.4,3.0,2.0,249.6,3.0,2.0,920.7
4.0,5.0,35.6,4.0,5.0,611.6,4.0,5.0,29.6,3.0,5.0,38.3,3.0,4.0,46.2,3.0,4.0,270.7
4.0,6.0,72.0,4.0,6.0,780.9,4.0,6.0,51.3,3.0,6.0,72.7,3.0,6.0,35.0,3.0,5.0,168.3
5.0,2.0,108.6,5.0,1.0,485.0,5.0,1.0,33.2,5.0,1.0,35.7,4.0,1.0,53.9,4.0,1.0,324.7
5.0,3.0,22.2,5.0,3.0,464.4,5.0,2.0,182.3,5.0,2.0,185.5,4.0,2.0,221.8,4.0,2.0,747.5
5.0,4.0,34.3,5.0,4.0,581.8,5.0,4.0,26.0,5.0,3.0,29.9,4.0,3.0,46.5,4.0,3.0,272.7
5.0,6.0,27.4,5.0,6.0,389.9,5.0,6.0,23.8,5.0,6.0,22.8,4.0,6.0,29.9,4.0,5.0,145.2
6.0,2.0,319.2,6.0,1.0,1166.0,6.0,1.0,147.4,6.0,1.0,131.9,6.0,1.0,44.3,5.0,1.0,144.0
6.0,3.0,137.9,6.0,3.0,1121.0,6.0,2.0,504.6,6.0,2.0,466.9,6.0,2.0,190.2,5.0,2.0,436.6
6.0,4.0,157.1,6.0,4.0,1071.0,6.0,4.0,102.6,6.0,3.0,100.2,6.0,3.0,41.2,5.0,3.0,128.1
6.0,5.0,76.9,6.0,5.0,638.4,6.0,5.0,63.1,6.0,5.0,51.9,6.0,4.0,44.9,5.0,4.0,125.9
