1,小林 文彦,小林 文彦.1,2,林 恵祐,林 恵祐.1,3,上野 俊樹,上野 俊樹.1,4,江藤 敦宏,江藤 敦宏.1,5,國崎 良春,國崎 良春.1,6,西山 貴浩,西山 貴浩.1
2.0,3.0,79.8,1.0,3.0,233.0,1.0,2.0,286.1,1.0,2.0,542.6,1.0,2.0,106.4,1.0,2.0,18.5
2.0,4.0,168.8,1.0,4.0,391.3,1.0,4.0,437.1,1.0,3.0,619.9,1.0,3.0,130.1,1.0,3.0,17.3
2.0,5.0,68.8,1.0,5.0,229.5,1.0,5.0,202.0,1.0,5.0,360.0,1.0,4.0,192.7,1.0,4.0,44.3
2.0,6.0,30.5,1.0,6.0,106.9,1.0,6.0,118.4,1.0,6.0,252.6,1.0,6.0,32.7,1.0,5.0,12.1
3.0,2.0,97.5,3.0,1.0,335.4,2.0,1.0,390.1,2.0,1.0,725.0,2.0,1.0,187.9,2.0,1.0,46.9
3.0,4.0,196.2,3.0,4.0,737.3,2.0,4.0,672.6,2.0,3.0,1074.0,2.0,3.0,423.0,2.0,3.0,83.5
3.0,5.0,87.0,3.0,5.0,558.8,2.0,5.0,554.1,2.0,5.0,881.7,2.0,4.0,543.7,2.0,4.0,160.7
3.0,6.0,40.7,3.0,6.0,273.5,2.0,6.0,322.6,2.0,6.0,703.5,2.0,6.0,141.8,2.0,5.0,57.2
4.0,2.0,273.3,4.0,1.0,670.9,4.0,1.0,510.7,3.0,1.0,739.3,3.0,1.0,247.3,3.0,1.0,38.4
4.0,3.0,296.2,4.0,3.0,844.6,4.0,2.0,692.3,3.0,2.0,977.5,3.0,2.0,509.7,3.0,2.0,74.9
4.0,5.0,200.3,4.0,5.0,922.2,4.0,5.0,391.3,3.0,5.0,662.4,3.0,4.0,524.1,3.0,4.0,102.7
4.0,6.0,101.7,4.0,6.0,548.3,4.0,6.0,335.4,3.0,6.0,523.0,3.0,6.0,182.2,3.0,5.0,42.4
5.0,2.0,75.0,5.0,1.0,365.5,5.0,1.0,249.7,5.0,1.0,419.6,4.0,1.0,392.4,4.0,1.0,113.4
5.0,3.0,90.6,5.0,3.0,571.1,5.0,2.0,495.2,5.0,2.0,769.9,4.0,2.0,677.9,4.0,2.0,185.6
5.0,4.0,144.2,5.0,4.0,713.1,5.0,4.0,435.7,5.0,3.0,677.9,4.0,3.0,598.6,4.0,3.0,169.3
5.0,6.0,19.8,5.0,6.0,249.5,5.0,6.0,188.7,5.0,6.0,292.6,4.0,6.0,229.3,4.0,5.0,100.7
6.0,2.0,13.7,6.0,1.0,106.0,6.0,1.0,104.4,6.0,1.0,293.5,6.0,1.0,38.5,5.0,1.0,23.5
6.0,3.0,14.6,6.0,3.0,172.0,6.0,2.0,213.9,6.0,2.0,631.9,6.0,2.0,87.7,5.0,2.0,47.6
6.0,4.0,30.6,6.0,4.0,338.5,6.0,4.0,261.2,6.0,3.0,441.6,6.0,3.0,101.0,5.0,3.0,48.4
6.0,5.0,7.5,6.0,5.0,157.8,6.0,5.0,139.8,6.0,5.0,302.4,6.0,4.0,137.4,5.0,4.0,82.8
