1,井上 一輝,井上 一輝.1,2,鈴木 雅希,鈴木 雅希.1,3,森 悠稀,森 悠稀.1,4,宮本 夏樹,宮本 夏樹.1,5,大谷 直弘,大谷 直弘.1,6,中曽 瑠華,中曽 瑠華.1
2.0,3.0,3.8,1.0,3.0,59.4,1.0,2.0,56.7,1.0,2.0,355.7,1.0,2.0,429.7,1.0,2.0,2535.0
2.0,4.0,10.9,1.0,4.0,172.5,1.0,4.0,99.2,1.0,3.0,335.6,1.0,3.0,318.9,1.0,3.0,4656.0
2.0,5.0,10.8,1.0,5.0,170.0,1.0,5.0,69.6,1.0,5.0,325.8,1.0,4.0,643.5,1.0,4.0,4925.0
2.0,6.0,318.5,1.0,6.0,788.0,1.0,6.0,697.8,1.0,6.0,1524.0,1.0,6.0,2439.0,1.0,5.0,5691.0
3.0,2.0,4.1,3.0,1.0,130.6,2.0,1.0,132.4,2.0,1.0,735.9,2.0,1.0,839.7,2.0,1.0,4742.0
3.0,4.0,8.7,3.0,4.0,467.3,2.0,4.0,411.7,2.0,3.0,1202.0,2.0,3.0,1313.0,2.0,3.0,5449.0
3.0,5.0,7.0,3.0,5.0,463.9,2.0,5.0,382.2,2.0,5.0,886.2,2.0,4.0,2048.0,2.0,4.0,5956.0
3.0,6.0,198.5,3.0,6.0,1255.0,2.0,6.0,1202.0,2.0,6.0,2724.0,2.0,6.0,3461.0,2.0,5.0,6739.0
4.0,2.0,24.2,4.0,1.0,559.2,4.0,1.0,255.8,3.0,1.0,661.8,3.0,1.0,521.6,3.0,1.0,5449.0
4.0,3.0,23.8,4.0,3.0,719.4,4.0,2.0,500.2,3.0,2.0,1300.0,3.0,2.0,1274.0,3.0,2.0,5956.0
4.0,5.0,33.5,4.0,5.0,1447.0,4.0,5.0,440.8,3.0,5.0,1041.0,3.0,4.0,1911.0,3.0,4.0,6246.0
4.0,6.0,458.1,4.0,6.0,1580.0,4.0,6.0,1447.0,3.0,6.0,2753.0,3.0,6.0,4065.0,3.0,5.0,6246.0
5.0,2.0,25.4,5.0,1.0,602.6,5.0,1.0,242.7,5.0,1.0,546.0,4.0,1.0,1012.0,4.0,1.0,5567.0
5.0,3.0,24.2,5.0,3.0,831.5,5.0,2.0,524.8,5.0,2.0,977.5,4.0,2.0,1970.0,4.0,2.0,5820.0
5.0,4.0,53.4,5.0,4.0,1610.0,5.0,4.0,692.2,5.0,3.0,1020.0,4.0,3.0,1925.0,4.0,3.0,6739.0
5.0,6.0,408.4,5.0,6.0,1911.0,5.0,6.0,1778.0,5.0,6.0,2016.0,4.0,6.0,3880.0,4.0,5.0,6567.0
6.0,2.0,938.1,6.0,1.0,2266.0,6.0,1.0,2753.0,6.0,1.0,3242.0,6.0,1.0,3880.0,5.0,1.0,6402.0
6.0,3.0,778.4,6.0,3.0,3414.0,6.0,2.0,3049.0,6.0,2.0,4065.0,6.0,2.0,4832.0,5.0,2.0,6922.0
6.0,4.0,1174.0,6.0,4.0,3880.0,6.0,4.0,3161.0,6.0,3.0,4656.0,6.0,3.0,5820.0,5.0,3.0,6922.0
6.0,5.0,1225.0,6.0,5.0,4341.0,6.0,5.0,4742.0,6.0,5.0,3049.0,6.0,4.0,4415.0,5.0,4.0,6098.0
