1,清水 敦揮,清水 敦揮.1,2,永田 秀二,永田 秀二.1,3,中嶋 達也,中嶋 達也.1,4,松尾 祭,松尾 祭.1,5,岩田 凌,岩田 凌.1,6,山本 幸也,山本 幸也.1
2.0,3.0,8.8,1.0,3.0,46.2,1.0,2.0,285.0,1.0,2.0,14.4,1.0,2.0,683.5,1.0,2.0,287.3
2.0,4.0,3.8,1.0,4.0,17.5,1.0,4.0,248.4,1.0,3.0,68.4,1.0,3.0,1087.0,1.0,3.0,611.0
2.0,5.0,45.8,1.0,5.0,123.3,1.0,5.0,646.4,1.0,5.0,76.5,1.0,4.0,796.5,1.0,4.0,420.7
2.0,6.0,24.4,1.0,6.0,75.6,1.0,6.0,584.9,1.0,6.0,53.1,1.0,6.0,954.0,1.0,5.0,1239.0
3.0,2.0,25.9,3.0,1.0,177.3,2.0,1.0,359.7,2.0,1.0,23.0,2.0,1.0,803.6,2.0,1.0,438.3
3.0,4.0,34.0,3.0,4.0,223.5,2.0,4.0,506.8,2.0,3.0,126.2,2.0,3.0,2050.0,2.0,3.0,1858.0
3.0,5.0,142.0,3.0,5.0,749.6,2.0,5.0,1008.0,2.0,5.0,125.5,2.0,4.0,1438.0,2.0,4.0,722.3
3.0,6.0,111.2,3.0,6.0,807.3,2.0,6.0,1074.0,2.0,6.0,82.4,2.0,6.0,1361.0,2.0,5.0,1960.0
4.0,2.0,5.3,4.0,1.0,43.7,4.0,1.0,320.3,3.0,1.0,241.4,3.0,1.0,1607.0,3.0,1.0,1239.0
4.0,3.0,21.6,4.0,3.0,148.3,4.0,2.0,613.1,3.0,2.0,373.2,3.0,2.0,3366.0,3.0,2.0,1081.0
4.0,5.0,57.3,4.0,5.0,268.6,4.0,5.0,1416.0,3.0,5.0,663.2,3.0,4.0,2832.0,3.0,4.0,2662.0
4.0,6.0,28.8,4.0,6.0,188.8,4.0,6.0,1361.0,3.0,6.0,554.0,3.0,6.0,2202.0,3.0,5.0,3366.0
5.0,2.0,150.8,5.0,1.0,396.4,5.0,1.0,985.7,5.0,1.0,119.1,4.0,1.0,542.2,4.0,1.0,456.3
5.0,3.0,316.3,5.0,3.0,1081.0,5.0,2.0,1749.0,5.0,2.0,152.2,4.0,2.0,1274.0,4.0,2.0,734.2
5.0,4.0,240.1,5.0,4.0,694.2,5.0,4.0,2149.0,5.0,3.0,478.3,4.0,3.0,2149.0,4.0,3.0,1858.0
5.0,6.0,301.3,5.0,6.0,944.0,5.0,6.0,1960.0,5.0,6.0,168.1,4.0,6.0,1383.0,4.0,5.0,2230.0
6.0,2.0,76.8,6.0,1.0,325.5,6.0,1.0,1002.0,6.0,1.0,82.2,6.0,1.0,1331.0,5.0,1.0,1416.0
6.0,3.0,196.7,6.0,3.0,1108.0,6.0,2.0,2027.0,6.0,2.0,103.3,6.0,2.0,2258.0,5.0,2.0,2744.0
6.0,4.0,83.6,6.0,4.0,449.4,6.0,4.0,2317.0,6.0,3.0,415.8,6.0,3.0,2787.0,5.0,3.0,2832.0
6.0,5.0,329.1,6.0,5.0,1166.0,6.0,5.0,2478.0,6.0,5.0,184.5,6.0,4.0,2623.0,5.0,4.0,2832.0
