1,松本 博昭,松本 博昭.1,2,岡部 大輔,岡部 大輔.1,3,谷口 健一,谷口 健一.1,4,金子 賢志,金子 賢志.1,5,佐藤　謙史朗,佐藤　謙史朗.1,6,山田 和佐,山田 和佐.1
2.0,3.0,19.1,1.0,3.0,86.8,1.0,2.0,213.5,1.0,2.0,36.0,1.0,2.0,75.2,1.0,2.0,943.7
2.0,4.0,6.8,1.0,4.0,33.1,1.0,4.0,227.9,1.0,3.0,145.8,1.0,3.0,242.1,1.0,3.0,1918.0
2.0,5.0,11.3,1.0,5.0,41.5,1.0,5.0,277.3,1.0,5.0,27.1,1.0,4.0,64.5,1.0,4.0,1144.0
2.0,6.0,37.2,1.0,6.0,119.3,1.0,6.0,554.2,1.0,6.0,65.7,1.0,6.0,113.6,1.0,5.0,991.2
3.0,2.0,42.9,3.0,1.0,256.1,2.0,1.0,271.2,2.0,1.0,57.8,2.0,1.0,135.2,2.0,1.0,1205.0
3.0,4.0,40.7,3.0,4.0,373.9,2.0,4.0,434.3,2.0,3.0,277.3,2.0,3.0,485.0,2.0,3.0,2614.0
3.0,5.0,53.1,3.0,5.0,552.1,2.0,5.0,586.0,2.0,5.0,60.5,2.0,4.0,166.5,2.0,4.0,1427.0
3.0,6.0,140.3,3.0,6.0,863.7,2.0,6.0,1051.0,2.0,6.0,129.3,2.0,6.0,258.6,2.0,5.0,1631.0
4.0,2.0,9.0,4.0,1.0,69.7,4.0,1.0,395.4,3.0,1.0,391.7,3.0,1.0,596.7,3.0,1.0,2760.0
4.0,3.0,33.8,4.0,3.0,321.0,4.0,2.0,511.9,3.0,2.0,474.9,3.0,2.0,917.3,3.0,2.0,3395.0
4.0,5.0,11.9,4.0,5.0,126.1,4.0,5.0,558.3,3.0,5.0,442.1,3.0,4.0,848.8,3.0,4.0,3318.0
4.0,6.0,46.6,4.0,6.0,297.7,4.0,6.0,911.6,3.0,6.0,672.8,3.0,6.0,1102.0,3.0,5.0,3282.0
5.0,2.0,24.0,5.0,1.0,151.0,5.0,1.0,548.0,5.0,1.0,28.5,4.0,1.0,59.5,4.0,1.0,1127.0
5.0,3.0,67.2,5.0,3.0,588.4,5.0,2.0,851.2,5.0,2.0,41.5,4.0,2.0,88.0,4.0,2.0,1342.0
5.0,4.0,22.5,5.0,4.0,203.9,5.0,4.0,876.5,5.0,3.0,190.8,4.0,3.0,388.1,4.0,3.0,2709.0
5.0,6.0,56.7,5.0,6.0,460.1,5.0,6.0,1144.0,5.0,6.0,38.9,4.0,6.0,82.7,4.0,5.0,836.7
6.0,2.0,187.4,6.0,1.0,498.1,6.0,1.0,1476.0,6.0,1.0,137.5,6.0,1.0,250.3,5.0,1.0,971.6
6.0,3.0,276.8,6.0,3.0,1393.0,6.0,2.0,2156.0,6.0,2.0,153.6,6.0,2.0,379.1,5.0,2.0,1427.0
6.0,4.0,170.5,6.0,4.0,949.8,6.0,4.0,1857.0,6.0,3.0,516.4,6.0,3.0,807.0,5.0,3.0,2171.0
6.0,5.0,161.5,6.0,5.0,962.1,6.0,5.0,1982.0,6.0,5.0,95.1,6.0,4.0,236.6,5.0,4.0,794.0
