1,下條　雄太郎,下條　雄太郎.1,2,石丸 海渡,石丸 海渡.1,3,前田 将太,前田 将太.1,4,馬場 貴也,馬場 貴也.1,5,柳沢 一,柳沢 一.1,6,大上 卓人,大上 卓人.1
2.0,3.0,10.8,1.0,3.0,64.6,1.0,2.0,70.6,1.0,2.0,92.7,1.0,2.0,392.2,1.0,2.0,1582.0
2.0,4.0,10.5,1.0,4.0,64.6,1.0,4.0,32.3,1.0,3.0,60.3,1.0,3.0,325.8,1.0,3.0,1308.0
2.0,5.0,24.6,1.0,5.0,118.7,1.0,5.0,64.4,1.0,5.0,100.4,1.0,4.0,316.6,1.0,4.0,1449.0
2.0,6.0,44.0,1.0,6.0,178.4,1.0,6.0,98.7,1.0,6.0,116.4,1.0,6.0,525.5,1.0,5.0,2408.0
3.0,2.0,10.5,3.0,1.0,170.3,2.0,1.0,185.2,2.0,1.0,233.3,2.0,1.0,796.9,2.0,1.0,2334.0
3.0,4.0,6.1,3.0,4.0,250.7,2.0,4.0,203.0,2.0,3.0,360.0,2.0,3.0,1352.0,2.0,3.0,3379.0
3.0,5.0,14.8,3.0,5.0,454.6,2.0,5.0,324.4,2.0,5.0,491.6,2.0,4.0,1220.0,2.0,4.0,3391.0
3.0,6.0,24.9,3.0,6.0,565.2,2.0,6.0,396.5,2.0,6.0,591.0,2.0,6.0,1664.0,2.0,5.0,4451.0
4.0,2.0,13.2,4.0,1.0,180.6,4.0,1.0,61.1,3.0,1.0,103.4,3.0,1.0,577.6,3.0,1.0,1664.0
4.0,3.0,9.2,4.0,3.0,282.6,4.0,2.0,149.8,3.0,2.0,293.3,3.0,2.0,1336.0,3.0,2.0,3652.0
4.0,5.0,19.9,4.0,5.0,446.5,4.0,5.0,116.7,3.0,5.0,237.4,3.0,4.0,860.2,3.0,4.0,1550.0
4.0,6.0,29.1,4.0,6.0,543.6,4.0,6.0,139.4,3.0,6.0,270.8,3.0,6.0,1341.0,3.0,5.0,4069.0
5.0,2.0,53.1,5.0,1.0,475.4,5.0,1.0,223.2,5.0,1.0,252.0,4.0,1.0,519.8,4.0,1.0,1853.0
5.0,3.0,43.6,5.0,3.0,764.0,5.0,2.0,434.6,5.0,2.0,505.5,4.0,2.0,1068.0,4.0,2.0,3426.0
5.0,4.0,47.8,5.0,4.0,774.1,5.0,4.0,286.8,5.0,3.0,394.3,4.0,3.0,876.9,4.0,3.0,1737.0
5.0,6.0,94.1,5.0,6.0,1178.0,5.0,6.0,550.5,5.0,6.0,407.9,4.0,6.0,842.0,4.0,5.0,2898.0
6.0,2.0,176.2,6.0,1.0,873.8,6.0,1.0,499.5,6.0,1.0,490.9,6.0,1.0,1466.0,5.0,1.0,3323.0
6.0,3.0,132.7,6.0,3.0,1362.0,6.0,2.0,1083.0,6.0,2.0,922.3,6.0,2.0,2461.0,5.0,2.0,4863.0
6.0,4.0,124.5,6.0,4.0,1301.0,6.0,4.0,523.3,6.0,3.0,666.4,6.0,3.0,2281.0,5.0,3.0,4703.0
6.0,5.0,199.6,6.0,5.0,1799.0,6.0,5.0,1122.0,6.0,5.0,709.6,6.0,4.0,1565.0,5.0,4.0,3226.0
