1,原田 秀弥,原田 秀弥.1,2,渡辺 史之,渡辺 史之.1,3,山田 哲也,山田 哲也.1,4,松本 博昭,松本 博昭.1,5,東 健介,東 健介.1,6,佃 來紀,佃 來紀.1
2.0,3.0,51.9,1.0,3.0,192.1,1.0,2.0,27.5,1.0,2.0,304.0,1.0,2.0,992.4,1.0,2.0,1151.0
2.0,4.0,89.6,1.0,4.0,303.8,1.0,4.0,8.0,1.0,3.0,82.2,1.0,3.0,517.9,1.0,3.0,495.1
2.0,5.0,196.6,1.0,5.0,749.0,1.0,5.0,27.3,1.0,5.0,242.1,1.0,4.0,1031.0,1.0,4.0,881.5
2.0,6.0,200.7,1.0,6.0,541.0,1.0,6.0,16.6,1.0,6.0,199.8,1.0,6.0,1404.0,1.0,5.0,1615.0
3.0,2.0,27.7,3.0,1.0,165.9,2.0,1.0,59.4,2.0,1.0,551.1,2.0,1.0,1820.0,2.0,1.0,1886.0
3.0,4.0,10.7,3.0,4.0,145.7,2.0,4.0,41.4,2.0,3.0,259.1,2.0,3.0,1434.0,2.0,3.0,1047.0
3.0,5.0,33.0,3.0,5.0,365.8,2.0,5.0,113.8,2.0,5.0,720.5,2.0,4.0,2355.0,2.0,4.0,2058.0
3.0,6.0,31.0,3.0,6.0,250.0,2.0,6.0,63.0,2.0,6.0,411.2,2.0,6.0,2014.0,2.0,5.0,3287.0
4.0,2.0,92.7,4.0,1.0,496.2,4.0,1.0,9.4,3.0,1.0,56.1,3.0,1.0,398.1,3.0,1.0,377.5
4.0,3.0,28.8,4.0,3.0,269.8,4.0,2.0,25.3,3.0,2.0,114.2,3.0,2.0,757.4,3.0,2.0,610.8
4.0,5.0,110.2,4.0,5.0,1024.0,4.0,5.0,13.7,3.0,5.0,78.7,3.0,4.0,428.8,3.0,4.0,341.5
4.0,6.0,98.3,4.0,6.0,539.1,4.0,6.0,9.7,3.0,6.0,60.2,3.0,6.0,663.9,3.0,5.0,693.1
5.0,2.0,377.5,5.0,1.0,1517.0,5.0,1.0,63.3,5.0,1.0,409.5,4.0,1.0,1146.0,4.0,1.0,1279.0
5.0,3.0,159.4,5.0,3.0,905.1,5.0,2.0,115.0,5.0,2.0,745.5,4.0,2.0,2005.0,4.0,2.0,1759.0
5.0,4.0,276.1,5.0,4.0,1740.0,5.0,4.0,38.6,5.0,3.0,252.4,4.0,3.0,665.8,4.0,3.0,572.4
5.0,6.0,427.6,5.0,6.0,1577.0,5.0,6.0,49.9,5.0,6.0,439.1,4.0,6.0,1502.0,4.0,5.0,1753.0
6.0,2.0,490.0,6.0,1.0,1376.0,6.0,1.0,41.2,6.0,1.0,390.5,6.0,1.0,2545.0,5.0,1.0,2904.0
6.0,3.0,171.5,6.0,3.0,801.0,6.0,2.0,73.4,6.0,2.0,328.5,6.0,2.0,2478.0,5.0,2.0,4343.0
6.0,4.0,248.1,6.0,4.0,1272.0,6.0,4.0,25.7,6.0,3.0,172.4,6.0,3.0,1517.0,5.0,3.0,1360.0
6.0,5.0,562.2,6.0,5.0,1842.0,6.0,5.0,58.1,6.0,5.0,477.6,6.0,4.0,2151.0,5.0,4.0,2518.0
