1,関 裕也,関 裕也.1,2,松尾 怜実,松尾 怜実.1,3,牧山 敦也,牧山 敦也.1,4,石川 哲秀,石川 哲秀.1,5,浦田 晃嗣,浦田 晃嗣.1,6,安東 幸治,安東 幸治.1
2.0,3.0,17.6,1.0,3.0,95.0,1.0,2.0,84.1,1.0,2.0,219.1,1.0,2.0,156.5,1.0,2.0,253.7
2.0,4.0,38.9,1.0,4.0,131.8,1.0,4.0,62.9,1.0,3.0,189.5,1.0,3.0,83.2,1.0,3.0,129.2
2.0,5.0,32.4,1.0,5.0,119.8,1.0,5.0,34.7,1.0,5.0,167.8,1.0,4.0,172.9,1.0,4.0,275.7
2.0,6.0,30.3,1.0,6.0,137.5,1.0,6.0,34.3,1.0,6.0,167.6,1.0,6.0,72.0,1.0,5.0,205.3
3.0,2.0,15.1,3.0,1.0,198.5,2.0,1.0,200.3,2.0,1.0,302.5,2.0,1.0,292.4,2.0,1.0,451.2
3.0,4.0,13.3,3.0,4.0,355.3,2.0,4.0,315.0,2.0,3.0,846.8,2.0,3.0,592.8,2.0,3.0,995.5
3.0,5.0,9.2,3.0,5.0,376.9,2.0,5.0,312.7,2.0,5.0,621.0,2.0,4.0,708.7,2.0,4.0,1018.0
3.0,6.0,7.3,3.0,6.0,360.2,2.0,6.0,276.8,2.0,6.0,494.0,2.0,6.0,420.7,2.0,5.0,1124.0
4.0,2.0,49.4,4.0,1.0,282.2,4.0,1.0,138.7,3.0,1.0,274.5,3.0,1.0,155.6,3.0,1.0,200.0
4.0,3.0,29.0,4.0,3.0,564.5,4.0,2.0,339.6,3.0,2.0,728.5,3.0,2.0,494.0,3.0,2.0,893.2
4.0,5.0,40.4,4.0,5.0,569.5,4.0,5.0,162.2,3.0,5.0,410.1,3.0,4.0,356.3,3.0,4.0,645.6
4.0,6.0,37.4,4.0,6.0,532.3,4.0,6.0,167.4,3.0,6.0,309.0,3.0,6.0,173.4,3.0,5.0,375.8
5.0,2.0,43.5,5.0,1.0,305.4,5.0,1.0,91.7,5.0,1.0,226.0,4.0,1.0,258.7,4.0,1.0,519.5
5.0,3.0,18.1,5.0,3.0,557.3,5.0,2.0,274.5,5.0,2.0,454.4,4.0,2.0,559.7,4.0,2.0,1144.0
5.0,4.0,47.3,5.0,4.0,603.7,5.0,4.0,207.0,5.0,3.0,474.2,4.0,3.0,465.7,4.0,3.0,875.2
5.0,6.0,23.6,5.0,6.0,554.9,5.0,6.0,107.6,5.0,6.0,264.5,4.0,6.0,281.6,4.0,5.0,790.4
6.0,2.0,54.1,6.0,1.0,351.5,6.0,1.0,105.2,6.0,1.0,248.8,6.0,1.0,161.6,5.0,1.0,291.7
6.0,3.0,23.2,6.0,3.0,686.4,6.0,2.0,326.8,6.0,2.0,595.5,6.0,2.0,389.3,5.0,2.0,776.2
6.0,4.0,59.0,6.0,4.0,785.6,6.0,4.0,238.4,6.0,3.0,451.2,6.0,3.0,235.8,5.0,3.0,414.0
6.0,5.0,39.0,6.0,5.0,701.1,6.0,5.0,155.4,6.0,5.0,354.3,6.0,4.0,331.8,5.0,4.0,672.2
