1,榎 幸司,榎 幸司.1,2,堤 啓輔,堤 啓輔.1,3,川上 清人,川上 清人.1,4,若林 義人,若林 義人.1,5,大田 直弥,大田 直弥.1,6,表 健太,表 健太.1
2.0,3.0,11.4,1.0,3.0,125.4,1.0,2.0,201.0,1.0,2.0,28.5,1.0,2.0,237.4,1.0,2.0,1737.0
2.0,4.0,4.4,1.0,4.0,63.0,1.0,4.0,121.4,1.0,3.0,64.3,1.0,3.0,446.3,1.0,3.0,3324.0
2.0,5.0,17.2,1.0,5.0,164.2,1.0,5.0,251.7,1.0,5.0,29.4,1.0,4.0,168.8,1.0,4.0,2504.0
2.0,6.0,120.9,1.0,6.0,612.1,1.0,6.0,461.3,1.0,6.0,125.7,1.0,6.0,638.5,1.0,5.0,4192.0
3.0,2.0,21.9,3.0,1.0,465.8,2.0,1.0,389.5,2.0,1.0,68.4,2.0,1.0,401.7,2.0,1.0,2921.0
3.0,4.0,14.2,3.0,4.0,521.1,2.0,4.0,618.0,2.0,3.0,237.7,2.0,3.0,1542.0,2.0,3.0,3383.0
3.0,5.0,33.1,3.0,5.0,949.9,2.0,5.0,800.1,2.0,5.0,119.7,2.0,4.0,540.1,2.0,4.0,2504.0
3.0,6.0,190.1,3.0,6.0,1967.0,2.0,6.0,1244.0,2.0,6.0,247.8,2.0,6.0,1593.0,2.0,5.0,4484.0
4.0,2.0,5.2,4.0,1.0,120.7,4.0,1.0,230.6,3.0,1.0,196.5,3.0,1.0,1121.0,3.0,1.0,4103.0
4.0,3.0,11.1,4.0,3.0,402.5,4.0,2.0,598.8,3.0,2.0,410.3,3.0,2.0,1785.0,3.0,2.0,4103.0
4.0,5.0,10.0,4.0,5.0,307.5,4.0,5.0,618.0,3.0,5.0,432.3,3.0,4.0,1329.0,3.0,4.0,5356.0
4.0,6.0,73.1,4.0,6.0,722.2,4.0,6.0,1311.0,3.0,6.0,1071.0,3.0,6.0,1947.0,3.0,5.0,6026.0
5.0,2.0,38.9,5.0,1.0,570.5,5.0,1.0,584.3,5.0,1.0,52.5,4.0,1.0,182.4,4.0,1.0,2472.0
5.0,3.0,61.8,5.0,3.0,1134.0,5.0,2.0,1065.0,5.0,2.0,96.9,4.0,2.0,289.9,4.0,2.0,2716.0
5.0,4.0,32.7,5.0,4.0,584.3,5.0,4.0,806.8,5.0,3.0,203.8,4.0,3.0,616.1,4.0,3.0,4591.0
5.0,6.0,208.2,5.0,6.0,1967.0,5.0,6.0,1339.0,5.0,6.0,184.8,4.0,6.0,595.1,4.0,5.0,4017.0
6.0,2.0,399.2,6.0,1.0,1753.0,6.0,1.0,1872.0,6.0,1.0,415.6,6.0,1.0,2029.0,5.0,1.0,5211.0
6.0,3.0,528.3,6.0,3.0,2716.0,6.0,2.0,2472.0,6.0,2.0,651.4,6.0,2.0,2441.0,5.0,2.0,5211.0
6.0,4.0,338.9,6.0,4.0,2472.0,6.0,4.0,3060.0,6.0,3.0,1077.0,6.0,3.0,2216.0,5.0,3.0,7713.0
6.0,5.0,552.5,6.0,5.0,2966.0,6.0,5.0,2641.0,6.0,5.0,507.4,6.0,4.0,1785.0,5.0,4.0,3383.0
