1,下田 哲也,下田 哲也.1,2,宮嵜　隆太郎,宮嵜　隆太郎.1,3,宮武 英司,宮武 英司.1,4,平瀬 城啓,平瀬 城啓.1,5,嘉手苅　徹哉,嘉手苅　徹哉.1,6,山口 達也,山口 達也.1
2.0,3.0,26.6,1.0,3.0,64.9,1.0,2.0,60.1,1.0,2.0,401.0,1.0,2.0,899.9,1.0,2.0,22.8
2.0,4.0,70.7,1.0,4.0,161.3,1.0,4.0,60.6,1.0,3.0,286.2,1.0,3.0,891.4,1.0,3.0,9.5
2.0,5.0,190.7,1.0,5.0,394.3,1.0,5.0,167.9,1.0,5.0,839.7,1.0,4.0,1153.0,1.0,4.0,30.8
2.0,6.0,24.3,1.0,6.0,59.0,1.0,6.0,28.4,1.0,6.0,256.2,1.0,6.0,743.4,1.0,5.0,111.2
3.0,2.0,26.0,3.0,1.0,111.5,2.0,1.0,110.1,2.0,1.0,522.4,2.0,1.0,1153.0,2.0,1.0,52.0
3.0,4.0,33.9,3.0,4.0,244.2,2.0,4.0,182.7,2.0,3.0,664.6,2.0,3.0,1725.0,2.0,3.0,52.6
3.0,5.0,124.7,3.0,5.0,528.3,2.0,5.0,376.9,2.0,5.0,1033.0,2.0,4.0,1939.0,2.0,4.0,110.5
3.0,6.0,12.8,3.0,6.0,115.6,2.0,6.0,98.3,2.0,6.0,512.5,2.0,6.0,783.7,2.0,5.0,350.2
4.0,2.0,122.8,4.0,1.0,335.8,4.0,1.0,102.9,3.0,1.0,280.7,3.0,1.0,1112.0,3.0,1.0,15.6
4.0,3.0,87.4,4.0,3.0,427.4,4.0,2.0,205.5,3.0,2.0,545.2,3.0,2.0,1741.0,3.0,2.0,33.0
4.0,5.0,318.8,4.0,5.0,935.7,4.0,5.0,278.6,3.0,5.0,935.7,3.0,4.0,1529.0,3.0,4.0,35.3
4.0,6.0,63.8,4.0,6.0,359.6,4.0,6.0,94.9,3.0,6.0,261.2,3.0,6.0,1039.0,3.0,5.0,112.2
5.0,2.0,330.5,5.0,1.0,1153.0,5.0,1.0,300.4,5.0,1.0,1146.0,4.0,1.0,1607.0,4.0,1.0,97.6
5.0,3.0,342.6,5.0,3.0,1027.0,5.0,2.0,509.7,5.0,2.0,1403.0,4.0,2.0,2322.0,4.0,2.0,188.8
5.0,4.0,502.9,5.0,4.0,1270.0,5.0,4.0,353.5,5.0,3.0,1262.0,4.0,3.0,1826.0,4.0,3.0,97.7
5.0,6.0,345.1,5.0,6.0,931.1,5.0,6.0,282.4,5.0,6.0,1074.0,4.0,6.0,1567.0,4.0,5.0,385.4
6.0,2.0,16.6,6.0,1.0,84.0,6.0,1.0,31.4,6.0,1.0,256.2,6.0,1.0,1087.0,5.0,1.0,368.8
6.0,3.0,7.3,6.0,3.0,91.1,6.0,2.0,64.3,6.0,2.0,420.7,6.0,2.0,1446.0,5.0,2.0,564.8
6.0,4.0,24.0,6.0,4.0,204.4,6.0,4.0,61.3,6.0,3.0,254.1,6.0,3.0,1068.0,5.0,3.0,370.2
6.0,5.0,112.6,6.0,5.0,488.5,6.0,5.0,183.5,6.0,5.0,866.7,6.0,4.0,1446.0,5.0,4.0,453.2
