1,小野 生奈,小野 生奈.1,2,細川 裕子,細川 裕子.1,3,中谷 朋子,中谷 朋子.1,4,堀之内紀代子,堀之内紀代子.1,5,喜井　つかさ,喜井　つかさ.1,6,藤原 菜希,藤原 菜希.1
2.0,3.0,7.7,1.0,3.0,45.7,1.0,2.0,136.3,1.0,2.0,31.0,1.0,2.0,224.0,1.0,2.0,385.9
2.0,4.0,6.9,1.0,4.0,33.6,1.0,4.0,185.5,1.0,3.0,82.7,1.0,3.0,444.5,1.0,3.0,789.7
2.0,5.0,18.7,1.0,5.0,84.1,1.0,5.0,283.5,1.0,5.0,50.3,1.0,4.0,230.1,1.0,4.0,453.0
2.0,6.0,18.8,1.0,6.0,79.0,1.0,6.0,329.4,1.0,6.0,44.6,1.0,6.0,277.3,1.0,5.0,847.1
3.0,2.0,14.8,3.0,1.0,126.9,2.0,1.0,192.1,2.0,1.0,55.6,2.0,1.0,367.5,2.0,1.0,607.7
3.0,4.0,23.8,3.0,4.0,220.0,2.0,4.0,366.9,2.0,3.0,152.7,2.0,3.0,744.4,2.0,3.0,1238.0
3.0,5.0,50.2,3.0,5.0,400.2,2.0,5.0,637.3,2.0,5.0,111.1,2.0,4.0,455.4,2.0,4.0,588.1
3.0,6.0,49.7,3.0,6.0,438.2,2.0,6.0,727.6,2.0,6.0,85.7,2.0,6.0,563.0,2.0,5.0,1394.0
4.0,2.0,9.8,4.0,1.0,73.3,4.0,1.0,351.8,3.0,1.0,241.0,3.0,1.0,793.0,3.0,1.0,1267.0
4.0,3.0,24.6,4.0,3.0,190.1,4.0,2.0,426.8,3.0,2.0,271.5,3.0,2.0,1034.0,3.0,2.0,1610.0
4.0,5.0,32.3,4.0,5.0,244.8,4.0,5.0,916.8,3.0,5.0,452.0,3.0,4.0,1496.0,3.0,4.0,1804.0
4.0,6.0,23.8,4.0,6.0,171.1,4.0,6.0,857.2,3.0,6.0,347.2,3.0,6.0,1538.0,3.0,5.0,2004.0
5.0,2.0,52.4,5.0,1.0,265.6,5.0,1.0,647.4,5.0,1.0,58.6,4.0,1.0,231.1,4.0,1.0,427.1
5.0,3.0,85.4,5.0,3.0,555.3,5.0,2.0,819.2,5.0,2.0,82.1,4.0,2.0,296.7,4.0,2.0,426.4
5.0,4.0,70.3,5.0,4.0,390.7,5.0,4.0,1258.0,5.0,3.0,218.1,4.0,3.0,745.8,4.0,3.0,1174.0
5.0,6.0,83.7,5.0,6.0,490.9,5.0,6.0,1155.0,5.0,6.0,66.5,4.0,6.0,262.6,4.0,5.0,707.8
6.0,2.0,60.7,6.0,1.0,290.5,6.0,1.0,880.1,6.0,1.0,69.8,6.0,1.0,470.1,5.0,1.0,1140.0
6.0,3.0,129.8,6.0,3.0,679.3,6.0,2.0,1164.0,6.0,2.0,86.2,6.0,2.0,602.8,5.0,2.0,1369.0
6.0,4.0,80.7,6.0,4.0,326.2,6.0,4.0,1380.0,6.0,3.0,231.9,6.0,3.0,1187.0,5.0,3.0,1904.0
6.0,5.0,141.4,6.0,5.0,744.0,6.0,5.0,1565.0,6.0,5.0,102.0,6.0,4.0,537.4,5.0,4.0,909.7
