1,藤山 雅弘,藤山 雅弘.1,2,高濱 芳久,高濱 芳久.1,3,戸敷 晃美,戸敷 晃美.1,4,長岡 良也,長岡 良也.1,5,坂口 周,坂口 周.1,6,真庭 明志,真庭 明志.1
2.0,3.0,35.0,1.0,3.0,100.2,1.0,2.0,84.9,1.0,2.0,119.1,1.0,2.0,277.7,1.0,2.0,1737.0
2.0,4.0,29.3,1.0,4.0,83.2,1.0,4.0,20.6,1.0,3.0,44.4,1.0,3.0,143.6,1.0,3.0,1401.0
2.0,5.0,45.6,1.0,5.0,117.4,1.0,5.0,26.2,1.0,5.0,43.6,1.0,4.0,136.6,1.0,4.0,1127.0
2.0,6.0,137.9,1.0,6.0,281.9,1.0,6.0,93.4,1.0,6.0,95.9,1.0,6.0,263.4,1.0,5.0,1401.0
3.0,2.0,31.6,3.0,1.0,180.7,2.0,1.0,153.5,2.0,1.0,215.5,2.0,1.0,364.0,2.0,1.0,1268.0
3.0,4.0,10.8,3.0,4.0,160.1,2.0,4.0,95.0,2.0,3.0,251.5,2.0,3.0,472.2,2.0,3.0,1916.0
3.0,5.0,15.2,3.0,5.0,208.3,2.0,5.0,124.2,2.0,5.0,214.8,2.0,4.0,307.4,2.0,4.0,1834.0
3.0,6.0,67.7,3.0,6.0,530.2,2.0,6.0,323.2,2.0,6.0,377.8,2.0,6.0,623.0,2.0,5.0,2136.0
4.0,2.0,36.3,4.0,1.0,188.8,4.0,1.0,23.6,3.0,1.0,45.6,3.0,1.0,175.5,3.0,1.0,1268.0
4.0,3.0,15.0,4.0,3.0,231.2,4.0,2.0,77.2,3.0,2.0,147.6,3.0,2.0,438.8,3.0,2.0,1744.0
4.0,5.0,19.8,4.0,5.0,206.5,4.0,5.0,17.1,3.0,5.0,31.9,3.0,4.0,138.0,3.0,4.0,729.3
4.0,6.0,62.6,4.0,6.0,455.1,4.0,6.0,49.9,3.0,6.0,74.4,3.0,6.0,298.6,3.0,5.0,901.6
5.0,2.0,74.5,5.0,1.0,290.3,5.0,1.0,52.5,5.0,1.0,52.8,4.0,1.0,157.2,4.0,1.0,1015.0
5.0,3.0,37.8,5.0,3.0,341.6,5.0,2.0,144.2,5.0,2.0,127.9,4.0,2.0,258.5,4.0,2.0,1510.0
5.0,4.0,38.5,5.0,4.0,252.4,5.0,4.0,35.2,5.0,3.0,47.1,4.0,3.0,134.8,4.0,3.0,759.1
5.0,6.0,111.4,5.0,6.0,580.6,5.0,6.0,85.8,5.0,6.0,52.7,4.0,6.0,139.5,4.0,5.0,411.3
6.0,2.0,387.8,6.0,1.0,759.1,6.0,1.0,260.1,6.0,1.0,188.4,6.0,1.0,430.8,5.0,1.0,1299.0
6.0,3.0,204.9,6.0,3.0,978.0,6.0,2.0,475.9,6.0,2.0,337.3,6.0,2.0,647.5,5.0,2.0,1997.0
6.0,4.0,205.0,6.0,4.0,861.6,6.0,4.0,172.9,6.0,3.0,171.7,6.0,3.0,441.9,5.0,3.0,1022.0
6.0,5.0,222.4,6.0,5.0,947.6,6.0,5.0,205.5,6.0,5.0,114.8,6.0,4.0,278.4,5.0,4.0,442.4
