1,片岡 恵里,片岡 恵里.1,2,小野 桜,小野 桜.1,3,大橋　栄里佳,大橋　栄里佳.1,4,仁科　さやか,仁科　さやか.1,5,植木 美帆,植木 美帆.1,6,白石 有美,白石 有美.1
2.0,3.0,4.2,1.0,3.0,13.8,1.0,2.0,37.2,1.0,2.0,255.1,1.0,2.0,51.0,1.0,2.0,358.3
2.0,4.0,20.3,1.0,4.0,50.7,1.0,4.0,130.1,1.0,3.0,476.4,1.0,3.0,98.2,1.0,3.0,607.5
2.0,5.0,9.1,1.0,5.0,22.4,1.0,5.0,74.5,1.0,5.0,541.6,1.0,4.0,247.4,1.0,4.0,1016.0
2.0,6.0,32.4,1.0,6.0,67.0,1.0,6.0,161.7,1.0,6.0,690.0,1.0,6.0,102.0,1.0,5.0,412.3
3.0,2.0,9.1,3.0,1.0,40.5,2.0,1.0,53.4,2.0,1.0,329.6,2.0,1.0,70.7,2.0,1.0,432.8
3.0,4.0,36.0,3.0,4.0,153.1,2.0,4.0,190.4,2.0,3.0,587.6,2.0,3.0,136.2,2.0,3.0,855.4
3.0,5.0,21.2,3.0,5.0,78.9,2.0,5.0,111.5,2.0,5.0,735.2,2.0,4.0,372.4,2.0,4.0,1205.0
3.0,6.0,59.3,3.0,6.0,196.0,2.0,6.0,248.1,2.0,6.0,972.7,2.0,6.0,151.0,2.0,5.0,546.0
4.0,2.0,67.1,4.0,1.0,188.4,4.0,1.0,303.7,3.0,1.0,666.9,3.0,1.0,178.7,3.0,1.0,999.8
4.0,3.0,107.4,4.0,3.0,319.8,4.0,2.0,345.9,3.0,2.0,775.4,3.0,2.0,198.7,3.0,2.0,1194.0
4.0,5.0,159.5,4.0,5.0,407.9,4.0,5.0,541.0,3.0,5.0,1399.0,3.0,4.0,666.1,3.0,4.0,1452.0
4.0,6.0,253.7,4.0,6.0,596.1,4.0,6.0,680.4,3.0,6.0,1385.0,3.0,6.0,390.5,3.0,5.0,1213.0
5.0,2.0,22.9,5.0,1.0,61.7,5.0,1.0,151.9,5.0,1.0,581.9,4.0,1.0,493.0,4.0,1.0,1132.0
5.0,3.0,40.8,5.0,3.0,122.7,5.0,2.0,162.1,5.0,2.0,753.7,4.0,2.0,608.9,4.0,2.0,1378.0
5.0,4.0,124.3,5.0,4.0,352.0,5.0,4.0,468.2,5.0,3.0,1149.0,4.0,3.0,852.7,4.0,3.0,1448.0
5.0,6.0,65.0,5.0,6.0,178.8,5.0,6.0,347.2,5.0,6.0,831.6,4.0,6.0,555.5,4.0,5.0,1244.0
6.0,2.0,112.2,6.0,1.0,232.2,6.0,1.0,400.0,6.0,1.0,860.8,6.0,1.0,130.6,5.0,1.0,324.4
6.0,3.0,173.8,6.0,3.0,474.4,6.0,2.0,525.2,6.0,2.0,1259.0,6.0,2.0,150.0,5.0,2.0,383.0
6.0,4.0,318.8,6.0,4.0,889.3,6.0,4.0,735.2,6.0,3.0,1357.0,6.0,3.0,272.7,5.0,3.0,644.6
6.0,5.0,144.8,6.0,5.0,328.0,6.0,5.0,560.7,6.0,5.0,1156.0,6.0,4.0,310.9,5.0,4.0,777.6
