1,都築 正治,都築 正治.1,2,藤井 徹,藤井 徹.1,3,中島 真二,中島 真二.1,4,中里 優子,中里 優子.1,5,西澤　日花里,西澤　日花里.1,6,佐々木　完太,佐々木　完太.1
2.0,3.0,19.0,1.0,3.0,108.7,1.0,2.0,112.8,1.0,2.0,194.2,1.0,2.0,562.0,1.0,2.0,71.3
2.0,4.0,25.5,1.0,4.0,111.0,1.0,4.0,84.0,1.0,3.0,137.6,1.0,3.0,512.7,1.0,3.0,53.1
2.0,5.0,51.6,1.0,5.0,193.1,1.0,5.0,132.8,1.0,5.0,177.1,1.0,4.0,441.5,1.0,4.0,54.3
2.0,6.0,17.9,1.0,6.0,78.0,1.0,6.0,47.9,1.0,6.0,61.8,1.0,6.0,333.8,1.0,5.0,150.6
3.0,2.0,17.5,3.0,1.0,188.9,2.0,1.0,245.6,2.0,1.0,245.1,2.0,1.0,863.7,2.0,1.0,162.0
3.0,4.0,12.9,3.0,4.0,320.1,2.0,4.0,337.8,2.0,3.0,380.2,2.0,3.0,1293.0,2.0,3.0,267.5
3.0,5.0,33.5,3.0,5.0,453.1,2.0,5.0,441.5,2.0,5.0,566.9,2.0,4.0,1306.0,2.0,4.0,268.6
3.0,6.0,9.8,3.0,6.0,201.5,2.0,6.0,193.6,2.0,6.0,204.4,2.0,6.0,1050.0,2.0,5.0,569.4
4.0,2.0,35.2,4.0,1.0,195.6,4.0,1.0,166.0,3.0,1.0,236.8,3.0,1.0,819.7,3.0,1.0,108.2
4.0,3.0,22.5,4.0,3.0,340.9,4.0,2.0,310.5,3.0,2.0,458.8,3.0,2.0,1255.0,3.0,2.0,278.2
4.0,5.0,50.0,4.0,5.0,419.9,4.0,5.0,343.2,3.0,5.0,545.3,3.0,4.0,1100.0,3.0,4.0,173.5
4.0,6.0,13.6,4.0,6.0,182.0,4.0,6.0,118.1,3.0,6.0,197.4,3.0,6.0,838.4,3.0,5.0,421.2
5.0,2.0,107.2,5.0,1.0,409.8,5.0,1.0,333.8,5.0,1.0,229.0,4.0,1.0,454.7,4.0,1.0,98.5
5.0,3.0,86.1,5.0,3.0,711.0,5.0,2.0,597.2,5.0,2.0,581.0,4.0,2.0,982.4,4.0,2.0,243.2
5.0,4.0,102.9,5.0,4.0,543.0,5.0,4.0,499.8,5.0,3.0,638.7,4.0,3.0,936.0,4.0,3.0,185.3
5.0,6.0,57.8,5.0,6.0,507.7,5.0,6.0,231.4,5.0,6.0,194.1,4.0,6.0,421.2,4.0,5.0,272.9
6.0,2.0,22.7,6.0,1.0,134.5,6.0,1.0,74.2,6.0,1.0,76.6,6.0,1.0,400.3,5.0,1.0,373.0
6.0,3.0,13.7,6.0,3.0,224.6,6.0,2.0,182.1,6.0,2.0,183.8,6.0,2.0,770.6,5.0,2.0,665.1
6.0,4.0,15.5,6.0,4.0,202.8,6.0,4.0,121.9,6.0,3.0,160.8,6.0,3.0,695.7,5.0,3.0,577.1
6.0,5.0,41.1,6.0,5.0,423.3,6.0,5.0,206.9,6.0,5.0,160.5,6.0,4.0,449.2,5.0,4.0,417.8
